Generation,Phenotype,Optimum
1,97.235593,117.237
2,97.342177,117.237
3,97.677042,117.237
4,97.693115,117.237
5,97.931128,117.237
6,98.187143,117.237
7,98.379788,117.237
8,98.685747,117.237
9,98.986161,117.237
10,99.055767,117.237
11,99.345541,117.237
12,99.784431,117.237
13,100.047784,117.237
14,100.512155,117.237
15,100.538672,117.237
16,100.835006,117.237
17,101.128412,117.237
18,101.402039,117.237
19,101.391986,117.237
20,101.772849,117.237
21,101.935035,117.237
22,102.315371,117.237
23,102.611528,117.237
24,102.664115,117.237
25,103.096654,117.237
26,103.184272,117.237
27,103.396323,117.237
28,103.692506,117.237
29,103.853251,117.237
30,103.994669,117.237
31,103.968602,117.237
32,104.268682,117.237
33,104.470370,117.237
34,104.841053,117.237
35,104.854376,117.237
36,104.997845,117.237
37,105.232923,117.237
38,105.411684,117.237
39,105.525990,117.237
40,105.883486,117.237
41,105.888094,117.237
42,106.142828,117.237
43,106.331313,117.237
44,106.486745,117.237
45,106.663054,117.237
46,106.636781,117.237
47,106.837771,117.237
48,106.893535,117.237
49,106.926678,117.237
50,107.121198,117.237
51,107.450462,117.237
52,107.693919,117.237
53,107.635395,117.237
54,107.899198,117.237
55,108.101018,117.237
56,108.123448,117.237
57,108.334240,117.237
58,108.340236,117.237
59,108.635011,117.237
60,108.401352,117.237
61,108.674779,117.237
62,108.923775,117.237
63,108.858867,117.237
64,109.066145,117.237
65,109.209926,117.237
66,109.325348,117.237
67,109.568113,117.237
68,109.674796,117.237
69,109.784607,117.237
70,109.928947,117.237
71,109.931619,117.237
72,109.964515,117.237
73,110.060357,117.237
74,110.344501,117.237
75,110.446362,117.237
76,110.698626,117.237
77,110.664330,117.237
78,110.736059,117.237
79,110.877223,117.237
80,110.890952,117.237
81,110.970999,117.237
82,110.990202,117.237
83,111.042305,117.237
84,111.061074,117.237
85,111.162485,117.237
86,111.346406,117.237
87,111.261521,117.237
88,111.509596,117.237
89,111.494079,117.237
90,111.740448,117.237
91,111.926641,117.237
92,112.042175,117.237
93,112.021369,117.237
94,112.196261,117.237
95,112.226847,117.237
96,112.299905,117.237
97,112.288404,117.237
98,112.400982,117.237
99,112.377683,117.237
100,112.538390,117.237
101,112.481340,117.237
102,112.483912,117.237
103,112.348037,117.237
104,112.470953,117.237
105,112.640690,117.237
106,112.490058,117.237
107,112.641046,117.237
108,112.741719,117.237
109,112.816813,117.237
110,112.779955,117.237
111,112.989067,117.237
112,113.173627,117.237
113,113.176435,117.237
114,113.160111,117.237
115,113.307851,117.237
116,113.534877,117.237
117,113.458745,117.237
118,113.588703,117.237
119,113.437223,117.237
120,113.488966,117.237
121,113.665752,117.237
122,113.732116,117.237
123,113.722176,117.237
124,113.663396,117.237
125,113.698975,117.237
126,113.869254,117.237
127,113.653869,117.237
128,113.890227,117.237
129,113.771471,117.237
130,114.203025,117.237
131,114.216375,117.237
132,114.189158,117.237
133,114.366977,117.237
134,114.334688,117.237
135,114.358074,117.237
136,114.352636,117.237
137,114.259076,117.237
138,114.456023,117.237
139,114.361553,117.237
140,114.360154,117.237
141,114.297497,117.237
142,114.482233,117.237
143,114.408526,117.237
144,114.545420,117.237
145,114.507316,117.237
146,114.489986,117.237
147,114.581665,117.237
148,114.594399,117.237
149,114.553458,117.237
150,114.594761,117.237
151,114.693170,117.237
152,114.673816,117.237
153,114.538512,117.237
154,114.662269,117.237
155,114.681548,117.237
156,114.953994,117.237
157,114.778241,117.237
158,114.734619,117.237
159,114.849489,117.237
160,114.738338,117.237
161,114.877331,117.237
162,114.994523,117.237
163,115.162860,117.237
164,115.138886,117.237
165,115.117103,117.237
166,115.143408,117.237
167,115.148352,117.237
168,115.178190,117.237
169,115.217125,117.237
170,115.272955,117.237
171,115.317305,117.237
172,115.333584,117.237
173,115.304356,117.237
174,115.350484,117.237
175,115.291393,117.237
176,115.373634,117.237
177,115.435913,117.237
178,115.404624,117.237
179,115.538372,117.237
180,115.542523,117.237
181,115.495996,117.237
182,115.568097,117.237
183,115.484457,117.237
184,115.417424,117.237
185,115.446995,117.237
186,115.443806,117.237
187,115.524425,117.237
188,115.392648,117.237
189,115.518225,117.237
190,115.632223,117.237
191,115.640859,117.237
192,115.584989,117.237
193,115.850532,117.237
194,115.715795,117.237
195,115.800838,117.237
196,115.838644,117.237
197,115.860482,117.237
198,115.782887,117.237
199,115.698964,117.237
200,115.617249,117.237
201,115.830955,117.237
202,115.944514,117.237
203,115.752260,117.237
204,115.863739,117.237
205,115.788696,117.237
206,115.771360,117.237
207,115.899108,117.237
208,115.860435,117.237
209,116.031427,117.237
210,115.717980,117.237
211,115.840354,117.237
212,115.788981,117.237
213,115.787519,117.237
214,115.844747,117.237
215,115.681804,117.237
216,115.612597,117.237
217,115.825069,117.237
218,115.805880,117.237
219,116.092058,117.237
220,116.075897,117.237
221,116.034548,117.237
222,115.997300,117.237
223,116.109085,117.237
224,116.247887,117.237
225,116.057372,117.237
226,116.410619,117.237
227,116.280175,117.237
228,116.257469,117.237
229,116.333640,117.237
230,116.426021,117.237
231,116.306394,117.237
232,116.208074,117.237
233,116.263206,117.237
234,116.392016,117.237
235,116.415376,117.237
236,116.441020,117.237
237,116.544982,117.237
238,116.491675,117.237
239,116.506732,117.237
240,116.638234,117.237
241,116.507581,117.237
242,116.465487,117.237
243,116.648720,117.237
244,116.505521,117.237
245,116.457917,117.237
246,116.389363,117.237
247,116.538374,117.237
248,116.449398,117.237
249,116.633621,117.237
250,116.649398,117.237
251,116.640530,117.237
252,116.746344,117.237
253,116.755435,117.237
254,116.478835,117.237
255,116.815467,117.237
256,116.938054,117.237
257,116.841356,117.237
258,116.737365,117.237
259,116.767173,117.237
260,116.996298,117.237
261,116.989543,117.237
262,116.927883,117.237
263,117.019068,117.237
264,116.955046,117.237
265,116.964384,117.237
266,116.834209,117.237
267,116.845247,117.237
268,116.834755,117.237
269,116.793596,117.237
270,116.951505,117.237
271,117.043517,117.237
272,116.879190,117.237
273,116.881107,117.237
274,116.993639,117.237
275,116.957408,117.237
276,117.042362,117.237
277,117.061156,117.237
278,116.973301,117.237
279,116.885099,117.237
280,117.005880,117.237
281,117.113278,117.237
282,117.317777,117.237
283,117.197718,117.237
284,117.316726,117.237
285,117.273434,117.237
286,117.287122,117.237
287,117.221834,117.237
288,117.064382,117.237
289,117.221698,117.237
290,117.261900,117.237
291,117.401986,117.237
292,117.195482,117.237
293,117.408696,117.237
294,117.269449,117.237
295,117.301968,117.237
296,117.220693,117.237
297,117.201310,117.237
298,117.253201,117.237
299,117.128997,117.237
300,117.050175,117.237
301,117.124623,117.237
302,117.041921,117.237
303,116.937628,117.237
304,117.107079,117.237
305,117.132169,117.237
306,116.954672,117.237
307,117.163945,117.237
308,116.976060,117.237
309,117.170270,117.237
310,117.040783,117.237
311,117.068411,117.237
312,116.997419,117.237
313,117.054501,117.237
314,116.953395,117.237
315,117.148090,117.237
316,117.021977,117.237
317,117.052390,117.237
318,116.988729,117.237
319,116.944970,117.237
320,117.014560,117.237
321,117.010088,117.237
322,117.085508,117.237
323,117.149433,117.237
324,117.182694,117.237
325,117.259159,117.237
326,117.261130,117.237
327,117.236994,117.237
328,117.310043,117.237
329,117.315723,117.237
330,117.322454,117.237
331,117.372335,117.237
332,117.197024,117.237
333,117.400651,117.237
334,117.408864,117.237
335,117.278450,117.237
336,117.388797,117.237
337,117.381281,117.237
338,117.467369,117.237
339,117.420972,117.237
340,117.198427,117.237
341,117.272127,117.237
342,117.342607,117.237
343,117.359333,117.237
344,117.542135,117.237
345,117.324815,117.237
346,117.457041,117.237
347,117.557993,117.237
348,117.531256,117.237
349,117.493162,117.237
350,117.484755,117.237
351,117.610205,117.237
352,117.539867,117.237
353,117.447407,117.237
354,117.446708,117.237
355,117.462483,117.237
356,117.430782,117.237
357,117.435998,117.237
358,117.533992,117.237
359,117.569885,117.237
360,117.410042,117.237
361,117.348484,117.237
362,117.550871,117.237
363,117.483767,117.237
364,117.539880,117.237
365,117.546131,117.237
366,117.502223,117.237
367,117.493893,117.237
368,117.538008,117.237
369,117.414338,117.237
370,117.418591,117.237
371,117.493627,117.237
372,117.352331,117.237
373,117.411586,117.237
374,117.499340,117.237
375,117.512222,117.237
376,117.462431,117.237
377,117.659257,117.237
378,117.479860,117.237
379,117.486534,117.237
380,117.550372,117.237
381,117.635755,117.237
382,117.500075,117.237
383,117.547325,117.237
384,117.411745,117.237
385,117.662363,117.237
386,117.680415,117.237
387,117.661448,117.237
388,117.617450,117.237
389,117.676687,117.237
390,117.699253,117.237
391,117.684240,117.237
392,117.821463,117.237
393,117.698730,117.237
394,117.531809,117.237
395,117.564892,117.237
396,117.574687,117.237
397,117.629324,117.237
398,117.624042,117.237
399,117.746077,117.237
400,117.448638,117.237
401,117.566235,117.237
402,117.421506,117.237
