Generation,Phenotype,Optimum
1,97.235593,117.237
2,97.408597,117.237
3,97.646172,117.237
4,97.707944,117.237
5,97.990021,117.237
6,98.419202,117.237
7,98.785086,117.237
8,99.039264,117.237
9,99.297225,117.237
10,99.653539,117.237
11,99.869547,117.237
12,100.075308,117.237
13,100.445852,117.237
14,100.773977,117.237
15,100.957876,117.237
16,101.017546,117.237
17,101.261200,117.237
18,101.358689,117.237
19,101.477271,117.237
20,101.749451,117.237
21,102.000353,117.237
22,102.114008,117.237
23,102.466485,117.237
24,102.628725,117.237
25,102.835500,117.237
26,103.548460,117.237
27,103.474918,117.237
28,103.627782,117.237
29,104.181885,117.237
30,104.564692,117.237
31,104.652791,117.237
32,105.433741,117.237
33,104.745759,117.237
34,105.000009,117.237
35,105.170400,117.237
36,105.468754,117.237
37,105.977981,117.237
38,105.704570,117.237
39,106.332385,117.237
40,105.743498,117.237
41,106.495434,117.237
42,107.030795,117.237
43,106.903828,117.237
44,106.968187,117.237
45,107.219576,117.237
46,107.331183,117.237
47,107.440017,117.237
48,107.402820,117.237
49,107.810348,117.237
50,107.629737,117.237
51,107.462786,117.237
52,107.789052,117.237
53,107.953181,117.237
54,108.119442,117.237
55,108.308540,117.237
56,108.350145,117.237
57,108.529063,117.237
58,108.654374,117.237
59,108.386028,117.237
60,108.730067,117.237
61,108.922017,117.237
62,109.004015,117.237
63,108.844888,117.237
64,109.239859,117.237
65,109.309618,117.237
66,109.343107,117.237
67,109.488683,117.237
68,109.655100,117.237
69,109.823415,117.237
70,110.050195,117.237
71,110.431563,117.237
72,110.584504,117.237
73,110.561213,117.237
74,110.731371,117.237
75,110.760353,117.237
76,110.746721,117.237
77,110.955892,117.237
78,110.786355,117.237
79,111.042875,117.237
80,110.876458,117.237
81,111.348698,117.237
82,111.229565,117.237
83,111.746525,117.237
84,111.414480,117.237
85,111.612248,117.237
86,111.768861,117.237
87,111.836793,117.237
88,111.860511,117.237
89,111.875300,117.237
90,111.613626,117.237
91,111.930971,117.237
92,111.849455,117.237
93,112.322377,117.237
94,112.222748,117.237
95,112.487885,117.237
96,112.837626,117.237
97,112.927944,117.237
98,112.830488,117.237
99,112.886027,117.237
100,112.707736,117.237
101,112.803421,117.237
102,112.995578,117.237
103,113.559037,117.237
104,113.146143,117.237
105,113.150225,117.237
106,113.665506,117.237
107,113.944378,117.237
108,113.990436,117.237
109,113.945128,117.237
110,113.773955,117.237
111,114.071107,117.237
112,113.713993,117.237
113,113.787183,117.237
114,113.690692,117.237
115,113.734071,117.237
116,113.648428,117.237
117,113.553609,117.237
118,113.004781,117.237
119,112.906358,117.237
120,113.654254,117.237
121,113.574126,117.237
122,113.952109,117.237
123,114.051881,117.237
124,114.250039,117.237
125,114.012559,117.237
126,114.504227,117.237
127,114.569843,117.237
128,114.687306,117.237
129,114.497400,117.237
130,114.801077,117.237
131,114.633629,117.237
132,114.747605,117.237
133,114.937997,117.237
134,114.783170,117.237
135,114.745625,117.237
136,115.025803,117.237
137,115.244784,117.237
138,115.109456,117.237
139,115.090182,117.237
140,115.120971,117.237
141,115.267380,117.237
142,115.147495,117.237
143,115.130709,117.237
144,115.277240,117.237
145,115.295316,117.237
146,115.195333,117.237
147,115.311331,117.237
148,115.458325,117.237
149,115.307249,117.237
150,115.268838,117.237
151,115.397315,117.237
152,114.819518,117.237
153,115.021425,117.237
154,115.267963,117.237
155,115.465178,117.237
156,115.312181,117.237
157,115.179978,117.237
158,115.096752,117.237
159,115.408755,117.237
160,115.660935,117.237
161,115.324566,117.237
162,115.637911,117.237
163,115.741517,117.237
164,115.470357,117.237
165,115.229534,117.237
166,115.602367,117.237
167,116.243420,117.237
168,115.846176,117.237
169,115.820106,117.237
170,115.821313,117.237
171,116.212962,117.237
172,115.676462,117.237
173,115.774609,117.237
174,116.161973,117.237
175,115.923997,117.237
176,115.726962,117.237
177,116.038840,117.237
178,115.954585,117.237
179,115.792144,117.237
180,115.843750,117.237
181,115.775592,117.237
182,115.661716,117.237
183,115.583772,117.237
184,115.692712,117.237
185,115.731260,117.237
186,115.763216,117.237
