Generation,meanFitness,Phenotype,Optimum
1,1,107.758214,111.758
2,0.958712,107.629527,111.758
3,0.960307,107.788950,111.758
4,0.960464,107.804608,111.758
5,0.960614,107.819593,111.758
6,0.960134,107.771627,111.758
7,0.960381,107.796301,111.758
8,0.959767,107.734934,111.758
9,0.960872,107.845381,111.758
10,0.960411,107.799299,111.758
11,0.961343,107.892507,111.758
12,0.96108,107.866262,111.758
13,0.960752,107.833439,111.758
14,0.961478,107.906024,111.758
15,0.960678,107.826033,111.758
16,0.960881,107.846312,111.758
17,0.960347,107.792984,111.758
18,0.960625,107.820668,111.758
19,0.960316,107.789799,111.758
20,0.961755,107.933728,111.758
21,0.960095,107.767706,111.758
22,0.960338,107.792039,111.758
23,0.961264,107.884723,111.758
24,0.960934,107.851584,111.758
25,0.96201,107.959250,111.758
26,0.961967,107.954954,111.758
27,0.961727,107.930935,111.758
28,0.962102,107.968378,111.758
29,0.962068,107.965064,111.758
30,0.961381,107.896348,111.758
31,0.962121,107.970266,111.758
32,0.962462,108.004365,111.758
33,0.961264,107.884650,111.758
34,0.961478,107.905982,111.758
35,0.960707,107.828951,111.758
36,0.962062,107.964464,111.758
37,0.961647,107.922882,111.758
38,0.962816,108.040025,111.758
39,0.962401,107.998287,111.758
40,0.96264,108.022297,111.758
41,0.962567,108.014933,111.758
42,0.96238,107.996239,111.758
43,0.962029,107.961169,111.758
44,0.962934,108.051683,111.758
45,0.962481,108.006381,111.758
46,0.962733,108.031468,111.758
47,0.963378,108.096040,111.758
48,0.962607,108.018866,111.758
49,0.962797,108.037947,111.758
50,0.96315,108.073213,111.758
51,0.963347,108.092898,111.758
52,0.963641,108.122390,111.758
53,0.96351,108.109354,111.758
54,0.96303,108.061278,111.758
55,0.964403,108.198495,111.758
56,0.962461,108.004455,111.758
57,0.963316,108.089867,111.758
58,0.963686,108.126844,111.758
59,0.962784,108.036622,111.758
60,0.964076,108.165777,111.758
61,0.963434,108.101825,111.758
62,0.964307,108.188984,111.758
63,0.963509,108.109105,111.758
64,0.963744,108.132786,111.758
65,0.964038,108.162007,111.758
66,0.963731,108.131312,111.758
67,0.964295,108.187761,111.758
68,0.964268,108.185163,111.758
69,0.964645,108.222810,111.758
70,0.964503,108.208626,111.758
71,0.965146,108.272847,111.758
72,0.964996,108.257865,111.758
73,0.964948,108.252976,111.758
74,0.964447,108.203002,111.758
75,0.965539,108.312290,111.758
76,0.965012,108.259528,111.758
77,0.966197,108.378020,111.758
78,0.966554,108.414019,111.758
79,0.966651,108.423330,111.758
80,0.965532,108.311480,111.758
81,0.967077,108.466037,111.758
82,0.966502,108.408872,111.758
83,0.966888,108.447482,111.758
84,0.966155,108.373845,111.758
85,0.966695,108.427998,111.758
86,0.966439,108.402223,111.758
87,0.968991,108.657774,111.758
88,0.966847,108.443051,111.758
89,0.967244,108.482726,111.758
90,0.967375,108.495882,111.758
91,0.968104,108.568662,111.758
92,0.968368,108.595289,111.758
93,0.969076,108.666210,111.758
94,0.969365,108.695529,111.758
95,0.968078,108.566207,111.758
96,0.967847,108.543085,111.758
97,0.9663,108.388649,111.758
98,0.966275,108.386015,111.758
99,0.966774,108.435758,111.758
100,0.967013,108.459723,111.758
101,0.965732,108.331460,111.758
102,0.966498,108.408185,111.758
103,0.96589,108.347489,111.758
104,0.966604,108.418811,111.758
105,0.967,108.458322,111.758
106,0.966418,108.400082,111.758
107,0.967096,108.468097,111.758
108,0.966805,108.438865,111.758
109,0.967358,108.494793,111.758
110,0.967557,108.514224,111.758
111,0.967664,108.524896,111.758
112,0.9673,108.488244,111.758
113,0.967486,108.506861,111.758
114,0.967393,108.497814,111.758
115,0.968586,108.616948,111.758
116,0.968332,108.592000,111.758
117,0.968432,108.601764,111.758
118,0.968224,108.580823,111.758
119,0.967661,108.524902,111.758
120,0.968122,108.571002,111.758
121,0.968794,108.637953,111.758
122,0.968893,108.647817,111.758
123,0.969068,108.665440,111.758
124,0.968851,108.643828,111.758
125,0.968712,108.629530,111.758
126,0.969505,108.709489,111.758
127,0.969258,108.684397,111.758
128,0.967258,108.484363,111.758
129,0.968403,108.598942,111.758
130,0.968911,108.649910,111.758
131,0.968539,108.612301,111.758
132,0.968314,108.589957,111.758
133,0.968224,108.580906,111.758
134,0.967966,108.555039,111.758
135,0.96775,108.533809,111.758
136,0.969132,108.672426,111.758
137,0.968677,108.626147,111.758
138,0.968623,108.620890,111.758
139,0.969435,108.702056,111.758
140,0.968938,108.652353,111.758
141,0.969814,108.740030,111.758
142,0.969399,108.698576,111.758
143,0.970361,108.794907,111.758
144,0.96958,108.716489,111.758
145,0.969119,108.670320,111.758
146,0.968338,108.592201,111.758
147,0.970195,108.778068,111.758
148,0.9684,108.598615,111.758
149,0.969427,108.701503,111.758
150,0.970199,108.778287,111.758
151,0.970412,108.799990,111.758
152,0.968492,108.607459,111.758
153,0.970367,108.795273,111.758
154,0.9693,108.688741,111.758
155,0.969378,108.696515,111.758
156,0.969919,108.750673,111.758
157,0.970061,108.764983,111.758
158,0.969218,108.680301,111.758
159,0.970361,108.795201,111.758
160,0.970498,108.808649,111.758
161,0.969855,108.743840,111.758
162,0.969711,108.729843,111.758
163,0.970074,108.766497,111.758
164,0.970461,108.804650,111.758
165,0.970205,108.779226,111.758
166,0.96978,108.736718,111.758
167,0.970038,108.762611,111.758
168,0.970221,108.780758,111.758
169,0.968446,108.603235,111.758
170,0.970554,108.814314,111.758
171,0.969324,108.691278,111.758
172,0.970698,108.829054,111.758
173,0.969117,108.670893,111.758
174,0.970328,108.791526,111.758
175,0.970574,108.816169,111.758
176,0.969695,108.728274,111.758
177,0.969836,108.742186,111.758
178,0.97175,108.934469,111.758
179,0.970542,108.812880,111.758
180,0.970446,108.803692,111.758
181,0.970717,108.830803,111.758
182,0.971078,108.866586,111.758
183,0.972032,108.962729,111.758
184,0.971612,108.920312,111.758
185,0.972162,108.975826,111.758
186,0.971858,108.945254,111.758
187,0.971782,108.938473,111.758
188,0.972258,108.985890,111.758
189,0.972914,109.051037,111.758
190,0.97357,109.117506,111.758
191,0.97326,109.086454,111.758
192,0.972374,108.996878,111.758
193,0.972734,109.033710,111.758
194,0.972084,108.967703,111.758
195,0.972597,109.019562,111.758
196,0.972724,109.032292,111.758
197,0.97146,108.905163,111.758
198,0.973285,109.088687,111.758
199,0.972563,109.015849,111.758
200,0.972318,108.991036,111.758
201,0.971097,108.868636,111.758
202,0.971356,108.894293,111.758
203,0.97156,108.915030,111.758
204,0.971365,108.895868,111.758
205,0.970307,108.789574,111.758
206,0.970846,108.843160,111.758
207,0.972205,108.979977,111.758
208,0.970741,108.833097,111.758
209,0.971118,108.870429,111.758
210,0.971641,108.923434,111.758
211,0.971517,108.911152,111.758
212,0.97113,108.872194,111.758
213,0.971501,108.909380,111.758
214,0.971293,108.888343,111.758
215,0.969656,108.724316,111.758
216,0.971237,108.883163,111.758
217,0.970771,108.835996,111.758
218,0.970404,108.799289,111.758
219,0.972126,108.971194,111.758
220,0.971384,108.897490,111.758
221,0.970856,108.844548,111.758
222,0.971377,108.896630,111.758
223,0.970982,108.857027,111.758
224,0.971694,108.928612,111.758
225,0.971375,108.896574,111.758
226,0.971977,108.956852,111.758
227,0.971521,108.910972,111.758
228,0.972653,109.024870,111.758
229,0.971262,108.885172,111.758
230,0.972551,109.014809,111.758
231,0.971744,108.933869,111.758
232,0.972437,109.003418,111.758
233,0.97192,108.951515,111.758
234,0.971901,108.949772,111.758
235,0.97137,108.895924,111.758
236,0.973057,109.065117,111.758
237,0.970807,108.839697,111.758
238,0.972257,108.985273,111.758
239,0.971493,108.908232,111.758
240,0.972288,108.988737,111.758
241,0.971584,108.917348,111.758
242,0.970543,108.813230,111.758
243,0.972268,108.986892,111.758
244,0.972516,109.011081,111.758
245,0.972886,109.048206,111.758
246,0.972697,109.028976,111.758
247,0.972326,108.991979,111.758
248,0.971098,108.868896,111.758
249,0.971587,108.917784,111.758
250,0.971026,108.862163,111.758
251,0.970693,108.828075,111.758
252,0.972065,108.965875,111.758
253,0.971535,108.912379,111.758
254,0.971248,108.884149,111.758
255,0.971607,108.919442,111.758
256,0.971417,108.901154,111.758
257,0.971573,108.916140,111.758
258,0.972175,108.976549,111.758
259,0.971391,108.898589,111.758
260,0.972096,108.969218,111.758
261,0.972167,108.976413,111.758
262,0.973148,109.074444,111.758
263,0.973038,109.063438,111.758
264,0.972256,108.985484,111.758
265,0.971597,108.918669,111.758
266,0.972455,109.005016,111.758
267,0.97304,109.063800,111.758
268,0.973428,109.102414,111.758
269,0.972937,109.053627,111.758
270,0.971873,108.946532,111.758
271,0.974021,109.162404,111.758
272,0.972816,109.042038,111.758
273,0.971973,108.956902,111.758
274,0.972494,109.009186,111.758
275,0.974193,109.180040,111.758
276,0.973005,109.060208,111.758
277,0.97536,109.297030,111.758
278,0.974355,109.196772,111.758
279,0.973639,109.123458,111.758
280,0.973718,109.132014,111.758
281,0.973925,109.152415,111.758
282,0.973706,109.130780,111.758
283,0.974596,109.220082,111.758
284,0.973878,109.148020,111.758
285,0.974353,109.195343,111.758
286,0.973439,109.103751,111.758
287,0.974165,109.177323,111.758
288,0.974493,109.210274,111.758
289,0.974676,109.229092,111.758
290,0.974053,109.165345,111.758
291,0.974927,109.254580,111.758
292,0.973629,109.123400,111.758
293,0.974901,109.251698,111.758
294,0.974737,109.234003,111.758
295,0.975369,109.298790,111.758
296,0.976145,109.376427,111.758
297,0.976138,109.378276,111.758
298,0.974865,109.247517,111.758
299,0.976504,109.413864,111.758
300,0.975863,109.348744,111.758
301,0.976068,109.369233,111.758
302,0.975629,109.324264,111.758
303,0.975321,109.294631,111.758
304,0.975044,109.265825,111.758
305,0.975892,109.350944,111.758
306,0.976633,109.428132,111.758
307,0.97728,109.492786,111.758
308,0.97726,109.491284,111.758
309,0.97741,109.505944,111.758
310,0.975607,109.323422,111.758
311,0.976631,109.426047,111.758
312,0.975832,109.345097,111.758
313,0.977832,109.550188,111.758
314,0.978142,109.581775,111.758
315,0.975498,109.312176,111.758
316,0.977279,109.492132,111.758
317,0.977815,109.547398,111.758
318,0.977141,109.477826,111.758
319,0.977376,109.502066,111.758
320,0.977545,109.520180,111.758
321,0.977855,109.552337,111.758
322,0.978171,109.584659,111.758
323,0.978121,109.580514,111.758
324,0.977701,109.535836,111.758
325,0.977908,109.556533,111.758
326,0.978535,109.619790,111.758
327,0.978435,109.609800,111.758
328,0.977371,109.502298,111.758
329,0.97826,109.593826,111.758
330,0.978672,109.636155,111.758
331,0.980062,109.778641,111.758
332,0.979439,109.715945,111.758
333,0.979976,109.774075,111.758
334,0.98071,109.847638,111.758
335,0.980794,109.860247,111.758
336,0.980118,109.787450,111.758
337,0.980688,109.845490,111.758
338,0.979839,109.756607,111.758
339,0.981059,109.884352,111.758
340,0.981021,109.880922,111.758
341,0.981739,109.958916,111.758
342,0.982176,110.006608,111.758
343,0.983053,110.102327,111.758
344,0.980604,109.837705,111.758
345,0.981549,109.939228,111.758
346,0.981449,109.928450,111.758
347,0.981501,109.931021,111.758
348,0.982864,110.081984,111.758
349,0.981283,109.911518,111.758
350,0.982912,110.088135,111.758
351,0.98325,110.122777,111.758
352,0.981888,109.974463,111.758
353,0.983133,110.112978,111.758
354,0.983067,110.105673,111.758
355,0.982596,110.050234,111.758
356,0.98192,109.980696,111.758
357,0.983779,110.183265,111.758
358,0.98335,110.134271,111.758
359,0.983799,110.187170,111.758
360,0.984155,110.228418,111.758
361,0.984555,110.271491,111.758
362,0.982834,110.079946,111.758
363,0.984232,110.232542,111.758
364,0.98468,110.286172,111.758
365,0.984595,110.279562,111.758
366,0.985078,110.335022,111.758
367,0.98462,110.278282,111.758
368,0.984695,110.286718,111.758
369,0.985509,110.386110,111.758
370,0.985224,110.352567,111.758
371,0.984301,110.242308,111.758
372,0.984837,110.303937,111.758
373,0.985734,110.417136,111.758
374,0.985383,110.371052,111.758
375,0.98375,110.182051,111.758
376,0.985039,110.331839,111.758
377,0.985915,110.433128,111.758
378,0.986291,110.483442,111.758
379,0.98551,110.388806,111.758
380,0.985194,110.346816,111.758
381,0.985608,110.395230,111.758
382,0.986048,110.455131,111.758
383,0.985894,110.425260,111.758
384,0.986264,110.481614,111.758
385,0.986,110.443483,111.758
386,0.986013,110.447225,111.758
387,0.986158,110.465447,111.758
388,0.98631,110.487597,111.758
389,0.986411,110.499771,111.758
390,0.986193,110.467772,111.758
391,0.987019,110.573268,111.758
392,0.986628,110.524037,111.758
393,0.986422,110.493754,111.758
394,0.986814,110.547987,111.758
395,0.987254,110.607262,111.758
396,0.986054,110.453447,111.758
397,0.98575,110.414913,111.758
398,0.986062,110.450414,111.758
399,0.986373,110.493313,111.758
400,0.98691,110.557709,111.758
401,0.986356,110.487075,111.758
402,0.986433,110.496782,111.758
403,0.985906,110.432362,111.758
404,0.986376,110.494408,111.758
405,0.984461,110.262569,111.758
406,0.986104,110.458641,111.758
407,0.984589,110.275436,111.758
408,0.987203,110.602847,111.758
409,0.986747,110.538904,111.758
410,0.986449,110.500810,111.758
411,0.986776,110.549170,111.758
412,0.986398,110.497778,111.758
413,0.986218,110.471655,111.758
414,0.98687,110.555251,111.758
415,0.986592,110.518744,111.758
416,0.985766,110.417636,111.758
417,0.986944,110.562659,111.758
418,0.985902,110.433064,111.758
419,0.986064,110.453315,111.758
420,0.987095,110.585383,111.758
421,0.986814,110.549657,111.758
422,0.987611,110.655755,111.758
423,0.986431,110.499981,111.758
424,0.987528,110.639318,111.758
425,0.986816,110.548224,111.758
426,0.985986,110.441388,111.758
427,0.986906,110.558418,111.758
428,0.985757,110.411918,111.758
429,0.986715,110.532596,111.758
430,0.986596,110.520758,111.758
431,0.987432,110.622855,111.758
432,0.986302,110.483047,111.758
433,0.987359,110.622426,111.758
434,0.987542,110.641835,111.758
435,0.988086,110.717925,111.758
436,0.986113,110.455407,111.758
437,0.987513,110.635203,111.758
438,0.987054,110.574915,111.758
439,0.987221,110.602125,111.758
440,0.986825,110.549205,111.758
441,0.987609,110.652667,111.758
442,0.987858,110.685398,111.758
443,0.986527,110.507298,111.758
444,0.986727,110.535550,111.758
445,0.987302,110.610321,111.758
446,0.987814,110.681586,111.758
447,0.987827,110.686145,111.758
448,0.98623,110.471422,111.758
449,0.987387,110.621987,111.758
450,0.987611,110.654768,111.758
451,0.987158,110.586668,111.758
452,0.985865,110.425338,111.758
453,0.986793,110.545352,111.758
454,0.985849,110.421777,111.758
455,0.987258,110.604776,111.758
456,0.986854,110.552176,111.758
457,0.987012,110.572128,111.758
458,0.985893,110.428464,111.758
459,0.987558,110.648315,111.758
460,0.987078,110.582833,111.758
461,0.987627,110.652239,111.758
462,0.987502,110.638210,111.758
463,0.987395,110.628198,111.758
464,0.987313,110.608382,111.758
465,0.987515,110.641581,111.758
466,0.987462,110.626583,111.758
467,0.987045,110.573461,111.758
468,0.987115,110.584658,111.758
469,0.98789,110.684951,111.758
470,0.985802,110.422246,111.758
471,0.986897,110.552869,111.758
472,0.987037,110.572603,111.758
473,0.986847,110.551853,111.758
474,0.986916,110.561544,111.758
475,0.986964,110.565257,111.758
476,0.987873,110.689528,111.758
477,0.987714,110.665529,111.758
478,0.987275,110.608875,111.758
479,0.987817,110.682462,111.758
480,0.988108,110.718118,111.758
481,0.988077,110.715025,111.758
482,0.987794,110.681245,111.758
483,0.986774,110.538597,111.758
484,0.987988,110.706502,111.758
485,0.98798,110.702072,111.758
486,0.988159,110.725890,111.758
487,0.988436,110.769204,111.758
488,0.987819,110.679615,111.758
489,0.988116,110.721071,111.758
490,0.987643,110.654556,111.758
491,0.987979,110.702110,111.758
492,0.988327,110.751695,111.758
493,0.988151,110.721063,111.758
494,0.987943,110.698490,111.758
495,0.987954,110.701393,111.758
496,0.989254,110.894207,111.758
497,0.988642,110.801725,111.758
498,0.989365,110.917531,111.758
499,0.988863,110.833585,111.758
500,0.988681,110.796091,111.758
501,0.988777,110.821428,111.758
502,0.989524,110.935937,111.758
503,0.989249,110.888701,111.758
504,0.989444,110.930598,111.758
505,0.988924,110.850794,111.758
506,0.989807,110.987211,111.758
507,0.98914,110.875399,111.758
508,0.989829,110.997916,111.758
509,0.989732,110.976976,111.758
510,0.989142,110.877636,111.758
511,0.98964,110.961477,111.758
512,0.988742,110.814414,111.758
513,0.990063,111.035744,111.758
514,0.989502,110.938842,111.758
