Generation,meanFitness,Phenotype,Optimum
1,0.909809,110.608399,113.704
2,0.909203,110.596532,113.704
3,0.915331,110.718627,113.704
4,0.917684,110.766512,113.704
5,0.921837,110.852988,113.704
6,0.923285,110.883641,113.704
7,0.922049,110.857231,113.704
8,0.930677,111.045436,113.704
9,0.929503,111.019046,113.704
10,0.928394,110.994450,113.704
11,0.927566,110.976394,113.704
12,0.93472,111.137532,113.704
13,0.935506,111.156098,113.704
14,0.937197,111.195782,113.704
15,0.938653,111.230123,113.704
16,0.940574,111.276855,113.704
17,0.934599,111.134835,113.704
18,0.944999,111.387126,113.704
19,0.948334,111.473975,113.704
20,0.947528,111.452729,113.704
21,0.947584,111.453948,113.704
22,0.945502,111.400073,113.704
23,0.948917,111.489527,113.704
24,0.950171,111.523014,113.704
25,0.953273,111.608243,113.704
26,0.953496,111.614060,113.704
27,0.957216,111.721689,113.704
28,0.955881,111.682288,113.704
29,0.952478,111.585895,113.704
30,0.960779,111.829493,113.704
31,0.958278,111.752764,113.704
32,0.958522,111.760125,113.704
33,0.962843,111.894787,113.704
34,0.964563,111.950853,113.704
35,0.9693,112.115800,113.704
36,0.969952,112.139931,113.704
37,0.969481,112.122783,113.704
38,0.968566,112.089198,113.704
39,0.975821,112.374339,113.704
40,0.967707,112.058449,113.704
41,0.970757,112.169963,113.704
42,0.969985,112.140793,113.704
43,0.971463,112.196514,113.704
44,0.973698,112.285404,113.704
45,0.971414,112.194911,113.704
46,0.973073,112.260035,113.704
47,0.97733,112.441705,113.704
48,0.974703,112.326544,113.704
49,0.977466,112.447855,113.704
50,0.977825,112.464590,113.704
51,0.978448,112.493674,113.704
52,0.978711,112.506357,113.704
53,0.978999,112.520326,113.704
54,0.978783,112.509871,113.704
55,0.978579,112.499847,113.704
56,0.978494,112.495970,113.704
57,0.981513,112.649620,113.704
58,0.98002,112.570655,113.704
59,0.976859,112.420377,113.704
60,0.979783,112.558854,113.704
61,0.977839,112.465002,113.704
62,0.979539,112.546768,113.704
63,0.979252,112.532471,113.704
64,0.981102,112.627133,113.704
65,0.979484,112.544180,113.704
66,0.983064,112.737178,113.704
67,0.982124,112.683100,113.704
68,0.981732,112.661073,113.704
69,0.982126,112.683036,113.704
70,0.980912,112.617282,113.704
71,0.983775,112.780382,113.704
72,0.985242,112.876568,113.704
73,0.98469,112.839044,113.704
74,0.986638,112.979149,113.704
75,0.986278,112.951633,113.704
76,0.986046,112.934171,113.704
77,0.98485,112.850040,113.704
78,0.986832,112.994139,113.704
79,0.98712,113.018280,113.704
80,0.987998,113.095489,113.704
81,0.986821,112.993892,113.704
82,0.987757,113.073382,113.704
83,0.987733,113.071343,113.704
84,0.987469,113.048276,113.704
85,0.988106,113.105775,113.704
86,0.987335,113.036637,113.704
87,0.989236,113.224817,113.704
88,0.989556,113.264218,113.704
89,0.988391,113.133400,113.704
90,0.989793,113.295722,113.704
91,0.989436,113.249410,113.704
92,0.988175,113.112439,113.704
93,0.986598,112.976328,113.704
94,0.989648,113.276192,113.704
95,0.989081,113.207331,113.704
96,0.989961,113.319200,113.704
97,0.989044,113.202373,113.704
98,0.989927,113.314977,113.704
99,0.990966,113.513571,113.704
100,0.990384,113.386972,113.704
101,0.989319,113.234878,113.704
102,0.990794,113.469983,113.704
103,0.991059,113.543849,113.704
104,0.990784,113.467590,113.704
105,0.990208,113.357255,113.704
106,0.990512,113.410146,113.704
107,0.990812,113.474865,113.704
108,0.990638,113.435452,113.704
109,0.990042,113.331376,113.704
110,0.990238,113.361842,113.704
111,0.990743,113.458003,113.704
112,0.991131,113.571615,113.704
113,0.990241,113.362889,113.704
114,0.990878,113.490655,113.704
115,0.990837,113.479799,113.704
116,0.990927,113.503866,113.704
117,0.990149,113.347673,113.704
118,0.989661,113.277446,113.704
119,0.990917,113.500950,113.704
120,0.990572,113.422331,113.704
121,0.991158,113.580454,113.704
122,0.991302,113.674827,113.704
123,0.991174,113.589564,113.704
124,0.990617,113.431265,113.704
125,0.990463,113.402689,113.704
126,0.991297,113.771135,113.704
127,0.991213,113.606601,113.704
128,0.991319,113.725385,113.704
129,0.991316,113.731507,113.704
130,0.9911,113.557063,113.704
131,0.991292,113.770161,113.704
132,0.990621,113.431843,113.704
133,0.990712,113.450971,113.704
134,0.990915,113.499992,113.704
135,0.990861,113.486163,113.704
136,0.991312,113.694093,113.704
137,0.990887,113.493092,113.704
138,0.990673,113.443053,113.704
139,0.990973,113.515786,113.704
140,0.990666,113.440878,113.704
141,0.991285,113.656240,113.704
142,0.990941,113.506244,113.704
143,0.991309,113.755028,113.704
