Generation,meanFitness,Phenotype,Optimum
1,0.845168,109.481638,113.687
2,0.855321,109.639680,113.687
3,0.856667,109.660931,113.687
4,0.861065,109.731350,113.687
5,0.87615,109.979797,113.687
6,0.873375,109.933400,113.687
7,0.87701,109.994185,113.687
8,0.88069,110.057510,113.687
9,0.889262,110.207379,113.687
10,0.828588,110.174914,105.687
11,0.829197,110.165885,105.687
12,0.829541,110.159886,105.687
13,0.825316,110.225383,105.687
14,0.83521,110.072135,105.687
15,0.834977,110.076254,105.687
16,0.830053,110.152087,105.687
17,0.845265,109.913535,105.687
18,0.839051,110.011966,105.687
19,0.849213,109.849957,105.687
20,0.8728,109.923687,113.687
21,0.87248,109.918331,113.687
22,0.885928,110.148567,113.687
23,0.887346,110.173748,113.687
24,0.879914,110.044029,113.687
25,0.883481,110.105686,113.687
26,0.889009,110.202687,113.687
27,0.882491,110.088273,113.687
28,0.883256,110.101827,113.687
29,0.884147,110.117248,113.687
30,0.821808,110.278670,105.687
31,0.819462,110.314352,105.687
32,0.830282,110.149220,105.687
33,0.830393,110.147451,105.687
34,0.830412,110.147056,105.687
35,0.833498,110.099305,105.687
36,0.826646,110.204722,105.687
37,0.837081,110.043209,105.687
38,0.835525,110.067477,105.687
39,0.837451,110.037160,105.687
40,0.879361,110.034511,113.687
41,0.876525,109.986058,113.687
42,0.87636,109.983546,113.687
43,0.883024,110.097230,113.687
44,0.888038,110.185621,113.687
45,0.887356,110.173659,113.687
46,0.887197,110.170552,113.687
47,0.877918,110.010017,113.687
48,0.884015,110.114828,113.687
49,0.889952,110.219465,113.687
50,0.822985,110.260820,105.687
51,0.81813,110.334738,105.687
52,0.824209,110.242242,105.687
53,0.824721,110.234237,105.687
54,0.830224,110.149697,105.687
55,0.832008,110.122107,105.687
56,0.821236,110.287319,105.687
57,0.836335,110.054426,105.687
58,0.846627,109.891387,105.687
59,0.849936,109.837736,105.687
60,0.876013,109.977359,113.687
61,0.87426,109.948070,113.687
62,0.882634,110.090740,113.687
63,0.869895,109.875060,113.687
64,0.882279,110.084374,113.687
65,0.892908,110.272669,113.687
66,0.891465,110.246619,113.687
67,0.896984,110.347105,113.687
68,0.89993,110.401606,113.687
69,0.899972,110.402649,113.687
70,0.811763,110.430161,105.687
71,0.815916,110.368166,105.687
72,0.807187,110.498266,105.687
73,0.806746,110.504877,105.687
74,0.810687,110.446364,105.687
75,0.813542,110.403462,105.687
76,0.817919,110.337881,105.687
77,0.812899,110.413292,105.687
78,0.814726,110.385784,105.687
79,0.819164,110.319004,105.687
80,0.903997,110.478202,113.687
81,0.901735,110.435595,113.687
82,0.901689,110.434937,113.687
83,0.904971,110.497336,113.687
84,0.910876,110.611833,113.687
85,0.912378,110.641995,113.687
86,0.909559,110.586218,113.687
87,0.905728,110.511750,113.687
88,0.907232,110.540867,113.687
89,0.912355,110.641551,113.687
90,0.797265,110.644565,105.687
91,0.789755,110.753048,105.687
92,0.809057,110.470288,105.687
93,0.797398,110.642206,105.687
94,0.802685,110.564977,105.687
