Generation,meanFitness,Phenotype,Optimum
1,0.965025,110.608399,112.332
2,0.938839,110.595341,113.056
3,0.915926,110.704435,113.678
4,0.894531,110.776786,114.169
5,0.879777,110.849927,114.509
6,0.872268,110.892964,114.682
7,0.871175,110.873989,114.682
8,0.894485,111.108933,114.507
9,0.908879,111.045277,114.167
10,0.926893,110.931819,113.674
11,0.952664,110.946732,113.052
12,0.978554,111.134035,112.327
13,0.989383,111.095057,111.531
14,0.989652,111.116223,110.699
15,0.977878,111.108403,109.867
16,0.955742,111.107607,109.072
17,0.933139,110.965379,108.348
18,0.891511,111.197164,107.727
19,0.867378,111.128249,107.237
20,0.848674,111.093490,106.898
21,0.840469,111.049398,106.725
22,0.848852,110.916388,106.727
23,0.860374,110.905886,106.902
24,0.889409,110.745212,107.244
25,0.913383,110.779671,107.737
26,0.940119,110.808516,108.36
27,0.968248,110.714947,109.086
28,0.985965,110.653728,109.882
29,0.990882,110.576484,110.714
30,0.986146,110.803441,111.546
31,0.968137,110.724298,112.341
32,0.940902,110.652850,113.064
33,0.919343,110.781406,113.684
34,0.891788,110.731618,114.174
35,0.883347,110.914746,114.512
36,0.875849,110.953803,114.684
37,0.874918,110.935879,114.681
38,0.890732,111.037970,114.504
39,0.91554,111.173097,114.161
40,0.932516,111.050712,113.667
41,0.962574,111.232652,113.044
42,0.980051,111.198333,112.318
43,0.989729,111.131860,111.521
44,0.98913,111.174484,110.689
45,0.977701,111.106654,109.857
46,0.949992,111.262025,109.063
47,0.928972,111.052946,108.34
48,0.903964,110.952036,107.721
49,0.866112,111.144388,107.232
50,0.850507,111.060657,106.895
51,0.83601,111.118636,106.724
52,0.840642,111.049064,106.728
53,0.848707,111.100867,106.906
54,0.875765,110.995378,107.249
55,0.90578,110.940374,107.744
56,0.933202,110.984377,108.369
57,0.957743,111.070846,109.095
58,0.980497,111.002537,109.892
59,0.991022,110.821276,110.724
60,0.988587,111.027388,111.556
61,0.972881,110.910797,112.35
62,0.95443,111.016029,113.072
63,0.936038,111.155083,113.691
64,0.905832,110.998329,114.179
65,0.898682,111.193653,114.515
66,0.891814,111.233805,114.685
67,0.895779,111.301946,114.68
68,0.907165,111.340632,114.501
69,0.928754,111.448172,114.156
70,0.946978,111.394852,113.661
71,0.969947,111.477280,113.036
72,0.987324,111.652963,112.309
73,0.991112,111.459954,111.511
74,0.982566,111.682690,110.679
75,0.96313,111.661095,109.847
76,0.941799,111.468294,109.053
77,0.907149,111.509594,108.332
78,0.872484,111.525532,107.714
79,0.840681,111.557636,107.227
80,0.820612,111.527817,106.892
81,0.816304,111.421264,106.723
82,0.822906,111.326798,106.729
83,0.838581,111.266778,106.909
84,0.862539,111.228044,107.254
