Generation,meanFitness,Phenotype,Optimum
1,0.986866,110.608399,111.292
2,0.984464,110.588026,111.448
3,0.983264,110.634782,111.57
4,0.982992,110.702611,111.655
5,0.984377,110.831074,111.699
6,0.982682,110.727530,111.699
7,0.983276,110.718805,111.655
8,0.987351,110.923916,111.57
9,0.986266,110.713784,111.447
10,0.98825,110.731120,111.291
11,0.989838,110.741039,111.11
12,0.991032,110.834736,110.911
13,0.991055,110.773133,110.703
14,0.989852,110.880657,110.495
15,0.98682,111.004241,110.296
16,0.985502,110.923446,110.115
17,0.984725,110.821287,109.96
18,0.982046,110.863191,109.837
19,0.978126,110.982244,109.753
20,0.976448,111.015792,109.709
21,0.978563,110.916936,109.71
22,0.981129,110.829603,109.754
23,0.981602,110.890033,109.839
24,0.985532,110.766840,109.962
25,0.987229,110.790415,110.118
26,0.987351,110.962278,110.3
27,0.989637,110.915865,110.499
28,0.990949,110.842168,110.707
29,0.990902,110.778374,110.915
30,0.988252,110.889569,111.451
31,0.990782,110.933699,111.116
32,0.991062,110.771475,110.709
33,0.988736,110.828396,110.302
34,0.983532,110.903453,109.964
35,0.978911,110.944912,109.754
36,0.976373,111.018608,109.709
37,0.980236,110.960840,109.836
38,0.985724,110.905744,110.113
39,0.989628,110.910547,110.492
40,0.991058,110.852979,110.908
41,0.988718,110.777673,111.289
42,0.987323,110.919965,111.568
43,0.98604,110.946148,111.698
44,0.987447,111.018026,111.656
45,0.988389,110.901463,111.449
46,0.990895,110.967734,111.113
47,0.97922,110.925336,109.749
48,0.987278,110.774474,110.107
49,0.990619,110.936667,110.693
50,0.989956,110.929900,111.283
51,0.98596,110.894341,111.652
52,0.985955,110.900118,111.658
53,0.989947,110.945613,111.3
54,0.990818,110.902423,110.714
55,0.985545,110.929496,110.124
56,0.977801,111.000446,109.756
57,0.977072,111.028141,109.75
58,0.983847,111.029527,110.109
59,0.99066,110.928394,110.695
60,0.99011,110.956646,111.285
61,0.986242,110.915847,111.653
62,0.986923,110.974967,111.658
63,0.989905,110.937305,111.298
64,0.990661,110.944304,110.712
65,0.98513,110.956929,110.122
66,0.975804,111.089994,109.755
67,0.978662,110.953985,109.751
68,0.985551,110.914678,110.111
69,0.990678,110.924759,110.698
70,0.990178,110.970024,111.287
71,0.987153,110.989668,111.653
72,0.987625,111.034296,111.657
73,0.990656,111.076400,111.296
74,0.989433,111.156357,110.709
75,0.980128,111.252754,110.12
76,0.974795,111.133459,109.754
77,0.97831,110.971840,109.752
78,0.97887,111.308615,110.113
79,0.98945,111.146795,110.7
80,0.991085,111.228949,111.289
81,0.989831,111.276697,111.654
82,0.989607,111.247848,111.656
83,0.990583,111.056860,111.294
84,0.980789,110.994962,109.899
85,0.974628,111.141207,109.755
86,0.974203,111.107506,109.704
87,0.975056,111.118926,109.751
88,0.978973,111.079783,109.891
89,0.982566,111.109237,110.111
90,0.987532,111.036953,110.389
91,0.989224,111.172816,110.698
92,0.990722,111.230800,111.007
93,0.9902,110.974518,111.287
94,0.988673,110.990880,111.51
95,0.989001,111.169812,111.653
96,0.987344,111.055902,111.704
97,0.987365,111.011474,111.657
98,0.989701,111.122211,111.516
99,0.991127,111.292513,111.296
100,0.990361,111.323731,111.018
101,0.988885,111.223823,110.709
102,0.984334,111.290979,110.4
103,0.975888,111.454706,110.12
104,0.97426,111.300913,109.898
105,0.972505,111.227819,109.754
106,0.967517,111.366146,109.704
107,0.972193,111.237979,109.752
108,0.975085,111.260469,109.893
109,0.98239,111.121558,110.113
110,0.985405,111.208967,110.391
111,0.988768,111.228608,110.7
112,0.990803,111.207489,111.01
113,0.990977,111.168472,111.289
114,0.99059,111.271265,111.511
115,0.989216,111.195836,111.654
116,0.988699,111.186259,111.704
117,0.989257,111.202669,111.656
118,0.990693,111.299046,111.515
119,0.991123,111.272276,111.294
120,0.990847,111.203281,111.016
121,0.990816,111.309680,111.111
122,0.99107,111.221241,111.292
123,0.990607,111.213002,111.448
124,0.990317,111.274323,111.57
125,0.990366,111.367123,111.655
126,0.990542,111.444712,111.699
127,0.990249,111.388037,111.699
128,0.990747,111.450178,111.655
129,0.991114,111.512580,111.57
130,0.991128,111.418243,111.447
131,0.990266,111.618957,111.291
132,0.990043,111.473723,111.11
133,0.987348,111.579554,110.911
134,0.985138,111.542036,110.703
135,0.982595,111.495158,110.495
136,0.97593,111.630361,110.296
137,0.973001,111.571993,110.115
138,0.972049,111.453318,109.96
139,0.96884,111.452087,109.837
140,0.966348,111.456036,109.753
141,0.96521,111.451854,109.709
142,0.96391,111.496722,109.71
143,0.965291,111.493707,109.754
144,0.966927,111.523052,109.839
145,0.971596,111.473715,109.962
146,0.97603,111.446534,110.118
147,0.9813,111.372115,110.3
148,0.984775,111.361301,110.499
149,0.986014,111.482553,110.707
150,0.988517,111.471749,110.915
151,0.991138,111.434691,111.451
152,0.990855,111.301104,111.116
153,0.986554,111.443253,110.709
154,0.978936,111.496215,110.302
155,0.970267,111.527202,109.964
156,0.967014,111.434808,109.754
157,0.966051,111.422487,109.709
158,0.968798,111.452879,109.836
159,0.97833,111.335222,110.113
160,0.985388,111.312703,110.492
161,0.990089,111.261549,110.908
162,0.990909,111.462179,111.289
163,0.99071,111.356644,111.568
164,0.990133,111.368230,111.698
165,0.98995,111.297602,111.656
166,0.991066,111.367580,111.449
167,0.990526,111.386040,111.113
168,0.969185,111.351239,109.749
169,0.975923,111.440529,110.107
170,0.98751,111.345572,110.693
171,0.991077,111.216889,111.283
172,0.990401,111.370651,111.652
173,0.990203,111.340246,111.658
174,0.991082,111.236474,111.3
175,0.987487,111.369523,110.714
176,0.979698,111.279515,110.124
177,0.969639,111.340430,109.756
178,0.967395,111.416714,109.75
179,0.978253,111.334823,110.109
180,0.988186,111.284484,110.695
181,0.990942,111.152841,111.285
182,0.990259,111.344012,111.653
183,0.989745,111.268911,111.658
184,0.990914,111.152569,111.298
185,0.98786,111.333160,110.712
186,0.981413,111.186511,110.122
187,0.973119,111.203672,109.755
188,0.973401,111.188380,109.751
189,0.980679,111.214916,110.111
190,0.989702,111.108438,110.698
191,0.99093,111.147629,111.287
192,0.989362,111.212873,111.653
193,0.989599,111.246950,111.657
194,0.991013,111.190529,111.296
195,0.989556,111.140795,110.709
196,0.982174,111.141647,110.12
197,0.974264,111.156436,109.754
198,0.972949,111.207953,109.752
199,0.980892,111.205649,110.113
200,0.990105,111.048732,110.7
201,0.990615,111.059193,111.289
202,0.987537,111.024145,111.654
203,0.987817,111.051124,111.656
204,0.990323,111.003845,111.294
205,0.977403,111.163836,109.899
206,0.978099,110.985875,109.755
207,0.974804,111.082606,109.704
208,0.974774,111.131515,109.751
209,0.979474,111.055498,109.891
210,0.983232,111.070001,110.111
211,0.988358,110.957558,110.389
212,0.990577,110.952277,110.698
213,0.991066,111.093886,111.007
214,0.990578,111.049587,111.287
215,0.988501,110.973290,111.51
216,0.986894,110.968518,111.653
217,0.988003,111.116347,111.704
218,0.988437,111.111966,111.657
219,0.988317,110.961005,111.516
220,0.990866,111.134494,111.296
221,0.990832,111.209474,111.018
222,0.990428,110.995498,110.709
223,0.986007,111.173594,110.4
224,0.981143,111.199447,110.12
225,0.977884,111.139880,109.898
226,0.97413,111.161913,109.754
227,0.975087,111.070542,109.704
228,0.973675,111.178266,109.752
229,0.979667,111.046877,109.893
230,0.982923,111.090541,110.113
231,0.986707,111.110185,110.391
232,0.989635,111.120511,110.7
233,0.991113,111.044858,111.01
234,0.990418,111.016624,111.289
235,0.990596,111.272852,111.511
236,0.989133,111.185900,111.654
237,0.988011,111.117021,111.704
238,0.989868,111.283947,111.656
239,0.990031,111.170149,111.515
240,0.991119,111.269191,111.294
241,0.990728,111.238367,111.016
242,0.990697,111.343006,111.111
243,0.991131,111.285356,111.292
244,0.990336,111.156465,111.448
245,0.990888,111.407867,111.57
246,0.98976,111.267857,111.655
247,0.988776,111.189335,111.699
248,0.988302,111.139546,111.699
249,0.989881,111.284989,111.655
250,0.989705,111.175782,111.57
251,0.989932,111.087254,111.447
252,0.991048,111.205571,111.291
253,0.990379,111.415819,111.11
254,0.990609,111.161183,110.911
255,0.989298,111.168241,110.703
256,0.987598,111.137551,110.495
257,0.985736,111.089090,110.296
258,0.980409,111.232888,110.115
259,0.979072,111.145391,109.96
260,0.974643,111.223333,109.837
261,0.971937,111.248771,109.753
262,0.974368,111.106298,109.709
263,0.972628,111.178933,109.71
264,0.976058,111.077704,109.754
265,0.973969,111.253727,109.839
266,0.976902,111.250687,109.962
267,0.985,110.961813,110.118
268,0.985641,111.098951,110.3
269,0.989409,110.946587,110.499
270,0.990602,110.953496,110.707
271,0.990923,111.069038,110.915
272,0.989667,111.053488,111.451
273,0.991057,111.045631,111.116
274,0.990044,111.067108,110.709
275,0.98361,111.238638,110.302
276,0.975309,111.323396,109.964
277,0.972512,111.227818,109.754
278,0.967659,111.366653,109.709
279,0.97111,111.365667,109.836
280,0.981479,111.173712,110.113
281,0.986817,111.202883,110.492
282,0.990087,111.261996,110.908
283,0.99111,111.352693,111.289
284,0.990215,111.253750,111.568
285,0.989118,111.227505,111.698
286,0.988478,111.115285,111.656
287,0.990338,111.158519,111.449
288,0.991035,111.029508,111.113
289,0.977152,111.023627,109.749
290,0.982632,111.102133,110.107
291,0.989999,111.057128,110.693
292,0.990639,111.058530,111.283
293,0.989308,111.204637,111.652
294,0.988812,111.153032,111.658
295,0.990889,111.145937,111.3
296,0.987143,111.399467,110.714
297,0.982395,111.132403,110.124
298,0.972677,111.223121,109.756
299,0.967214,111.423718,109.75
300,0.98086,111.202844,110.109
301,0.989642,111.115468,110.695
302,0.990926,111.143975,111.285
303,0.988975,111.165250,111.653
304,0.985872,110.893447,111.658
305,0.990658,111.077730,111.298
306,0.989091,111.202442,110.712
307,0.982659,111.115007,110.122
308,0.977288,111.023444,109.755
309,0.977453,111.011301,109.751
310,0.981851,111.150142,110.111
311,0.989098,111.187181,110.698
312,0.990916,111.142648,111.287
313,0.988794,111.145952,111.653
314,0.989436,111.225855,111.657
315,0.990024,110.953283,111.296
316,0.990332,111.016269,110.709
317,0.983013,111.091760,110.12
318,0.973771,111.176553,109.754
319,0.978753,110.950095,109.752
320,0.983781,111.037464,110.113
321,0.990095,111.049193,110.7
322,0.990636,111.062956,111.289
323,0.985958,110.896332,111.654
324,0.988908,111.161663,111.656
325,0.991024,111.194746,111.294
326,0.97759,111.154293,109.899
327,0.976624,111.054466,109.755
328,0.976452,111.010177,109.704
329,0.977003,111.032476,109.751
330,0.978706,111.093350,109.891
331,0.982199,111.130948,110.111
332,0.987226,111.063538,110.389
333,0.989994,111.065192,110.698
334,0.991084,111.077224,111.007
335,0.990444,111.019646,111.287
336,0.990325,111.216107,111.51
337,0.988029,111.068287,111.653
338,0.987139,111.038792,111.704
339,0.988499,111.117984,111.657
340,0.988697,111.000447,111.516
341,0.990786,111.110452,111.296
342,0.991113,111.014601,111.018
343,0.990234,111.033926,110.709
344,0.987392,111.061133,110.4
345,0.982945,111.096323,110.12
346,0.979545,111.058391,109.898
347,0.974602,111.141848,109.754
348,0.977072,110.981704,109.704
349,0.978551,110.959733,109.752
350,0.98187,110.928723,109.893
351,0.983178,111.074541,110.113
352,0.987577,111.034460,110.391
353,0.990273,111.017493,110.7
354,0.991096,110.984272,111.01
355,0.989745,110.904182,111.289
356,0.989428,111.080430,111.511
357,0.987178,110.992271,111.654
358,0.985841,110.936737,111.704
359,0.987523,111.024338,111.656
360,0.987993,110.927767,111.515
361,0.990135,110.969752,111.294
362,0.991095,111.065037,111.016
363,0.991054,111.039195,111.111
364,0.990563,111.049524,111.292
365,0.989864,111.077813,111.448
366,0.989554,111.156226,111.57
367,0.989363,111.214506,111.655
368,0.987006,111.022394,111.699
369,0.986427,110.975683,111.699
370,0.989463,111.227033,111.655
371,0.989194,111.109366,111.57
372,0.989945,111.089039,111.447
373,0.990954,111.160645,111.291
374,0.991114,111.144601,111.11
375,0.990985,111.040837,110.911
376,0.988133,111.297508,110.703
377,0.98794,111.105701,110.495
378,0.984325,111.187850,110.296
379,0.982167,111.136856,110.115
380,0.978604,111.167899,109.96
381,0.975244,111.197822,109.837
382,0.972816,111.213732,109.753
383,0.973965,111.123133,109.709
384,0.970742,111.252557,109.71
385,0.974115,111.161375,109.754
386,0.98151,110.894777,109.839
387,0.980626,111.067694,109.962
388,0.983419,111.065575,110.118
389,0.985219,111.129324,110.3
390,0.987941,111.110010,110.499
391,0.990486,110.981195,110.707
392,0.991048,110.850760,110.915
393,0.989284,111.002885,111.451
394,0.991117,111.122039,111.116
395,0.989691,111.121922,110.709
396,0.986805,111.011891,110.302
397,0.98337,110.913396,109.964
398,0.973429,111.190791,109.754
399,0.97625,111.024407,109.709
400,0.978839,111.031406,109.836
401,0.982847,111.095187,110.113
402,0.988978,110.993505,110.492
403,0.99093,111.063459,110.908
404,0.990134,110.964507,111.289
405,0.987955,110.977237,111.568
406,0.987606,111.073477,111.698
407,0.988346,111.101807,111.656
408,0.98873,110.937523,111.449
409,0.991115,111.144068,111.113
410,0.977186,111.022859,109.749
411,0.98461,110.977409,110.107
412,0.989835,111.082312,110.693
413,0.990975,111.161288,111.283
414,0.987782,111.043269,111.652
415,0.989806,111.277248,111.658
416,0.990193,110.985776,111.3
417,0.989443,111.160408,110.714
418,0.981313,111.193907,110.124
419,0.975911,111.086112,109.756
420,0.975266,111.109110,109.75
421,0.98221,111.128152,110.109
422,0.989596,111.120158,110.695
423,0.991111,111.248906,111.285
424,0.988928,111.160352,111.653
425,0.988917,111.164039,111.658
426,0.991104,111.256209,111.298
427,0.988904,111.224568,110.712
428,0.981075,111.204470,110.122
429,0.97426,111.156958,109.755
430,0.973236,111.195070,109.751
431,0.980299,111.234856,110.111
432,0.988412,111.264039,110.698
433,0.991015,111.183044,111.287
434,0.989738,111.263348,111.653
435,0.988796,111.150327,111.657
436,0.990943,111.160691,111.296
437,0.989152,111.192463,110.709
438,0.983087,111.087686,110.12
439,0.974978,111.125306,109.754
440,0.97271,111.216895,109.752
441,0.980464,111.228093,110.113
442,0.989825,111.092006,110.7
443,0.991119,111.256705,111.289
444,0.988,111.066223,111.654
445,0.98972,111.263139,111.656
446,0.991126,111.279901,111.294
