Generation,meanFitness,Phenotype,Optimum
1,0.879336,117.654920,121.439
2,0.881834,117.698999,121.439
3,0.896323,117.965065,121.439
4,0.899641,118.028527,121.439
5,0.893258,117.907833,121.439
6,0.902968,118.093300,121.439
7,0.911615,118.265659,121.439
8,0.923733,118.522789,121.439
9,0.91593,118.355083,121.439
10,0.901611,118.066371,121.439
11,0.903921,118.111530,121.439
12,0.911045,118.254318,121.439
13,0.920257,118.446636,121.439
14,0.931351,118.694378,121.439
15,0.934509,118.768892,121.439
16,0.936716,118.821825,121.439
17,0.933107,118.735057,121.439
18,0.932445,118.719918,121.439
19,0.933433,118.743455,121.439
20,0.943726,118.997497,121.439
21,0.941968,118.952370,121.439
22,0.942211,118.958475,121.439
23,0.956291,119.345999,121.439
24,0.956792,119.360908,121.439
25,0.955167,119.312577,121.439
26,0.958241,119.404980,121.439
27,0.966933,119.690918,121.439
28,0.961791,119.516937,121.439
29,0.954931,119.305561,121.439
30,0.955142,119.311725,121.439
31,0.960812,119.485529,121.439
32,0.965347,119.635921,121.439
33,0.966043,119.659808,121.439
34,0.973658,119.947913,121.439
35,0.972799,119.913138,121.439
36,0.971948,119.878721,121.439
37,0.967252,119.702613,121.439
38,0.967107,119.697346,121.439
39,0.97669,120.079351,121.439
40,0.976985,120.092744,121.439
41,0.978929,120.184823,121.439
42,0.978505,120.164373,121.439
43,0.975977,120.047314,121.439
44,0.982556,120.377172,121.439
45,0.983911,120.458403,121.439
46,0.987232,120.693340,121.439
47,0.988293,120.786107,121.439
48,0.985962,120.596000,121.439
49,0.9862,120.613001,121.439
50,0.985026,120.530395,121.439
51,0.990181,120.994520,121.439
52,0.988667,120.821670,121.439
53,0.986517,120.637164,121.439
54,0.987482,120.714153,121.439
55,0.990408,121.026488,121.439
56,0.991661,121.293841,121.439
57,0.99165,121.289935,121.439
58,0.990923,121.109927,121.439
59,0.990244,121.003105,121.439
60,0.99185,121.424685,121.439
61,0.991527,121.247972,121.439
62,0.99185,121.412843,121.439
63,0.991695,121.592855,121.439
64,0.991096,121.759306,121.439
65,0.991396,121.691063,121.439
66,0.989763,121.962615,121.439
67,0.990085,121.921553,121.439
68,0.990119,121.917849,121.439
69,0.9898,121.958652,121.439
70,0.988227,122.125305,121.439
71,0.988741,122.075353,121.439
72,0.983297,122.489226,121.439
73,0.985985,122.309418,121.439
74,0.988699,122.079445,121.439
75,0.982674,122.527181,121.439
76,0.984203,122.432028,121.439
77,0.988531,122.096464,121.439
78,0.984843,122.390269,121.439
79,0.985752,122.327101,121.439
80,0.989313,122.015163,121.439
81,0.987874,122.157943,121.439
82,0.989233,122.023634,121.439
83,0.988605,122.088189,121.439
84,0.984522,122.411193,121.439
85,0.986272,122.289128,121.439
86,0.99076,121.820636,121.439
87,0.986112,122.300530,121.439
88,0.987733,122.169785,121.439
89,0.986814,122.246496,121.439
90,0.987425,122.196746,121.439
91,0.986816,122.246606,121.439
92,0.983383,122.484693,121.439
