Generation,meanFitness,Phenotype,Optimum
1,0.862011,120.190446,124.323
2,0.879931,120.500921,124.323
3,0.888883,120.663885,124.323
4,0.892432,120.730517,124.323
5,0.900786,120.890437,124.323
6,0.913945,121.156410,124.323
7,0.918832,121.260267,124.323
8,0.922179,121.333236,124.323
9,0.922325,121.336377,124.323
10,0.931683,121.549265,124.323
11,0.936583,121.666708,124.323
12,0.936933,121.675637,124.323
13,0.943579,121.843651,124.323
14,0.952664,122.092443,124.323
15,0.949232,121.995286,124.323
16,0.966937,122.547515,124.323
17,0.958902,122.279331,124.323
18,0.961703,122.369001,124.323
19,0.973056,122.781512,124.323
20,0.730072,122.505971,116.323
21,0.722501,122.612485,116.323
22,0.713913,122.733264,116.323
23,0.719692,122.652448,116.323
24,0.72533,122.572859,116.323
25,0.710026,122.787622,116.323
26,0.705292,122.853944,116.323
27,0.722893,122.607135,116.323
28,0.719839,122.650618,116.323
29,0.741332,122.346157,116.323
30,0.729836,122.509363,116.323
31,0.709025,122.801690,116.323
32,0.727442,122.543177,116.323
33,0.719652,122.652633,116.323
34,0.731305,122.488363,116.323
35,0.716507,122.697123,116.323
36,0.732104,122.477307,116.323
37,0.703068,122.884767,116.323
38,0.703091,122.884445,116.323
39,0.706264,122.840419,116.323
40,0.976093,122.911834,124.323
41,0.977897,122.994803,124.323
42,0.975073,122.866845,124.323
43,0.979611,123.078801,124.323
44,0.98026,123.111923,124.323
45,0.978201,123.009315,124.323
46,0.979455,123.070709,124.323
47,0.98168,123.187695,124.323
48,0.980459,123.122199,124.323
49,0.981933,123.202060,124.323
50,0.983122,123.270826,124.323
51,0.984587,123.361850,124.323
52,0.975102,122.868102,124.323
53,0.984101,123.330853,124.323
54,0.981417,123.173272,124.323
55,0.987657,123.588276,124.323
56,0.986942,123.529686,124.323
57,0.98378,123.310679,124.323
58,0.98552,123.424581,124.323
59,0.990546,123.897828,124.323
60,0.6381,123.776929,116.323
61,0.638333,123.773810,116.323
62,0.635559,123.811612,116.323
63,0.650906,123.602393,116.323
64,0.651066,123.600242,116.323
65,0.650448,123.608762,116.323
66,0.653647,123.564721,116.323
67,0.674802,123.275292,116.323
68,0.659247,123.488507,116.323
69,0.67834,123.226555,116.323
70,0.6685,123.361719,116.323
71,0.665877,123.397536,116.323
72,0.659593,123.483837,116.323
73,0.670037,123.340636,116.323
74,0.681247,123.186734,116.323
75,0.670197,123.338927,116.323
76,0.674561,123.278848,116.323
