Generation,meanFitness,Phenotype,Optimum
1,1,109.189487,105.189
2,0.960553,109.134158,105.189
3,0.960035,109.186003,105.189
4,0.961129,109.076539,105.189
5,0.960524,109.137062,105.189
6,0.960795,109.109937,105.189
7,0.960964,109.093015,105.189
8,0.961358,109.053666,105.189
9,0.961259,109.063624,105.189
10,0.960791,109.110429,105.189
11,0.960801,109.109375,105.189
12,0.961243,109.065017,105.189
13,0.960769,109.112558,105.189
14,0.961659,109.023593,105.189
15,0.960462,109.143302,105.189
16,0.960848,109.104698,105.189
17,0.960105,109.178962,105.189
18,0.961192,109.070329,105.189
19,0.960677,109.121823,105.189
20,0.960716,109.117864,105.189
21,0.961455,109.043994,105.189
22,0.9612,109.069438,105.189
23,0.96159,109.030469,105.189
24,0.961408,109.048659,105.189
25,0.958483,109.037741,113.189
26,0.958648,109.054295,113.189
27,0.958574,109.046880,113.189
28,0.959041,109.093609,113.189
29,0.959431,109.132605,113.189
30,0.958947,109.084144,113.189
31,0.958561,109.045599,113.189
32,0.958374,109.026927,113.189
33,0.958267,109.016181,113.189
34,0.959572,109.146694,113.189
35,0.959864,109.175944,113.189
36,0.959861,109.175547,113.189
37,0.958625,109.052010,113.189
38,0.958452,109.034729,113.189
39,0.959741,109.163542,113.189
40,0.958301,109.019571,113.189
41,0.958648,109.054244,113.189
42,0.957388,108.928312,113.189
43,0.957891,108.978633,113.189
44,0.958093,108.998801,113.189
45,0.958496,109.039066,113.189
46,0.958139,109.003412,113.189
47,0.959373,109.126748,113.189
48,0.959807,109.170185,113.189
49,0.959518,109.141323,113.189
50,0.961421,109.047380,105.189
51,0.960909,109.098594,105.189
52,0.96086,109.103451,105.189
53,0.959861,109.203334,105.189
54,0.961239,109.065632,105.189
55,0.961144,109.075093,105.189
56,0.961619,109.027601,105.189
57,0.960855,109.104028,105.189
58,0.960443,109.145164,105.189
59,0.961266,109.062897,105.189
60,0.961221,109.067286,105.189
61,0.961258,109.063671,105.189
62,0.96199,108.990532,105.189
63,0.9616,109.029430,105.189
64,0.961503,109.039196,105.189
65,0.961038,109.085718,105.189
66,0.960993,109.090170,105.189
67,0.961885,109.000964,105.189
68,0.960975,109.091977,105.189
69,0.961648,109.024684,105.189
70,0.96103,109.086499,105.189
71,0.961657,109.023812,105.189
72,0.961071,109.082343,105.189
73,0.962218,108.967522,105.189
74,0.961402,109.049274,105.189
75,0.958772,109.066684,113.189
76,0.958636,109.053147,113.189
77,0.959138,109.103255,113.189
78,0.959013,109.090761,113.189
79,0.958806,109.070103,113.189
80,0.959038,109.093305,113.189
81,0.959126,109.102066,113.189
82,0.959228,109.112321,113.189
83,0.958821,109.071585,113.189
84,0.958869,109.076454,113.189
85,0.959302,109.119677,113.189
86,0.95946,109.135487,113.189
87,0.958834,109.072917,113.189
88,0.958808,109.070331,113.189
89,0.959271,109.116553,113.189
90,0.957903,108.979740,113.189
91,0.958134,109.002901,113.189
92,0.959025,109.091940,113.189
93,0.958004,108.989887,113.189
94,0.957171,108.906587,113.189
95,0.957659,108.955408,113.189
96,0.958402,109.029751,113.189
97,0.959842,109.173674,113.189
98,0.958734,109.062907,113.189
99,0.959126,109.102088,113.189
100,0.960429,109.146563,105.189
101,0.961839,109.005629,105.189
102,0.961507,109.038787,105.189
103,0.960392,109.150248,105.189
104,0.961306,109.058846,105.189
105,0.961266,109.062603,105.189
106,0.961373,109.052154,105.189
107,0.960892,109.100300,105.189
108,0.960427,109.146774,105.189
109,0.961162,109.073245,105.189
110,0.961053,109.084195,105.189
111,0.960364,109.153112,105.189
112,0.961044,109.085087,105.189
113,0.96149,109.040344,105.189
114,0.961293,109.060146,105.189
115,0.960861,109.103384,105.189
116,0.961488,109.040659,105.189
117,0.95968,109.221530,105.189
118,0.960802,109.109290,105.189
119,0.959222,109.267248,105.189
120,0.960112,109.178324,105.189
121,0.960342,109.155321,105.189
122,0.960985,109.090964,105.189
123,0.959929,109.196570,105.189
124,0.959981,109.191388,105.189
125,0.958831,109.072544,113.189
126,0.959456,109.135051,113.189
127,0.958278,109.017273,113.189
128,0.958296,109.019093,113.189
129,0.957646,108.954086,113.189
130,0.958772,109.066719,113.189
131,0.958675,109.056973,113.189
132,0.959636,109.153130,113.189
133,0.959803,109.169814,113.189
134,0.959423,109.131802,113.189
135,0.96006,109.195503,113.189
136,0.959691,109.158624,113.189
137,0.958563,109.045789,113.189
138,0.958721,109.061552,113.189
139,0.957891,108.978621,113.189
140,0.959105,109.100004,113.189
141,0.958283,109.017831,113.189
142,0.9587,109.059509,113.189
143,0.958118,109.001304,113.189
144,0.957831,108.972585,113.189
145,0.957807,108.970152,113.189
146,0.958123,109.001743,113.189
147,0.957372,108.926716,113.189
148,0.958039,108.993360,113.189
149,0.957677,108.957207,113.189
150,0.961423,109.047165,105.189
151,0.962514,108.938110,105.189
152,0.962356,108.953864,105.189
153,0.962551,108.934380,105.189
154,0.962962,108.893307,105.189
155,0.962154,108.974038,105.189
156,0.962652,108.924273,105.189
157,0.963161,108.873252,105.189
158,0.962222,108.967334,105.189
159,0.961763,109.013168,105.189
160,0.962232,108.966272,105.189
161,0.962067,108.982743,105.189
162,0.962448,108.944712,105.189
163,0.963077,108.881822,105.189
164,0.962048,108.984647,105.189
165,0.962989,108.890541,105.189
166,0.962641,108.925354,105.189
167,0.962082,108.981300,105.189
168,0.963053,108.884167,105.189
169,0.962322,108.957196,105.189
170,0.962012,108.988310,105.189
171,0.961058,109.083656,105.189
172,0.961807,109.008790,105.189
173,0.960923,109.097236,105.189
174,0.960881,109.101418,105.189
175,0.957901,108.979621,113.189
176,0.958661,109.055583,113.189
177,0.958062,108.995708,113.189
178,0.957707,108.960232,113.189
179,0.958558,109.045295,113.189
180,0.958687,109.058220,113.189
181,0.958798,109.069318,113.189
182,0.958438,109.033319,113.189
183,0.958699,109.059434,113.189
184,0.959013,109.090794,113.189
185,0.959799,109.169403,113.189
186,0.95866,109.055483,113.189
187,0.95951,109.140439,113.189
188,0.959823,109.171828,113.189
189,0.959851,109.174539,113.189
190,0.960048,109.194239,113.189
191,0.960285,109.218119,113.189
192,0.960262,109.215713,113.189
193,0.960467,109.236170,113.189
194,0.960819,109.271338,113.189
195,0.959151,109.104607,113.189
196,0.959913,109.180773,113.189
197,0.959835,109.172961,113.189
198,0.959173,109.106831,113.189
199,0.961315,109.320946,113.189
200,0.961049,109.084612,105.189
201,0.959338,109.255688,105.189
202,0.959279,109.261583,105.189
203,0.959131,109.276390,105.189
204,0.960024,109.187100,105.189
205,0.958231,109.366396,105.189
206,0.958601,109.329355,105.189
207,0.958864,109.303108,105.189
208,0.959135,109.276032,105.189
209,0.959582,109.231333,105.189
210,0.960114,109.178090,105.189
211,0.960327,109.156764,105.189
212,0.959181,109.271407,105.189
213,0.959633,109.226192,105.189
214,0.959473,109.242231,105.189
215,0.959019,109.287625,105.189
216,0.960976,109.091881,105.189
217,0.959315,109.257997,105.189
218,0.960237,109.165788,105.189
219,0.960831,109.106422,105.189
220,0.960139,109.175594,105.189
221,0.959112,109.278264,105.189
222,0.958906,109.298890,105.189
223,0.958847,109.304751,105.189
224,0.959554,109.234088,105.189
225,0.959893,109.178747,113.189
226,0.960353,109.224801,113.189
227,0.961934,109.382853,113.189
228,0.960977,109.287227,113.189
229,0.960215,109.210971,113.189
230,0.959267,109.116264,113.189
231,0.959968,109.186280,113.189
232,0.960908,109.280296,113.189
233,0.959743,109.163743,113.189
234,0.960341,109.223605,113.189
235,0.960098,109.199316,113.189
236,0.960346,109.224118,113.189
237,0.958742,109.063639,113.189
238,0.960495,109.239018,113.189
239,0.960089,109.198415,113.189
240,0.961299,109.319422,113.189
241,0.96015,109.204443,113.189
242,0.959267,109.116139,113.189
243,0.959581,109.147585,113.189
244,0.958553,109.044819,113.189
245,0.960724,109.261936,113.189
246,0.959826,109.172104,113.189
247,0.961651,109.354715,113.189
248,0.96121,109.310727,113.189
249,0.960292,109.218717,113.189
250,0.957961,109.393347,105.189
251,0.958545,109.334963,105.189
252,0.957793,109.410141,105.189
253,0.957738,109.415715,105.189
254,0.958479,109.341606,105.189
255,0.958957,109.293790,105.189
256,0.958572,109.332309,105.189
257,0.959067,109.282829,105.189
258,0.958875,109.302015,105.189
259,0.959595,109.229951,105.189
260,0.960006,109.188935,105.189
261,0.96021,109.168454,105.189
262,0.959092,109.280245,105.189
263,0.960123,109.177147,105.189
264,0.959812,109.208327,105.189
265,0.959304,109.259094,105.189
266,0.959292,109.260315,105.189
267,0.959162,109.273281,105.189
268,0.958631,109.326400,105.189
269,0.958382,109.351296,105.189
270,0.95939,109.250459,105.189
271,0.960316,109.157903,105.189
272,0.959214,109.268052,105.189
273,0.95893,109.296503,105.189
274,0.959677,109.221794,105.189
275,0.959963,109.185798,113.189
276,0.961872,109.376646,113.189
277,0.961929,109.382402,113.189
278,0.961618,109.351308,113.189
279,0.96046,109.235475,113.189
280,0.96116,109.305445,113.189
281,0.961928,109.382319,113.189
282,0.96128,109.317524,113.189
283,0.961201,109.309617,113.189
284,0.961587,109.348141,113.189
285,0.961732,109.362659,113.189
286,0.9626,109.449472,113.189
287,0.962414,109.430913,113.189
288,0.962259,109.415389,113.189
289,0.961848,109.374237,113.189
290,0.96329,109.518571,113.189
291,0.963138,109.503275,113.189
292,0.963105,109.500010,113.189
293,0.962197,109.409141,113.189
294,0.963094,109.498861,113.189
295,0.964313,109.620844,113.189
296,0.963413,109.530894,113.189
297,0.963386,109.528114,113.189
298,0.963168,109.506391,113.189
299,0.962633,109.452916,113.189
300,0.957756,109.413929,105.189
301,0.955403,109.649226,105.189
302,0.956345,109.554971,105.189
303,0.956623,109.527149,105.189
304,0.957228,109.466674,105.189
305,0.955848,109.604735,105.189
306,0.956761,109.513379,105.189
307,0.956782,109.511295,105.189
308,0.957749,109.414610,105.189
309,0.957061,109.483393,105.189
310,0.956347,109.554766,105.189
311,0.957695,109.419981,105.189
312,0.956003,109.589192,105.189
313,0.958373,109.352145,105.189
314,0.957185,109.471010,105.189
315,0.956873,109.502188,105.189
316,0.957122,109.477276,105.189
317,0.955904,109.599115,105.189
318,0.956612,109.528335,105.189
319,0.956786,109.510821,105.189
320,0.956651,109.524311,105.189
321,0.957427,109.446800,105.189
322,0.95719,109.470528,105.189
323,0.956739,109.515618,105.189
324,0.957483,109.441204,105.189
325,0.963162,109.505803,113.189
326,0.96277,109.466544,113.189
327,0.963252,109.514669,113.189
328,0.961767,109.366242,113.189
329,0.962625,109.452192,113.189
330,0.961508,109.340344,113.189
331,0.962059,109.395394,113.189
332,0.962964,109.486002,113.189
333,0.96124,109.313498,113.189
334,0.96056,109.245485,113.189
335,0.962186,109.408127,113.189
336,0.963129,109.502413,113.189
337,0.962978,109.487340,113.189
338,0.962699,109.459482,113.189
339,0.962857,109.475300,113.189
