Generation,meanFitness,Phenotype,Optimum
1,1,103.154094,99.1541
2,0.95998,103.156037,99.1541
3,0.959878,103.166255,99.1541
4,0.960617,103.092370,99.1541
5,0.960195,103.134591,99.1541
6,0.960291,103.125020,99.1541
7,0.960393,103.114795,99.1541
8,0.960434,103.110671,99.1541
9,0.960428,103.111288,99.1541
10,0.960583,103.095815,99.1541
11,0.959951,103.158999,99.1541
12,0.960978,103.056274,99.1541
13,0.960782,103.075810,99.1541
14,0.960869,103.067152,99.1541
15,0.960931,103.060926,99.1541
16,0.961464,103.007659,99.1541
17,0.961292,103.024921,99.1541
18,0.961917,102.962270,99.1541
19,0.961718,102.982320,99.1541
20,0.961389,103.015155,99.1541
21,0.961204,103.033611,99.1541
22,0.96179,102.975104,99.1541
23,0.96204,102.950038,99.1541
24,0.961811,102.972978,99.1541
25,0.957786,102.932717,107.154
26,0.958049,102.959306,107.154
27,0.956389,102.792991,107.154
28,0.957454,102.899492,107.154
29,0.958422,102.996248,107.154
30,0.957525,102.906631,107.154
31,0.958554,103.009468,107.154
32,0.958481,103.002182,107.154
33,0.95911,103.065097,107.154
34,0.960528,103.206920,107.154
35,0.959777,103.131797,107.154
36,0.958434,102.997465,107.154
37,0.958323,102.986379,107.154
38,0.959324,103.086528,107.154
39,0.961556,103.309694,107.154
40,0.961432,103.297280,107.154
41,0.961007,103.254811,107.154
42,0.9593,103.084072,107.154
43,0.961332,103.287290,107.154
44,0.961042,103.258267,107.154
45,0.960551,103.209232,107.154
46,0.960857,103.239830,107.154
47,0.959063,103.060419,107.154
48,0.960637,103.217823,107.154
49,0.959913,103.145421,107.154
50,0.961103,103.043811,99.1541
51,0.960517,103.102438,99.1541
52,0.960892,103.064903,99.1541
53,0.960768,103.077265,99.1541
54,0.960494,103.104719,99.1541
55,0.960642,103.089858,99.1541
56,0.960569,103.097155,99.1541
57,0.961291,103.024974,99.1541
58,0.961108,103.043302,99.1541
59,0.961653,102.988791,99.1541
60,0.961476,103.006476,99.1541
61,0.96116,103.038082,99.1541
62,0.96131,103.023105,99.1541
63,0.961472,103.006931,99.1541
64,0.961693,102.984759,99.1541
65,0.961558,102.998310,99.1541
66,0.961399,103.014124,99.1541
67,0.961522,103.001579,99.1541
68,0.961372,103.016939,99.1541
69,0.961339,103.020159,99.1541
70,0.96207,102.947077,99.1541
71,0.961813,102.972817,99.1541
72,0.961964,102.957655,99.1541
73,0.961666,102.987478,99.1541
74,0.96226,102.927791,99.1541
75,0.958028,102.956858,107.154
76,0.957549,102.909003,107.154
77,0.957815,102.935611,107.154
78,0.957721,102.926228,107.154
79,0.957693,102.923357,107.154
80,0.958335,102.987590,107.154
81,0.958571,103.011211,107.154
82,0.958574,103.011492,107.154
83,0.95815,102.969133,107.154
84,0.958493,103.003383,107.154
85,0.958144,102.968449,107.154
86,0.957855,102.939557,107.154
87,0.958293,102.983443,107.154
88,0.958266,102.980692,107.154
89,0.958066,102.960684,107.154
90,0.958753,103.029396,107.154
91,0.95834,102.988125,107.154
92,0.958529,103.006985,107.154
93,0.959034,103.057487,107.154
94,0.958944,103.048525,107.154
95,0.959181,103.072202,107.154
96,0.958958,103.049848,107.154
97,0.95906,103.060050,107.154
98,0.959688,103.122886,107.154
99,0.959662,103.120322,107.154
100,0.960738,103.080263,99.1541
101,0.960548,103.099262,99.1541
102,0.961373,103.016830,99.1541
103,0.961356,103.018481,99.1541
104,0.959985,103.155612,99.1541
105,0.95999,103.155094,99.1541
106,0.960554,103.098720,99.1541
107,0.960162,103.137856,99.1541
108,0.960898,103.064281,99.1541
109,0.960361,103.118003,99.1541
110,0.960294,103.124712,99.1541
111,0.960506,103.103536,99.1541
112,0.960891,103.064982,99.1541
113,0.960252,103.128903,99.1541
114,0.960475,103.106593,99.1541
115,0.960804,103.073712,99.1541
116,0.961377,103.016404,99.1541
117,0.959725,103.181642,99.1541
118,0.960975,103.056634,99.1541
119,0.960939,103.060203,99.1541
120,0.95995,103.159054,99.1541
121,0.96066,103.088110,99.1541
122,0.961141,103.040006,99.1541
123,0.960988,103.055274,99.1541
124,0.962383,102.915827,99.1541
125,0.958155,102.969579,107.154
126,0.958066,102.960648,107.154
127,0.958224,102.976475,107.154
128,0.958845,103.038618,107.154
129,0.958459,103.000041,107.154
130,0.95849,103.003101,107.154
131,0.958456,102.999743,107.154
132,0.958254,102.979449,107.154
133,0.958423,102.996353,107.154
134,0.958469,103.001007,107.154
135,0.95803,102.957046,107.154
136,0.958756,103.029666,107.154
137,0.958196,102.973658,107.154
138,0.958754,103.029534,107.154
139,0.958233,102.977393,107.154
140,0.958724,103.026485,107.154
141,0.95855,103.009111,107.154
142,0.959179,103.071960,107.154
143,0.958901,103.044180,107.154
144,0.959117,103.065839,107.154
145,0.958582,103.012264,107.154
