Generation,meanFitness,Phenotype,Optimum
1,1,339.750108,386.483
2,0.763655,339.620502,386.483
3,0.770157,341.032957,386.483
4,0.778324,342.669925,386.483
5,0.784085,343.858208,386.483
6,0.792124,345.649636,386.483
7,0.799524,347.152062,386.483
8,0.804747,348.378651,386.483
9,0.812055,350.054367,386.483
10,0.819326,351.597172,386.483
11,0.825675,353.032309,386.483
12,0.832153,354.746695,386.483
13,0.837013,355.780727,386.483
14,0.841518,356.686982,386.483
15,0.846303,357.921254,386.483
16,0.850098,358.841315,386.483
17,0.856021,360.518971,386.483
18,0.859124,361.041105,386.483
19,0.861642,361.761341,386.483
20,0.86616,363.070335,386.483
21,0.86991,364.205918,386.483
22,0.873392,365.010343,386.483
23,0.87721,365.962056,386.483
24,0.879921,366.815897,386.483
25,0.880838,367.015423,386.483
26,0.882711,367.437584,386.483
27,0.884053,368.128886,386.483
28,0.887609,368.966199,386.483
29,0.889102,369.494556,386.483
30,0.891458,370.027156,386.483
31,0.892611,370.788103,386.483
32,0.894522,371.082734,386.483
33,0.896227,371.744174,386.483
34,0.896009,372.238344,386.483
35,0.897578,372.237864,386.483
36,0.899399,372.984130,386.483
37,0.901279,373.654756,386.483
38,0.903335,374.394101,386.483
39,0.902679,374.194328,386.483
40,0.904528,374.976978,386.483
41,0.907104,375.573725,386.483
42,0.906191,375.736843,386.483
43,0.906535,376.146535,386.483
44,0.908967,376.635519,386.483
45,0.910017,376.996852,386.483
46,0.910565,377.613612,386.483
47,0.909506,377.326430,386.483
48,0.911338,377.496088,386.483
49,0.911622,377.955460,386.483
50,0.912582,378.675262,386.483
51,0.912695,378.664040,386.483
52,0.913079,379.133515,386.483
53,0.913203,379.102471,386.483
54,0.914313,379.235535,386.483
55,0.913769,379.443949,386.483
56,0.914276,379.482437,386.483
57,0.91466,380.044071,386.483
58,0.914751,380.001718,386.483
59,0.915006,379.850727,386.483
60,0.914612,379.926273,386.483
61,0.915781,380.538454,386.483
62,0.916979,380.448016,386.483
63,0.917225,380.753918,386.483
64,0.917092,380.984828,386.483
65,0.917002,380.794390,386.483
66,0.917115,381.006961,386.483
67,0.917572,380.475056,386.483
68,0.91709,381.018401,386.483
69,0.916394,381.095629,386.483
70,0.918365,381.134705,386.483
71,0.917848,381.301283,386.483
72,0.918527,381.710193,386.483
73,0.91816,381.550558,386.483
74,0.917784,381.634424,386.483
75,0.919411,381.903136,386.483
76,0.919105,381.793929,386.483
77,0.919694,381.926855,386.483
78,0.920619,382.359728,386.483
79,0.919898,382.051566,386.483
80,0.920796,382.221563,386.483
81,0.92035,382.322685,386.483
82,0.921361,382.691684,386.483
83,0.921644,382.693556,386.483
84,0.919805,382.898915,386.483
85,0.921189,382.803033,386.483
86,0.922539,382.599350,386.483
87,0.921258,382.920447,386.483
88,0.922061,382.722497,386.483
89,0.921619,383.051696,386.483
90,0.922169,383.227163,386.483
91,0.921655,383.323911,386.483
92,0.921601,383.757142,386.483
93,0.922092,383.976998,386.483
94,0.922239,383.609613,386.483
95,0.923059,383.652271,386.483
96,0.922939,383.748338,386.483
97,0.922316,383.828407,386.483
98,0.922563,383.773915,386.483
99,0.923047,384.142039,386.483
100,0.922841,384.014906,386.483
101,0.923333,384.028637,386.483
102,0.922346,384.314648,386.483
103,0.922605,384.132235,386.483
