Generation,meanFitness,Phenotype,Optimum
1,1,109.613538,111.614
2,0.980393,109.671399,111.614
3,0.980159,109.648091,111.614
4,0.980833,109.719867,111.614
5,0.979065,109.534200,111.614
6,0.979597,109.585341,111.614
7,0.98091,109.726165,111.614
8,0.980822,109.714419,111.614
9,0.9799,109.619114,111.614
10,0.980458,109.679084,111.614
11,0.981768,109.818189,111.614
12,0.980033,109.632869,111.614
13,0.979873,109.618672,111.614
14,0.980624,109.695002,111.614
15,0.980673,109.703019,111.614
16,0.981296,109.768900,111.614
17,0.980497,109.683163,111.614
18,0.981402,109.779889,111.614
19,0.980423,109.675803,111.614
20,0.980821,109.717903,111.614
21,0.980975,109.734266,111.614
22,0.98135,109.773759,111.614
23,0.98017,109.651129,111.614
24,0.980672,109.701865,111.614
25,0.981291,109.766647,111.614
26,0.980859,109.723627,111.614
27,0.979325,109.559940,111.614
28,0.980724,109.709370,111.614
29,0.979771,109.605784,111.614
30,0.980035,109.633178,111.614
31,0.979728,109.600980,111.614
32,0.981309,109.770919,111.614
33,0.981398,109.778876,111.614
34,0.981563,109.794814,111.614
35,0.981131,109.753521,111.614
36,0.9813,109.767201,111.614
37,0.982079,109.852694,111.614
38,0.982801,109.931434,111.614
39,0.981054,109.741651,111.614
40,0.981428,109.783433,111.614
41,0.981096,109.745057,111.614
42,0.981006,109.733959,111.614
43,0.981252,109.761136,111.614
44,0.981632,109.804915,111.614
45,0.982743,109.925749,111.614
46,0.982976,109.946232,111.614
47,0.982589,109.906027,111.614
48,0.982721,109.924490,111.614
49,0.982765,109.928765,111.614
50,0.983488,110.008011,111.614
51,0.983379,109.994035,111.614
52,0.983678,110.027603,111.614
53,0.983039,109.956167,111.614
54,0.983361,109.991648,111.614
55,0.984709,110.146460,111.614
56,0.983828,110.044606,111.614
57,0.984697,110.148990,111.614
58,0.984286,110.098515,111.614
59,0.984185,110.086347,111.614
60,0.984449,110.118517,111.614
61,0.983802,110.043988,111.614
62,0.984558,110.130654,111.614
63,0.983984,110.063919,111.614
64,0.984609,110.135035,111.614
65,0.98496,110.174453,111.614
66,0.984622,110.137548,111.614
67,0.984937,110.173318,111.614
68,0.984661,110.139959,111.614
69,0.984361,110.106295,111.614
70,0.984494,110.120146,111.614
71,0.984494,110.115363,111.614
72,0.985263,110.208329,111.614
73,0.985186,110.200471,111.614
74,0.985263,110.215036,111.614
75,0.985295,110.212695,111.614
76,0.985322,110.219011,111.614
77,0.983063,109.956663,111.614
78,0.986103,110.314231,111.614
79,0.985483,110.236525,111.614
80,0.98414,110.081557,111.614
81,0.985313,110.216655,111.614
82,0.984451,110.118196,111.614
83,0.985349,110.225981,111.614
84,0.984943,110.172633,111.614
85,0.984878,110.163137,111.614
86,0.984799,110.155955,111.614
87,0.985101,110.195382,111.614
88,0.984158,110.084989,111.614
89,0.984499,110.121597,111.614
90,0.98441,110.109444,111.614
91,0.983846,110.046701,111.614
92,0.984398,110.110775,111.614
93,0.984967,110.175218,111.614
94,0.985198,110.202090,111.614
95,0.985025,110.179165,111.614
96,0.984819,110.159381,111.614
97,0.984983,110.179072,111.614
98,0.98538,110.223522,111.614
99,0.985,110.176313,111.614
100,0.984529,110.124709,111.614
101,0.985191,110.202799,111.614
102,0.985074,110.185158,111.614
103,0.984755,110.150639,111.614
104,0.985496,110.237604,111.614
105,0.984189,110.085588,111.614
106,0.984829,110.159688,111.614
107,0.986051,110.308488,111.614
108,0.985338,110.222965,111.614
109,0.985982,110.296198,111.614
110,0.985877,110.285284,111.614
111,0.985392,110.228509,111.614
112,0.985817,110.277489,111.614
113,0.986592,110.375827,111.614
114,0.986082,110.311500,111.614
115,0.986807,110.405950,111.614
116,0.986889,110.411793,111.614
117,0.987124,110.443099,111.614
118,0.987296,110.464411,111.614
119,0.987419,110.485120,111.614
120,0.987194,110.448116,111.614
121,0.987792,110.530027,111.614
122,0.987784,110.529855,111.614
123,0.988051,110.570022,111.614
124,0.988613,110.649533,111.614
125,0.987907,110.548238,111.614
126,0.987829,110.538193,111.614
127,0.987173,110.455624,111.614
128,0.988038,110.566331,111.614
129,0.986025,110.306356,111.614
130,0.987803,110.534718,111.614
131,0.987306,110.465033,111.614
132,0.986894,110.413797,111.614
133,0.986426,110.354574,111.614
134,0.987242,110.457873,111.614
135,0.988452,110.627042,111.614
136,0.986777,110.398554,111.614
137,0.9867,110.385009,111.614
138,0.988188,110.591103,111.614
139,0.987692,110.521672,111.614
140,0.987757,110.525611,111.614
141,0.986839,110.406702,111.614
