Generation,meanFitness,Phenotype,Optimum
1,1,115.759366,117.759
2,0.977249,115.491312,117.759
3,0.978647,115.635317,117.759
4,0.979639,115.740123,117.759
5,0.979999,115.776008,117.759
6,0.978764,115.646537,117.759
7,0.979497,115.724750,117.759
8,0.977183,115.486339,117.759
9,0.979797,115.753974,117.759
10,0.9806,115.839376,117.759
11,0.979662,115.742585,117.759
12,0.979011,115.672675,117.759
13,0.977987,115.566510,117.759
14,0.978237,115.591691,117.759
15,0.980177,115.795511,117.759
16,0.978835,115.653586,117.759
17,0.980186,115.800299,117.759
18,0.978912,115.662774,117.759
19,0.977946,115.565412,117.759
20,0.97694,115.460586,117.759
21,0.978132,115.583124,117.759
22,0.975723,115.337274,117.759
23,0.977372,115.503733,117.759
24,0.97965,115.741003,117.759
25,0.97987,115.763143,117.759
26,0.983418,116.145175,117.759
27,0.977929,115.558984,117.759
28,0.984994,116.312995,117.759
29,0.984785,116.292639,117.759
30,0.987583,116.651740,117.759
31,0.985494,116.393731,117.759
32,0.983687,116.177491,117.759
33,0.980919,115.867004,117.759
34,0.985051,116.335343,117.759
35,0.985888,116.412039,117.759
36,0.978158,115.580442,117.759
37,0.987351,116.635009,117.759
38,0.986124,116.468841,117.759
39,0.985069,116.325918,117.759
40,0.988178,116.737933,117.759
41,0.986633,116.514372,117.759
42,0.983745,116.171043,117.759
43,0.982474,116.038106,117.759
44,0.978636,115.631260,117.759
45,0.987031,116.577546,117.759
46,0.986437,116.494404,117.759
47,0.986986,116.559576,117.759
48,0.988738,116.807739,117.759
49,0.982279,116.020555,117.759
50,0.980753,115.859732,117.759
51,0.985082,116.331030,117.759
52,0.984476,116.259597,117.759
53,0.985084,116.334870,117.759
54,0.985883,116.425863,117.759
55,0.98403,116.209564,117.759
56,0.982213,116.005133,117.759
57,0.984134,116.226153,117.759
58,0.98126,115.903218,117.759
59,0.985453,116.373593,117.759
60,0.984309,116.241543,117.759
61,0.986298,116.475352,117.759
62,0.986415,116.488889,117.759
63,0.983714,116.173493,117.759
64,0.983502,116.150783,117.759
65,0.986431,116.490680,117.759
66,0.981979,115.983855,117.759
67,0.984236,116.229412,117.759
68,0.98339,116.133510,117.759
69,0.982914,116.081857,117.759
70,0.980811,115.859086,117.759
71,0.98342,116.140518,117.759
72,0.984586,116.268057,117.759
73,0.983874,116.187781,117.759
74,0.985736,116.403854,117.759
75,0.985905,116.421549,117.759
76,0.985978,116.441954,117.759
77,0.98341,116.139648,117.759
78,0.983456,116.146009,117.759
79,0.984441,116.258859,117.759
80,0.985837,116.425965,117.759
81,0.983744,116.179461,117.759
82,0.983145,116.112610,117.759
83,0.983348,116.131825,117.759
84,0.984875,116.306033,117.759
85,0.984372,116.247473,117.759
86,0.985352,116.366112,117.759
87,0.98475,116.291969,117.759
88,0.984522,116.266245,117.759
89,0.985261,116.353579,117.759
90,0.983341,116.134527,117.759
91,0.984844,116.303099,117.759
92,0.98335,116.137354,117.759
93,0.98328,116.129040,117.759
94,0.983928,116.200211,117.759
95,0.982708,116.066071,117.759
96,0.984262,116.235153,117.759
97,0.983102,116.107611,117.759
98,0.984458,116.259786,117.759
99,0.983928,116.199151,117.759
100,0.985616,116.398520,117.759
101,0.989356,116.889369,117.759
102,0.986904,116.552260,117.759
103,0.990897,117.209393,117.759
104,0.983136,116.117176,117.759
105,0.988249,116.739014,117.759
106,0.987605,116.645123,117.759
107,0.987552,116.631424,117.759
108,0.988791,116.810432,117.759
109,0.987511,116.637460,117.759
110,0.98863,116.815063,117.759
111,0.990507,117.123949,117.759
112,0.985914,116.426965,117.759
113,0.985731,116.416474,117.759
114,0.989046,116.851215,117.759
115,0.983534,116.164073,117.759
116,0.988183,116.718667,117.759
117,0.984368,116.249257,117.759
118,0.984889,116.300199,117.759
119,0.98766,116.664758,117.759
120,0.984684,116.291529,117.759
121,0.988984,116.850540,117.759
122,0.985042,116.329806,117.759
123,0.983199,116.127040,117.759
124,0.984619,116.288906,117.759
125,0.982689,116.053403,117.759
126,0.986647,116.527586,117.759
127,0.983037,116.100126,117.759
128,0.985376,116.366907,117.759
129,0.984013,116.207349,117.759
130,0.98613,116.451917,117.759
131,0.98365,116.164103,117.759
132,0.987144,116.580784,117.759
133,0.984544,116.272187,117.759
134,0.984115,116.218273,117.759
135,0.984328,116.244905,117.759
136,0.987062,116.576921,117.759
137,0.984355,116.248485,117.759
138,0.982522,116.044352,117.759
139,0.983196,116.119373,117.759
140,0.986343,116.482288,117.759
141,0.985266,116.350557,117.759
142,0.983837,116.185006,117.759
143,0.983569,116.156852,117.759
144,0.983575,116.164107,117.759
145,0.98403,116.208779,117.759
146,0.982855,116.076049,117.759
147,0.98514,116.338255,117.759
148,0.983861,116.195702,117.759
149,0.984708,116.286575,117.759
150,0.983485,116.155020,117.759
151,0.986219,116.473344,117.759
152,0.98503,116.329050,117.759
153,0.98479,116.299223,117.759
154,0.986395,116.494285,117.759
155,0.985668,116.403735,117.759
156,0.987676,116.658915,117.759
157,0.98718,116.597389,117.759
158,0.988036,116.711808,117.759
159,0.985125,116.341939,117.759
160,0.988204,116.737518,117.759
161,0.98763,116.661388,117.759
162,0.989474,116.938872,117.759
163,0.987468,116.634636,117.759
164,0.9884,116.771091,117.759
165,0.986571,116.519918,117.759
166,0.988047,116.722297,117.759
167,0.98861,116.799913,117.759
168,0.989019,116.867324,117.759
169,0.98979,116.992570,117.759
170,0.988967,116.854872,117.759
171,0.988324,116.759101,117.759
172,0.989201,116.887347,117.759
173,0.987842,116.685483,117.759
174,0.989093,116.878210,117.759
175,0.98895,116.852228,117.759
176,0.991661,117.507851,117.759
177,0.988668,116.802388,117.759
178,0.990374,117.119337,117.759
179,0.991437,117.369205,117.759
180,0.991248,117.317909,117.759
181,0.989403,116.909507,117.759
182,0.989781,116.980651,117.759
183,0.992051,117.866204,117.759
184,0.989538,116.957055,117.759
185,0.991768,118.004164,117.759
186,0.99193,117.928503,117.759
187,0.99206,117.807018,117.759
188,0.990005,117.024061,117.759
189,0.989659,116.959513,117.759
190,0.991552,117.398712,117.759
191,0.98928,116.900098,117.759
192,0.988117,116.717278,117.759
193,0.991761,117.489731,117.759
194,0.989923,117.019168,117.759
195,0.992151,117.721673,117.759
196,0.989465,116.932557,117.759
197,0.989638,116.971499,117.759
198,0.992114,117.748585,117.759
199,0.991833,117.551294,117.759
200,0.991881,117.523521,117.759
201,0.992038,117.809554,117.759
202,0.991608,117.424232,117.759
203,0.991987,117.944792,117.759
204,0.99206,117.687880,117.759
205,0.99199,117.871276,117.759
206,0.992031,117.724907,117.759
207,0.991919,117.952597,117.759
208,0.991553,117.427015,117.759
209,0.98999,117.025171,117.759
210,0.991996,117.654099,117.759
211,0.992038,117.724349,117.759
212,0.991186,117.293050,117.759
213,0.991799,117.510232,117.759
214,0.991699,117.489474,117.759
215,0.991932,117.634819,117.759
216,0.991954,117.648191,117.759
217,0.991855,117.584491,117.759
218,0.991141,117.285300,117.759
219,0.991756,117.471322,117.759
220,0.991862,117.553618,117.759
221,0.991491,117.379215,117.759
222,0.991927,117.596564,117.759
223,0.991926,117.629005,117.759
224,0.99202,117.702092,117.759
225,0.99166,117.436178,117.759
226,0.991941,117.597481,117.759
227,0.991913,117.552597,117.759
228,0.99184,117.532087,117.759
229,0.991862,117.533909,117.759
230,0.991851,117.510929,117.759
231,0.991559,117.420094,117.759
232,0.991831,117.538630,117.759
233,0.991733,117.488108,117.759
