Generation,meanFitness,Phenotype,Optimum
1,1,107.758214,109.758
2,0.978596,107.629527,109.758
3,0.980125,107.787800,109.758
4,0.980337,107.808500,109.758
5,0.980376,107.813625,109.758
6,0.980187,107.793912,109.758
7,0.980201,107.797706,109.758
8,0.979581,107.730735,109.758
9,0.980805,107.859830,109.758
10,0.980431,107.819748,109.758
11,0.981264,107.907353,109.758
12,0.981082,107.888853,109.758
13,0.980962,107.876885,109.758
14,0.981307,107.913089,109.758
15,0.980155,107.792058,109.758
16,0.980791,107.857591,109.758
17,0.980208,107.797255,109.758
18,0.980204,107.796814,109.758
19,0.980402,107.816633,109.758
20,0.981091,107.889144,109.758
21,0.979461,107.716832,109.758
22,0.979802,107.750969,109.758
23,0.980545,107.831794,109.758
24,0.979846,107.759479,109.758
25,0.978588,107.887850,105.758
26,0.978455,107.899833,105.758
27,0.97853,107.893544,105.758
28,0.978537,107.890687,105.758
29,0.978358,107.910458,105.758
30,0.979337,107.811925,105.758
31,0.978187,107.929782,105.758
32,0.978637,107.881873,105.758
33,0.979704,107.771107,105.758
34,0.979548,107.786325,105.758
35,0.980062,107.734194,105.758
36,0.979031,107.841889,105.758
37,0.979941,107.744210,105.758
38,0.978938,107.851648,105.758
39,0.9793,107.814637,105.758
40,0.979939,107.745468,105.758
41,0.980249,107.713366,105.758
42,0.979431,107.798263,105.758
43,0.979971,107.739870,105.758
44,0.979829,107.758777,105.758
45,0.980552,107.680030,105.758
46,0.980124,107.726753,105.758
47,0.980373,107.702044,105.758
48,0.980112,107.727807,105.758
49,0.980386,107.699581,105.758
50,0.979389,107.710966,109.758
51,0.979222,107.692484,109.758
52,0.979681,107.739873,109.758
53,0.979364,107.707156,109.758
54,0.978923,107.662317,109.758
55,0.980049,107.779065,109.758
56,0.97947,107.719219,109.758
57,0.980188,107.793179,109.758
58,0.979646,107.739620,109.758
59,0.979723,107.748359,109.758
60,0.981054,107.886363,109.758
61,0.980328,107.809176,109.758
62,0.981455,107.930369,109.758
63,0.98026,107.800049,109.758
64,0.980154,107.789771,109.758
65,0.981711,107.953345,109.758
66,0.981073,107.886981,109.758
67,0.98054,107.832067,109.758
68,0.980976,107.878379,109.758
69,0.981103,107.891568,109.758
70,0.981888,107.976464,109.758
71,0.981791,107.964748,109.758
72,0.981489,107.931096,109.758
73,0.982305,108.022945,109.758
74,0.9815,107.933316,109.758
75,0.97687,108.064104,105.758
76,0.977886,107.959053,105.758
77,0.977686,107.978691,105.758
78,0.977246,108.024280,105.758
79,0.977469,108.002296,105.758
80,0.977426,108.007421,105.758
81,0.976849,108.064441,105.758
82,0.976301,108.120175,105.758
83,0.977007,108.050475,105.758
84,0.978146,107.932330,105.758
85,0.977304,108.019767,105.758
86,0.977657,107.981969,105.758
87,0.975875,108.163924,105.758
88,0.97615,108.135284,105.758
89,0.977161,108.033915,105.758
90,0.977012,108.048160,105.758
91,0.97552,108.200862,105.758
92,0.975892,108.163166,105.758
93,0.97629,108.122164,105.758
94,0.975505,108.202811,105.758
95,0.975475,108.206568,105.758
96,0.976555,108.095037,105.758
97,0.977476,108.002628,105.758
98,0.978092,107.937767,105.758
99,0.976932,108.057214,105.758
100,0.982972,108.092000,109.758
101,0.981738,107.958505,109.758
102,0.982292,108.017040,109.758
103,0.981913,107.976464,109.758
104,0.982406,108.028787,109.758
105,0.98257,108.051686,109.758
106,0.982081,107.995206,109.758
107,0.982201,108.008591,109.758
108,0.983131,108.111315,109.758
109,0.982722,108.064375,109.758
110,0.983118,108.111077,109.758
111,0.984401,108.251395,109.758
112,0.983741,108.177843,109.758
113,0.983154,108.114248,109.758
114,0.984264,108.238220,109.758
115,0.98449,108.265639,109.758
116,0.984484,108.267269,109.758
117,0.984257,108.243475,109.758
118,0.983963,108.203200,109.758
119,0.984946,108.321956,109.758
120,0.98501,108.326991,109.758
121,0.986143,108.461252,109.758
122,0.985238,108.354583,109.758
123,0.98562,108.400935,109.758
124,0.984895,108.314880,109.758
125,0.973943,108.360256,105.758
126,0.973699,108.385603,105.758
127,0.974418,108.312822,105.758
128,0.976092,108.142706,105.758
129,0.975412,108.212185,105.758
130,0.974251,108.329140,105.758
131,0.974332,108.320739,105.758
132,0.97506,108.247346,105.758
133,0.975689,108.184535,105.758
