Generation,meanFitness,Phenotype,Optimum
1,1,109.686520,107.687
2,0.980267,109.639130,107.687
3,0.980024,109.665251,107.687
4,0.980919,109.570731,107.687
5,0.981257,109.535671,107.687
6,0.981153,109.547698,107.687
7,0.981753,109.481040,107.687
8,0.980786,109.585183,107.687
9,0.98242,109.410494,107.687
10,0.98093,109.571359,107.687
11,0.981299,109.531625,107.687
12,0.980925,109.571706,107.687
13,0.981295,109.528960,107.687
14,0.981882,109.466904,107.687
15,0.981003,109.564922,107.687
16,0.982369,109.417434,107.687
17,0.982251,109.428439,107.687
18,0.981441,109.516484,107.687
19,0.982018,109.450839,107.687
20,0.980839,109.578326,107.687
21,0.982699,109.379115,107.687
22,0.981715,109.486264,107.687
23,0.982414,109.410633,107.687
24,0.982521,109.397104,107.687
25,0.977167,109.409772,111.687
26,0.974543,109.143882,111.687
27,0.978334,109.529635,111.687
28,0.976905,109.388032,111.687
29,0.97988,109.691546,111.687
30,0.977457,109.437775,111.687
31,0.978097,109.501515,111.687
32,0.980884,109.791944,111.687
33,0.976809,109.371233,111.687
34,0.976172,109.305595,111.687
35,0.976183,109.308435,111.687
36,0.975442,109.231770,111.687
37,0.97556,109.245393,111.687
38,0.971007,108.787536,111.687
39,0.973884,109.080462,111.687
40,0.977956,109.486398,111.687
41,0.97905,109.598668,111.687
42,0.97542,109.230639,111.687
43,0.97972,109.674399,111.687
44,0.975227,109.213966,111.687
45,0.976754,109.368822,111.687
46,0.970827,108.769443,111.687
47,0.976741,109.367770,111.687
48,0.977392,109.433519,111.687
49,0.973212,109.010327,111.687
50,0.985179,109.085292,107.687
51,0.986404,108.944079,107.687
52,0.986072,108.991218,107.687
53,0.984823,109.139403,107.687
54,0.984591,109.164339,107.687
55,0.984743,109.141397,107.687
56,0.983487,109.283628,107.687
57,0.984404,109.185182,107.687
58,0.98523,109.086768,107.687
59,0.984953,109.124015,107.687
60,0.982499,109.398885,107.687
61,0.983339,109.307579,107.687
62,0.983651,109.267633,107.687
63,0.985379,109.070398,107.687
64,0.985033,109.107889,107.687
65,0.98659,108.919177,107.687
66,0.985166,109.093774,107.687
67,0.986146,108.973285,107.687
68,0.985942,108.999598,107.687
69,0.986144,108.973461,107.687
70,0.986196,108.965823,107.687
71,0.986981,108.865234,107.687
72,0.986767,108.895273,107.687
73,0.986957,108.872833,107.687
74,0.986514,108.923346,107.687
75,0.972483,108.935765,111.687
76,0.973317,109.020224,111.687
77,0.973268,109.014543,111.687
78,0.972962,108.984041,111.687
79,0.973484,109.037160,111.687
80,0.973425,109.031048,111.687
81,0.974578,109.146572,111.687
82,0.973727,109.061624,111.687
83,0.974612,109.150705,111.687
84,0.973543,109.043416,111.687
85,0.973556,109.044507,111.687
86,0.973557,109.043670,111.687
87,0.974547,109.144651,111.687
88,0.97518,109.208293,111.687
89,0.975457,109.236347,111.687
90,0.975818,109.273451,111.687
91,0.976334,109.323865,111.687
92,0.97595,109.288267,111.687
93,0.974999,109.189541,111.687
94,0.975368,109.226855,111.687
95,0.975429,109.233943,111.687
96,0.975307,109.221218,111.687
97,0.975548,109.245009,111.687
98,0.974584,109.147562,111.687
99,0.975316,109.221560,111.687
100,0.983742,109.252613,107.687
101,0.984273,109.201140,107.687
102,0.984435,109.178081,107.687
103,0.979179,109.753246,107.687
