Generation,meanFitness,Phenotype,Optimum
1,1,103.154094,105.154
2,0.979867,103.156037,105.154
3,0.980093,103.180156,105.154
4,0.979525,103.120043,105.154
5,0.979985,103.167676,105.154
6,0.980163,103.184222,105.154
7,0.98012,103.181359,105.154
8,0.980342,103.206222,105.154
9,0.98005,103.174459,105.154
10,0.979893,103.158860,105.154
11,0.980989,103.273930,105.154
12,0.980019,103.171057,105.154
13,0.980237,103.193879,105.154
14,0.98039,103.211329,105.154
15,0.98019,103.189943,105.154
16,0.980014,103.171248,105.154
17,0.980137,103.184730,105.154
18,0.979867,103.153976,105.154
19,0.980127,103.182381,105.154
20,0.980536,103.225586,105.154
21,0.980551,103.229039,105.154
22,0.980248,103.197503,105.154
23,0.980341,103.204998,105.154
24,0.980667,103.240330,105.154
25,0.980225,103.194120,105.154
26,0.98086,103.260564,105.154
27,0.980396,103.213948,105.154
28,0.980411,103.211269,105.154
29,0.980442,103.217546,105.154
30,0.98085,103.261149,105.154
31,0.981123,103.289471,105.154
32,0.980868,103.259626,105.154
33,0.981052,103.283589,105.154
34,0.981329,103.309087,105.154
35,0.981383,103.315523,105.154
36,0.981445,103.321048,105.154
37,0.981758,103.354296,105.154
38,0.981234,103.300746,105.154
39,0.981921,103.375093,105.154
40,0.981378,103.314639,105.154
41,0.981619,103.341460,105.154
42,0.981628,103.341602,105.154
43,0.981882,103.370280,105.154
44,0.982258,103.408998,105.154
45,0.981867,103.366727,105.154
46,0.981875,103.368667,105.154
47,0.981797,103.360157,105.154
48,0.981919,103.371606,105.154
49,0.982086,103.391371,105.154
50,0.981802,103.357813,105.154
51,0.982357,103.418784,105.154
52,0.982479,103.435524,105.154
53,0.982372,103.421950,105.154
54,0.982488,103.435275,105.154
55,0.982857,103.476642,105.154
56,0.982705,103.459022,105.154
57,0.982862,103.477175,105.154
58,0.98294,103.483612,105.154
59,0.982441,103.426398,105.154
60,0.982457,103.433111,105.154
61,0.982732,103.460825,105.154
62,0.982419,103.426759,105.154
63,0.982677,103.452162,105.154
64,0.982759,103.462244,105.154
65,0.982558,103.441998,105.154
66,0.982721,103.459960,105.154
67,0.982877,103.475704,105.154
68,0.98301,103.491130,105.154
69,0.983002,103.488628,105.154
70,0.98339,103.532278,105.154
71,0.983497,103.546863,105.154
72,0.982697,103.457389,105.154
73,0.983279,103.523339,105.154
74,0.983342,103.528311,105.154
75,0.983342,103.526008,105.154
76,0.983343,103.527951,105.154
77,0.983247,103.516159,105.154
78,0.98278,103.465230,105.154
79,0.982884,103.476686,105.154
80,0.983429,103.536505,105.154
81,0.983422,103.533460,105.154
82,0.983594,103.554926,105.154
83,0.983741,103.574227,105.154
84,0.983601,103.553535,105.154
85,0.983728,103.574766,105.154
86,0.983592,103.552081,105.154
87,0.983464,103.540795,105.154
88,0.983358,103.526819,105.154
89,0.983938,103.595769,105.154
90,0.983663,103.563744,105.154
91,0.983728,103.572042,105.154
92,0.983982,103.600826,105.154
93,0.983458,103.541331,105.154
94,0.983964,103.601671,105.154
95,0.984031,103.599726,105.154
96,0.984488,103.651708,105.154
97,0.984092,103.612841,105.154
98,0.984173,103.619107,105.154
99,0.984684,103.676986,105.154
100,0.984521,103.659928,105.154
101,0.984741,103.689744,105.154
102,0.984663,103.673349,105.154
103,0.984805,103.694070,105.154
104,0.984932,103.710272,105.154
105,0.985163,103.736484,105.154
106,0.985124,103.728430,105.154
107,0.98528,103.745067,105.154
108,0.985135,103.735310,105.154
109,0.985678,103.796971,105.154
110,0.985318,103.750747,105.154
111,0.985181,103.734274,105.154
112,0.985168,103.736381,105.154
113,0.98558,103.786476,105.154
114,0.985566,103.782272,105.154
115,0.985808,103.814701,105.154
116,0.985816,103.811457,105.154
117,0.98574,103.809597,105.154
118,0.985676,103.798322,105.154
119,0.986211,103.865896,105.154
120,0.986098,103.849354,105.154
121,0.985496,103.775732,105.154
122,0.985803,103.811500,105.154
123,0.985904,103.825517,105.154
124,0.986269,103.864727,105.154
125,0.985866,103.818846,105.154
126,0.986474,103.894929,105.154
127,0.986383,103.883655,105.154
128,0.986737,103.934239,105.154
129,0.986532,103.899125,105.154
130,0.98688,103.947592,105.154
131,0.986553,103.902651,105.154
132,0.98688,103.948033,105.154
133,0.987087,103.975378,105.154
134,0.987579,104.043785,105.154
135,0.987224,103.996434,105.154
136,0.987616,104.049891,105.154
137,0.987291,103.996863,105.154
138,0.987721,104.059646,105.154
139,0.987603,104.041578,105.154
140,0.987227,103.992412,105.154
141,0.98722,103.996750,105.154
142,0.987604,104.047022,105.154
143,0.987532,104.032679,105.154
144,0.987432,104.017449,105.154
145,0.987634,104.043253,105.154
146,0.987299,103.998523,105.154
147,0.987593,104.038320,105.154
148,0.987262,103.994271,105.154
149,0.987423,104.014331,105.154
150,0.987668,104.052486,105.154
151,0.987892,104.080809,105.154
152,0.987647,104.043574,105.154
153,0.988355,104.145295,105.154
154,0.987802,104.068378,105.154
155,0.987994,104.093104,105.154
156,0.987861,104.071402,105.154
157,0.988312,104.140226,105.154
158,0.988399,104.151609,105.154
159,0.988315,104.136825,105.154
160,0.988402,104.150739,105.154
161,0.989117,104.264597,105.154
162,0.988976,104.238846,105.154
163,0.988452,104.155020,105.154
164,0.988612,104.182295,105.154
165,0.988622,104.186456,105.154
166,0.988807,104.212261,105.154
167,0.988532,104.175650,105.154
168,0.988628,104.190354,105.154
169,0.988813,104.219970,105.154
170,0.988988,104.245542,105.154
171,0.98904,104.249102,105.154
172,0.989296,104.293986,105.154
173,0.988896,104.227655,105.154
174,0.989197,104.276669,105.154
175,0.989135,104.267222,105.154
176,0.989005,104.230313,105.154
177,0.98923,104.277863,105.154
178,0.98939,104.311690,105.154
179,0.989192,104.273623,105.154
180,0.989112,104.260163,105.154
181,0.989141,104.270526,105.154
182,0.989257,104.281868,105.154
183,0.989384,104.309236,105.154
184,0.988959,104.233390,105.154
185,0.989008,104.246689,105.154
186,0.989238,104.281004,105.154
187,0.989093,104.252516,105.154
188,0.988736,104.205193,105.154
189,0.989096,104.251481,105.154
190,0.989069,104.254688,105.154
191,0.989025,104.245251,105.154
192,0.988448,104.160777,105.154
193,0.988881,104.221706,105.154
194,0.988861,104.211914,105.154
195,0.988802,104.209641,105.154
196,0.988963,104.235195,105.154
197,0.989018,104.253243,105.154
198,0.988969,104.237652,105.154
199,0.989303,104.288007,105.154
200,0.989556,104.335199,105.154
201,0.989025,104.246910,105.154
202,0.989218,104.278448,105.154
203,0.989253,104.284007,105.154
204,0.989067,104.251964,105.154
205,0.989079,104.252502,105.154
206,0.989159,104.272652,105.154
207,0.989242,104.283822,105.154
208,0.989027,104.245484,105.154
209,0.988925,104.235003,105.154
210,0.989191,104.277924,105.154
211,0.989461,104.318066,105.154
212,0.98906,104.258673,105.154
213,0.98925,104.288812,105.154
214,0.989301,104.287944,105.154
215,0.988984,104.240977,105.154
216,0.989105,104.262466,105.154
217,0.989054,104.252403,105.154
218,0.989366,104.301199,105.154
219,0.989558,104.331767,105.154
220,0.989223,104.284033,105.154
221,0.989376,104.299090,105.154
222,0.989741,104.361571,105.154
223,0.989126,104.267145,105.154
224,0.989385,104.314508,105.154
225,0.989737,104.361403,105.154
226,0.989645,104.348508,105.154
227,0.989788,104.374357,105.154
228,0.989723,104.369410,105.154
229,0.989707,104.356635,105.154
230,0.989735,104.366529,105.154
231,0.989599,104.342888,105.154
232,0.989742,104.367806,105.154
233,0.989481,104.321452,105.154
234,0.989964,104.406880,105.154
235,0.989811,104.379854,105.154
236,0.989918,104.396915,105.154
237,0.989703,104.362136,105.154
238,0.990059,104.427111,105.154
239,0.989779,104.375974,105.154
240,0.990023,104.421586,105.154
241,0.989968,104.408324,105.154
242,0.989755,104.365665,105.154
243,0.990124,104.441482,105.154
244,0.989595,104.352131,105.154
245,0.990045,104.425097,105.154
246,0.990204,104.447471,105.154
247,0.990124,104.441113,105.154
248,0.990333,104.476677,105.154
249,0.99018,104.457416,105.154
250,0.989975,104.413219,105.154
251,0.990115,104.439689,105.154
252,0.990048,104.424875,105.154
253,0.989933,104.416367,105.154
254,0.990022,104.419820,105.154
255,0.989969,104.411547,105.154
256,0.990124,104.440321,105.154
257,0.99031,104.474483,105.154
258,0.990263,104.469188,105.154
259,0.990718,104.562069,105.154
260,0.990392,104.490811,105.154
261,0.990363,104.489145,105.154
262,0.990369,104.491112,105.154
263,0.990335,104.481716,105.154
264,0.990619,104.549166,105.154
265,0.990333,104.485249,105.154
266,0.990274,104.467779,105.154
267,0.990488,104.512474,105.154
268,0.990299,104.466650,105.154
269,0.99057,104.527255,105.154
270,0.990374,104.483865,105.154
271,0.990605,104.538053,105.154
272,0.990662,104.549039,105.154
273,0.9909,104.602981,105.154
274,0.990973,104.630206,105.154
275,0.990916,104.611404,105.154
276,0.990812,104.602222,105.154
277,0.991004,104.642385,105.154
278,0.99082,104.583828,105.154
279,0.991154,104.674461,105.154
280,0.990851,104.594260,105.154
281,0.991244,104.711702,105.154
282,0.991147,104.675908,105.154
283,0.991063,104.657189,105.154
284,0.991021,104.644543,105.154
285,0.990837,104.596668,105.154
286,0.991202,104.692238,105.154
287,0.991025,104.644980,105.154
288,0.991177,104.685221,105.154
289,0.991004,104.640379,105.154
290,0.991213,104.687212,105.154
291,0.991045,104.649251,105.154
292,0.990639,104.543265,105.154
293,0.991066,104.660105,105.154
294,0.991031,104.640168,105.154
295,0.991051,104.649316,105.154
296,0.991147,104.669128,105.154
297,0.991169,104.679741,105.154
298,0.991229,104.695341,105.154
299,0.991081,104.652505,105.154
300,0.991145,104.685153,105.154
301,0.991241,104.696634,105.154
302,0.991231,104.704665,105.154
303,0.991255,104.707228,105.154
304,0.991336,104.728910,105.154
305,0.9912,104.697837,105.154
306,0.991047,104.653849,105.154
307,0.99135,104.736764,105.154
308,0.991139,104.689449,105.154
309,0.991052,104.648196,105.154
310,0.991336,104.730636,105.154
311,0.991397,104.763501,105.154
312,0.991328,104.725595,105.154
313,0.99159,104.821744,105.154
314,0.991457,104.777376,105.154
315,0.991527,104.795501,105.154
316,0.991476,104.774326,105.154
317,0.991255,104.714857,105.154
318,0.991586,104.826541,105.154
319,0.991381,104.743658,105.154
320,0.99134,104.740625,105.154
321,0.991371,104.734768,105.154
322,0.991476,104.779348,105.154
323,0.991507,104.791223,105.154
324,0.991669,104.851655,105.154
325,0.991515,104.793443,105.154
326,0.991505,104.785168,105.154
327,0.99162,104.838560,105.154
328,0.991558,104.809428,105.154
329,0.991399,104.752463,105.154
330,0.991573,104.800382,105.154
331,0.991625,104.819897,105.154
332,0.991614,104.833731,105.154
333,0.991402,104.758839,105.154
334,0.991664,104.843241,105.154
335,0.991582,104.824476,105.154
336,0.991611,104.830437,105.154
337,0.991658,104.854161,105.154
338,0.991726,104.877579,105.154
339,0.991539,104.814506,105.154
340,0.991524,104.793463,105.154
341,0.991505,104.802777,105.154
342,0.991652,104.843059,105.154
343,0.991375,104.747444,105.154
344,0.991387,104.746575,105.154
345,0.991637,104.836203,105.154
346,0.991509,104.784963,105.154
347,0.991377,104.740979,105.154
348,0.991334,104.737488,105.154
349,0.991362,104.746058,105.154
350,0.991597,104.826951,105.154
351,0.991363,104.752624,105.154
352,0.991467,104.768894,105.154
353,0.991529,104.806196,105.154
354,0.991294,104.731237,105.154
355,0.991508,104.797581,105.154
356,0.991405,104.736803,105.154
357,0.99148,104.788679,105.154
358,0.991303,104.732365,105.154
359,0.991594,104.821714,105.154
360,0.991492,104.787599,105.154
361,0.991365,104.733012,105.154
362,0.991324,104.731242,105.154
363,0.991658,104.875572,105.154
364,0.991621,104.813602,105.154
365,0.991495,104.786384,105.154
366,0.991675,104.844060,105.154
367,0.991652,104.837595,105.154
368,0.991592,104.847448,105.154
369,0.991786,104.907868,105.154
370,0.991763,104.890974,105.154
371,0.991709,104.888527,105.154
372,0.991737,104.880880,105.154
373,0.991623,104.832855,105.154
374,0.991863,104.940109,105.154
375,0.991747,104.881088,105.154
376,0.991596,104.828041,105.154
377,0.991833,104.926595,105.154
378,0.991758,104.916863,105.154
379,0.991818,104.932933,105.154
380,0.991641,104.819788,105.154
381,0.991696,104.870454,105.154
382,0.991676,104.872346,105.154
383,0.991681,104.864160,105.154
384,0.991781,104.898746,105.154
385,0.991727,104.891858,105.154
386,0.9917,104.873122,105.154
387,0.991825,104.917488,105.154
388,0.991712,104.865546,105.154
389,0.991763,104.913855,105.154
390,0.991735,104.895853,105.154
391,0.991718,104.854635,105.154
392,0.991754,104.875973,105.154
393,0.991855,104.954978,105.154
394,0.991821,104.929543,105.154
395,0.991796,104.906500,105.154
396,0.991698,104.859725,105.154
397,0.991845,104.958533,105.154
398,0.991906,104.977149,105.154
399,0.991741,104.881879,105.154
400,0.991767,104.891235,105.154
401,0.991809,104.943544,105.154
402,0.991796,104.882936,105.154
403,0.991885,104.955818,105.154
404,0.991757,104.900871,105.154
405,0.991763,104.901378,105.154
406,0.991901,104.938323,105.154
407,0.991647,104.855208,105.154
408,0.99185,104.946525,105.154
409,0.991835,104.921268,105.154
410,0.991847,104.949659,105.154
411,0.99176,104.902905,105.154
412,0.991927,104.973190,105.154
413,0.991752,104.872197,105.154
414,0.991816,104.912569,105.154
415,0.991835,104.914864,105.154
416,0.991731,104.867663,105.154
417,0.991741,104.879712,105.154
418,0.991762,104.898706,105.154
419,0.99173,104.884918,105.154
420,0.991756,104.906356,105.154
421,0.99189,104.961416,105.154
422,0.991854,104.933678,105.154
423,0.991808,104.927987,105.154
424,0.991738,104.883050,105.154
425,0.991808,104.937811,105.154
426,0.991751,104.889710,105.154
427,0.9918,104.883924,105.154
428,0.991713,104.866103,105.154
429,0.991705,104.864349,105.154
430,0.991854,104.944629,105.154
431,0.991907,104.972958,105.154
432,0.991743,104.913427,105.154
433,0.991776,104.899098,105.154
434,0.991821,104.920137,105.154
435,0.991742,104.889324,105.154
436,0.991752,104.901814,105.154
437,0.991848,104.934260,105.154
438,0.991861,104.957101,105.154
439,0.991918,104.960732,105.154
440,0.991828,104.927439,105.154
441,0.991818,104.930114,105.154
442,0.991854,104.957636,105.154
443,0.991905,104.990672,105.154
444,0.991862,104.955438,105.154
445,0.991827,104.948300,105.154
446,0.991794,104.916425,105.154
