Generation,meanFitness,Phenotype,Optimum
1,1,1.744098,7.25991
2,0.972003,1.726813,7.25991
3,0.971718,1.662796,7.25991
4,0.971859,1.694089,7.25991
5,0.972051,1.727193,7.25991
6,0.972219,1.768619,7.25991
7,0.972263,1.778802,7.25991
8,0.972518,1.833238,7.25991
9,0.972791,1.882900,7.25991
10,0.972601,1.853764,7.25991
11,0.972896,1.916038,7.25991
12,0.972775,1.891998,7.25991
13,0.973032,1.939993,7.25991
14,0.973352,2.004913,7.25991
15,0.973217,1.987421,7.25991
16,0.973389,2.017184,7.25991
17,0.973323,2.005037,7.25991
18,0.973592,2.060534,7.25991
19,0.973638,2.069306,7.25991
20,0.973546,2.053883,7.25991
21,0.97351,2.046712,7.25991
22,0.973556,2.054437,7.25991
23,0.97397,2.141568,7.25991
24,0.974204,2.195656,7.25991
25,0.974303,2.212652,7.25991
26,0.974258,2.199367,7.25991
27,0.974359,2.237048,7.25991
28,0.974316,2.215628,7.25991
29,0.974229,2.201918,7.25991
30,0.974506,2.263890,7.25991
31,0.97438,2.235823,7.25991
32,0.974481,2.250371,7.25991
33,0.974359,2.231516,7.25991
34,0.974701,2.311020,7.25991
35,0.974613,2.285483,7.25991
36,0.974657,2.292660,7.25991
37,0.974688,2.300557,7.25991
38,0.974592,2.298015,7.25991
39,0.974877,2.355597,7.25991
40,0.975029,2.375313,7.25991
41,0.97501,2.381351,7.25991
42,0.975162,2.400444,7.25991
43,0.975288,2.422667,7.25991
44,0.97498,2.363096,7.25991
45,0.975267,2.435939,7.25991
46,0.975255,2.416280,7.25991
47,0.975439,2.476030,7.25991
48,0.97536,2.451571,7.25991
49,0.975373,2.444694,7.25991
50,0.97563,2.501218,7.25991
51,0.975561,2.488295,7.25991
52,0.975832,2.555079,7.25991
53,0.97586,2.552691,7.25991
54,0.975552,2.492614,7.25991
55,0.975566,2.500092,7.25991
56,0.975992,2.586816,7.25991
57,0.975811,2.541381,7.25991
58,0.97604,2.597809,7.25991
59,0.976348,2.668773,7.25991
60,0.976641,2.740546,7.25991
61,0.976625,2.734840,7.25991
62,0.976808,2.780312,7.25991
63,0.977163,2.844593,7.25991
64,0.977322,2.891538,7.25991
65,0.977457,2.916043,7.25991
66,0.977618,2.947884,7.25991
67,0.977773,2.987812,7.25991
68,0.977931,3.015645,7.25991
69,0.978058,3.066101,7.25991
70,0.978012,3.029174,7.25991
71,0.977998,3.033403,7.25991
72,0.97823,3.074019,7.25991
73,0.978159,3.072794,7.25991
74,0.978237,3.087395,7.25991
75,0.978298,3.105896,7.25991
76,0.978574,3.154801,7.25991
77,0.97855,3.163433,7.25991
78,0.978612,3.182253,7.25991
79,0.978718,3.193021,7.25991
80,0.979013,3.258500,7.25991
81,0.978834,3.226197,7.25991
82,0.979108,3.277906,7.25991
83,0.979139,3.297168,7.25991
84,0.979364,3.347721,7.25991
