Generation,Position,Frequency,Effect,Heterozygosity,origin
1,500000,0.285150,3.048570,0.000000,1
2,500000,0.279300,3.048570,4.02583e-07,1
3,500000,0.278300,3.048570,4.01698e-07,1
4,500000,0.281200,3.048570,4.04253e-07,1
5,500000,0.286050,3.048570,4.0845e-07,1
6,500000,0.290250,3.048570,4.12009e-07,1
7,500000,0.292050,3.048570,4.13513e-07,1
8,500000,0.295300,3.048570,4.16195e-07,1
9,500000,0.303300,3.048570,4.22618e-07,1
10,500000,0.304200,3.048570,4.23324e-07,1
11,500000,0.312100,3.048570,4.29387e-07,1
12,500000,0.314650,3.048570,4.3129e-07,1
13,500000,0.318850,3.048570,4.34369e-07,1
14,500000,0.326750,3.048570,4.39968e-07,1
15,500000,0.325700,3.048570,4.39239e-07,1
16,500000,0.329150,3.048570,4.4162e-07,1
17,500000,0.330350,3.048570,4.42437e-07,1
18,500000,0.334500,3.048570,4.45219e-07,1
19,500000,0.335800,3.048570,4.46076e-07,1
20,500000,0.338750,3.048570,4.47996e-07,1
21,500000,0.339450,3.048570,4.48447e-07,1
22,500000,0.343700,3.048570,4.5114e-07,1
23,500000,0.354900,3.048570,4.57892e-07,1
24,500000,0.357750,3.048570,4.59529e-07,1
25,500000,0.359800,3.048570,4.60687e-07,1
26,500000,0.357100,3.048570,4.59159e-07,1
27,500000,0.362350,3.048570,4.62104e-07,1
28,500000,0.364250,3.048570,4.63143e-07,1
29,500000,0.362600,3.048570,4.62242e-07,1
30,500000,0.368400,3.048570,4.65362e-07,1
31,500000,0.364450,3.048570,4.63252e-07,1
32,500000,0.369800,3.048570,4.66095e-07,1
33,500000,0.368900,3.048570,4.65625e-07,1
34,500000,0.378750,3.048570,4.70596e-07,1
35,500000,0.376800,3.048570,4.69643e-07,1
36,500000,0.379150,3.048570,4.7079e-07,1
37,500000,0.380550,3.048570,4.71463e-07,1
38,500000,0.379750,3.048570,4.71079e-07,1
39,500000,0.383600,3.048570,4.72902e-07,1
40,500000,0.387950,3.048570,4.74889e-07,1
41,500000,0.387950,3.048570,4.74889e-07,1
42,500000,0.394200,3.048570,4.77612e-07,1
43,500000,0.394200,3.048570,4.77612e-07,1
44,500000,0.391250,3.048570,4.76346e-07,1
45,500000,0.391650,3.048570,4.7652e-07,1
46,500000,0.395250,3.048570,4.78054e-07,1
47,500000,0.401900,3.048570,4.80752e-07,1
48,500000,0.403600,3.048570,4.81414e-07,1
49,500000,0.400900,3.048570,4.80358e-07,1
50,500000,0.407500,3.048570,4.82887e-07,1
51,500000,0.406650,3.048570,4.82571e-07,1
52,500000,0.412350,3.048570,4.84634e-07,1
53,500000,0.414700,3.048570,4.85447e-07,1
54,500000,0.410300,3.048570,4.83907e-07,1
55,500000,0.417500,3.048570,4.86387e-07,1
56,500000,0.422400,3.048570,4.87956e-07,1
57,500000,0.419900,3.048570,4.87167e-07,1
58,500000,0.425600,3.048570,4.88929e-07,1
59,500000,0.436350,3.048570,4.91897e-07,1
60,500000,0.446600,3.048570,4.94296e-07,1
61,500000,0.456950,3.048570,4.96293e-07,1
62,500000,0.459800,3.048570,4.96767e-07,1
63,500000,0.467800,3.048570,4.97926e-07,1
64,500000,0.470300,3.048570,4.98235e-07,1
65,500000,0.476550,3.048570,4.989e-07,1
66,500000,0.482750,3.048570,4.99404e-07,1
67,500000,0.485800,3.048570,4.99596e-07,1
68,500000,0.497750,3.048570,4.99989e-07,1
