Generation,Phenotype,Optimum, MeanFitness_value
1,1.687915,7.24378,1
2,1.658830,7.24378,0.971802
3,1.670320,7.24378,0.971849
4,1.692191,7.24378,0.971946
5,1.751358,7.24378,0.972218
6,1.701446,7.24378,0.971994
7,1.747948,7.24378,0.972209
8,1.758523,7.24378,0.972257
9,1.780029,7.24378,0.972374
10,1.787667,7.24378,0.972389
11,1.797312,7.24378,0.972418
12,1.796361,7.24378,0.972432
13,1.850778,7.24378,0.972674
14,1.783975,7.24378,0.972368
15,1.810192,7.24378,0.972511
16,1.791379,7.24378,0.972403
17,1.817507,7.24378,0.972552
18,1.817790,7.24378,0.972511
19,1.922289,7.24378,0.972991
20,1.894921,7.24378,0.972882
21,1.910489,7.24378,0.972908
22,1.964116,7.24378,0.973203
23,1.946621,7.24378,0.973097
24,1.941909,7.24378,0.973115
25,1.996490,7.24378,0.97335
26,1.972258,7.24378,0.973234
27,1.945198,7.24378,0.973163
28,2.008992,7.24378,0.973443
29,2.043599,7.24378,0.973594
30,2.042291,7.24378,0.973553
31,2.057742,7.24378,0.973627
32,2.098129,7.24378,0.973811
33,2.103625,7.24378,0.973868
34,2.158151,7.24378,0.9741
35,2.148003,7.24378,0.973993
36,2.117154,7.24378,0.973864
37,2.107220,7.24378,0.973833
38,2.144052,7.24378,0.974011
39,2.173555,7.24378,0.974178
40,2.201500,7.24378,0.974263
41,2.239802,7.24378,0.974428
42,2.220430,7.24378,0.974414
43,2.221300,7.24378,0.974376
44,2.266947,7.24378,0.974556
45,2.231808,7.24378,0.974437
46,2.246357,7.24378,0.974514
47,2.257119,7.24378,0.974571
48,2.258569,7.24378,0.97454
49,2.294976,7.24378,0.974699
50,2.325231,7.24378,0.974838
51,2.395616,7.24378,0.975218
52,2.356602,7.24378,0.975017
53,2.413565,7.24378,0.975272
54,2.453712,7.24378,0.975483
55,2.389585,7.24378,0.975188
56,2.400680,7.24378,0.975233
57,2.462042,7.24378,0.975502
58,2.495346,7.24378,0.975652
59,2.527183,7.24378,0.975823
60,2.477334,7.24378,0.975555
61,2.493760,7.24378,0.975655
62,2.558834,7.24378,0.975984
63,2.552723,7.24378,0.975879
64,2.607374,7.24378,0.9762
65,2.621786,7.24378,0.976235
66,2.671837,7.24378,0.976426
67,2.666144,7.24378,0.976452
68,2.664575,7.24378,0.976399
69,2.611115,7.24378,0.976196
70,2.654127,7.24378,0.976346
71,2.688241,7.24378,0.976567
72,2.692480,7.24378,0.976594
73,2.727957,7.24378,0.976679
74,2.802030,7.24378,0.977016
75,2.776893,7.24378,0.97697
76,2.852774,7.24378,0.97732
77,2.844778,7.24378,0.977303
78,2.857498,7.24378,0.97726
79,2.914297,7.24378,0.97743
80,2.894786,7.24378,0.977371
81,2.980024,7.24378,0.977875
82,3.026363,7.24378,0.978007
83,3.047401,7.24378,0.978051
84,3.027015,7.24378,0.978055
85,3.068883,7.24378,0.978184
86,3.069398,7.24378,0.978241
87,3.098764,7.24378,0.978399
88,3.098557,7.24378,0.978352
89,3.089407,7.24378,0.978345
90,3.144853,7.24378,0.978555
91,3.132219,7.24378,0.97851
92,3.172621,7.24378,0.978654
93,3.228149,7.24378,0.978972
94,3.247874,7.24378,0.979029
95,3.195172,7.24378,0.978798
96,3.232255,7.24378,0.97897
97,3.241682,7.24378,0.979011
98,3.280421,7.24378,0.979147
99,3.313639,7.24378,0.979278
100,3.347900,7.24378,0.979455
101,3.358579,7.24378,0.979571
102,3.353081,7.24378,0.979492
103,3.370773,7.24378,0.979593
104,3.346712,7.24378,0.979412
105,3.399464,7.24378,0.979605
106,3.422589,7.24378,0.979742
107,3.420385,7.24378,0.979775
108,3.450109,7.24378,0.97993
109,3.442759,7.24378,0.979901
110,3.442248,7.24378,0.979831
111,3.444522,7.24378,0.979907
112,3.441877,7.24378,0.97996
113,3.478887,7.24378,0.980084
114,3.530936,7.24378,0.980266
115,3.545197,7.24378,0.980335
116,3.572943,7.24378,0.980405
117,3.580178,7.24378,0.980451
118,3.638767,7.24378,0.980717
119,3.637414,7.24378,0.980723
120,3.611634,7.24378,0.98064
121,3.661914,7.24378,0.980811
122,3.642084,7.24378,0.980814
123,3.681658,7.24378,0.98085
124,3.766109,7.24378,0.981192
125,3.668385,7.24378,0.980929
126,3.723342,7.24378,0.981167
127,3.796073,7.24378,0.981458
128,3.846329,7.24378,0.981616
129,3.912509,7.24378,0.981927
130,3.899194,7.24378,0.981827
131,3.954154,7.24378,0.982088
132,3.958381,7.24378,0.982137
133,3.984367,7.24378,0.982188
134,4.062621,7.24378,0.982496
135,4.052061,7.24378,0.982474
136,4.050319,7.24378,0.982517
137,4.156839,7.24378,0.982893
138,4.081481,7.24378,0.982634
139,4.080046,7.24378,0.982708
140,4.081405,7.24378,0.982682
141,4.124084,7.24378,0.982866
142,4.180912,7.24378,0.983032
143,4.180163,7.24378,0.983042
144,4.230880,7.24378,0.983346
145,4.171321,7.24378,0.983061
146,4.264597,7.24378,0.983502
147,4.214767,7.24378,0.983332
148,4.254569,7.24378,0.983399
149,4.286701,7.24378,0.98347
150,4.331418,7.24378,0.983699
151,4.335103,7.24378,0.98378
152,4.352443,7.24378,0.983733
153,4.350900,7.24378,0.983727
154,4.384262,7.24378,0.983929
155,4.399237,7.24378,0.983963
156,4.428088,7.24378,0.984145
157,4.459814,7.24378,0.984297
158,4.473312,7.24378,0.984285
159,4.504448,7.24378,0.984402
160,4.500866,7.24378,0.984477
161,4.422298,7.24378,0.984033
162,4.484941,7.24378,0.984252
163,4.446633,7.24378,0.984223
164,4.474940,7.24378,0.984406
165,4.479485,7.24378,0.984371
166,4.535624,7.24378,0.98459
167,4.503410,7.24378,0.984453
168,4.541415,7.24378,0.984631
169,4.545982,7.24378,0.98464
170,4.570543,7.24378,0.984745
171,4.586593,7.24378,0.984763
172,4.576349,7.24378,0.984725
173,4.598015,7.24378,0.984902
174,4.573179,7.24378,0.984737
175,4.587093,7.24378,0.984899
176,4.594414,7.24378,0.984805
177,4.615857,7.24378,0.984974
178,4.604136,7.24378,0.984781
179,4.604272,7.24378,0.984978
180,4.645587,7.24378,0.985016
181,4.612906,7.24378,0.984902
182,4.669911,7.24378,0.985195
183,4.652414,7.24378,0.985106
184,4.687585,7.24378,0.985225
185,4.740991,7.24378,0.985359
