Generation,Position,Frequency,Effect,Heterozygosity,origin
1,500000,0.276850,3.048570,0.000001,1
2,500000,0.273450,3.048570,8.0142e-07,1
3,500000,0.277600,3.048570,1.01371e-06,1
4,500000,0.279250,3.048570,1.22714e-06,1
5,500000,0.282600,3.048570,1.42122e-06,1
6,500000,0.284400,3.048570,1.61552e-06,1
7,500000,0.283650,3.048570,1.81411e-06,1
8,500000,0.287750,3.048570,1.99816e-06,1
9,500000,0.290000,3.048570,2.19187e-06,1
10,500000,0.293800,3.048570,2.38853e-06,1
11,500000,0.294400,3.048570,2.58443e-06,1
12,500000,0.297050,3.048570,2.78708e-06,1
13,500000,0.296550,3.048570,2.97387e-06,1
14,500000,0.293850,3.048570,3.16184e-06,1
15,500000,0.292500,3.048570,3.3369e-06,1
16,500000,0.295000,3.048570,3.5264e-06,1
17,500000,0.296950,3.048570,3.70694e-06,1
18,500000,0.301400,3.048570,3.90707e-06,1
19,500000,0.307750,3.048570,4.17051e-06,1
20,500000,0.311350,3.048570,4.36227e-06,1
21,500000,0.318200,3.048570,4.53646e-06,1
22,500000,0.322400,3.048570,4.73297e-06,1
23,500000,0.317950,3.048570,4.94623e-06,1
24,500000,0.317050,3.048570,5.10527e-06,1
25,500000,0.323050,3.048570,5.2977e-06,1
26,500000,0.322100,3.048570,5.50156e-06,1
27,500000,0.323950,3.048570,5.66681e-06,1
28,500000,0.327950,3.048570,5.87849e-06,1
29,500000,0.333050,3.048570,6.08067e-06,1
30,500000,0.340750,3.048570,6.30051e-06,1
31,500000,0.342100,3.048570,6.47016e-06,1
32,500000,0.344750,3.048570,6.70811e-06,1
33,500000,0.347350,3.048570,6.92739e-06,1
34,500000,0.350650,3.048570,7.1066e-06,1
35,500000,0.350800,3.048570,7.3238e-06,1
36,500000,0.350800,3.048570,7.55404e-06,1
37,500000,0.348850,3.048570,7.74653e-06,1
38,500000,0.352600,3.048570,7.98013e-06,1
39,500000,0.358400,3.048570,8.18949e-06,1
40,500000,0.360650,3.048570,8.41803e-06,1
41,500000,0.366100,3.048570,8.65194e-06,1
42,500000,0.367350,3.048570,8.86241e-06,1
43,500000,0.367050,3.048570,9.11059e-06,1
44,500000,0.367750,3.048570,9.30084e-06,1
45,500000,0.366250,3.048570,9.49028e-06,1
46,500000,0.366600,3.048570,9.66865e-06,1
47,500000,0.371250,3.048570,9.88562e-06,1
48,500000,0.374850,3.048570,1.01377e-05,1
49,500000,0.379550,3.048570,1.03426e-05,1
50,500000,0.382400,3.048570,1.04912e-05,1
51,500000,0.387400,3.048570,1.07655e-05,1
52,500000,0.392250,3.048570,1.09747e-05,1
53,500000,0.393700,3.048570,1.12114e-05,1
54,500000,0.395050,3.048570,1.13901e-05,1
55,500000,0.398650,3.048570,1.15859e-05,1
56,500000,0.401500,3.048570,1.17581e-05,1
57,500000,0.404600,3.048570,1.1972e-05,1
58,500000,0.410450,3.048570,1.21891e-05,1
59,500000,0.409450,3.048570,1.2381e-05,1
60,500000,0.409150,3.048570,1.2548e-05,1
61,500000,0.409050,3.048570,1.27304e-05,1
62,500000,0.415400,3.048570,1.29432e-05,1
63,500000,0.419500,3.048570,1.3172e-05,1
64,500000,0.425900,3.048570,1.34012e-05,1
65,500000,0.433050,3.048570,1.35021e-05,1
66,500000,0.435950,3.048570,1.3688e-05,1
67,500000,0.436500,3.048570,1.39003e-05,1
68,500000,0.436650,3.048570,1.4176e-05,1
69,500000,0.432950,3.048570,1.44233e-05,1
70,500000,0.437100,3.048570,1.46036e-05,1
71,500000,0.440400,3.048570,1.48141e-05,1
72,500000,0.444750,3.048570,1.50143e-05,1
73,500000,0.451450,3.048570,1.52904e-05,1
74,500000,0.456950,3.048570,1.55794e-05,1
74,500000,0.000050,0.162482,1.55794e-05,74
75,500000,0.459500,3.048570,1.57608e-05,1
75,500000,0.000050,0.162482,1.57608e-05,74
76,500000,0.464850,3.048570,1.59863e-05,1
77,500000,0.468400,3.048570,1.61462e-05,1
78,500000,0.470750,3.048570,1.63618e-05,1
79,500000,0.474250,3.048570,1.66144e-05,1
80,500000,0.476100,3.048570,1.68361e-05,1
81,500000,0.485550,3.048570,1.70055e-05,1
82,500000,0.493500,3.048570,1.71501e-05,1
83,500000,0.495550,3.048570,1.73294e-05,1
84,500000,0.496850,3.048570,1.7458e-05,1
85,500000,0.501750,3.048570,1.76615e-05,1
86,500000,0.507750,3.048570,1.78811e-05,1
87,500000,0.512050,3.048570,1.79767e-05,1
88,500000,0.510450,3.048570,1.82122e-05,1
89,500000,0.509950,3.048570,1.83684e-05,1
90,500000,0.509900,3.048570,1.85766e-05,1
91,500000,0.517350,3.048570,1.87319e-05,1
92,500000,0.524500,3.048570,1.8934e-05,1
93,500000,0.528250,3.048570,1.91822e-05,1
94,500000,0.531150,3.048570,1.93984e-05,1
95,500000,0.526850,3.048570,1.96531e-05,1
96,500000,0.530350,3.048570,1.99264e-05,1
97,500000,0.535750,3.048570,2.01384e-05,1
98,500000,0.536150,3.048570,2.0307e-05,1
99,500000,0.539100,3.048570,2.05234e-05,1
100,500000,0.547600,3.048570,2.0697e-05,1
101,500000,0.550000,3.048570,2.08729e-05,1
102,500000,0.547200,3.048570,2.10536e-05,1
103,500000,0.553500,3.048570,2.12834e-05,1
104,500000,0.547900,3.048570,2.15155e-05,1
105,500000,0.555450,3.048570,2.17092e-05,1
106,500000,0.557550,3.048570,2.1918e-05,1
107,500000,0.562050,3.048570,2.21097e-05,1
108,500000,0.565700,3.048570,2.23357e-05,1
109,500000,0.566050,3.048570,2.25113e-05,1
110,500000,0.565000,3.048570,2.27238e-05,1
111,500000,0.566600,3.048570,2.29794e-05,1
112,500000,0.572350,3.048570,2.31887e-05,1
113,500000,0.575000,3.048570,2.34075e-05,1
114,500000,0.579750,3.048570,2.36341e-05,1
115,500000,0.581200,3.048570,2.38109e-05,1
116,500000,0.586200,3.048570,2.40674e-05,1
117,500000,0.588900,3.048570,2.42722e-05,1
118,500000,0.596650,3.048570,2.43818e-05,1
119,500000,0.597350,3.048570,2.46685e-05,1
120,500000,0.597350,3.048570,2.48905e-05,1
121,500000,0.599200,3.048570,2.51772e-05,1
122,500000,0.600900,3.048570,2.53607e-05,1
123,500000,0.603500,3.048570,2.55141e-05,1
124,500000,0.610300,3.048570,2.5745e-05,1
125,500000,0.609250,3.048570,2.59586e-05,1
126,500000,0.614500,3.048570,2.61768e-05,1
127,500000,0.621050,3.048570,2.63463e-05,1
128,500000,0.629150,3.048570,2.65415e-05,1
129,500000,0.636500,3.048570,2.67316e-05,1
130,500000,0.639200,3.048570,2.69205e-05,1
131,500000,0.642650,3.048570,2.71204e-05,1
132,500000,0.649050,3.048570,2.73699e-05,1
133,500000,0.652250,3.048570,2.75534e-05,1
134,500000,0.660800,3.048570,2.77789e-05,1
135,500000,0.664500,3.048570,2.79443e-05,1
136,500000,0.669900,3.048570,2.82018e-05,1
137,500000,0.670050,3.048570,2.84423e-05,1
138,500000,0.666250,3.048570,2.86314e-05,1
139,500000,0.671850,3.048570,2.88268e-05,1
140,500000,0.674700,3.048570,2.89398e-05,1
141,500000,0.678000,3.048570,2.91469e-05,1
142,500000,0.680550,3.048570,2.94254e-05,1
143,500000,0.684300,3.048570,2.95899e-05,1
144,500000,0.689600,3.048570,2.97851e-05,1
145,500000,0.691300,3.048570,2.99402e-05,1
146,500000,0.695200,3.048570,3.01732e-05,1
147,500000,0.693800,3.048570,3.03123e-05,1
148,500000,0.700050,3.048570,3.05559e-05,1
149,500000,0.703550,3.048570,3.06475e-05,1
150,500000,0.706250,3.048570,3.09059e-05,1
151,500000,0.707500,3.048570,3.10758e-05,1
152,500000,0.708900,3.048570,3.1236e-05,1
153,500000,0.710950,3.048570,3.12781e-05,1
154,500000,0.717050,3.048570,3.14561e-05,1
155,500000,0.716850,3.048570,3.16884e-05,1
156,500000,0.722700,3.048570,3.18143e-05,1
157,500000,0.728100,3.048570,3.19597e-05,1
158,500000,0.732550,3.048570,3.2187e-05,1
159,500000,0.734750,3.048570,3.24081e-05,1
160,500000,0.734300,3.048570,3.25825e-05,1
161,500000,0.731350,3.048570,3.28086e-05,1
162,500000,0.735100,3.048570,3.29883e-05,1
163,500000,0.737650,3.048570,3.3314e-05,1
164,500000,0.737850,3.048570,3.34429e-05,1
165,500000,0.740000,3.048570,3.35912e-05,1
166,500000,0.741750,3.048570,3.3817e-05,1
167,500000,0.739100,3.048570,3.40102e-05,1
168,500000,0.744350,3.048570,3.42774e-05,1
169,500000,0.746950,3.048570,3.44851e-05,1
170,500000,0.751600,3.048570,3.46802e-05,1
171,500000,0.753450,3.048570,3.49444e-05,1
172,500000,0.748450,3.048570,3.5052e-05,1
173,500000,0.751950,3.048570,3.51906e-05,1
174,500000,0.749900,3.048570,3.53841e-05,1
175,500000,0.752250,3.048570,3.5507e-05,1
176,500000,0.751100,3.048570,3.5604e-05,1
177,500000,0.756750,3.048570,3.58707e-05,1
178,500000,0.753950,3.048570,3.60531e-05,1
179,500000,0.755900,3.048570,3.62863e-05,1
180,500000,0.758000,3.048570,3.66892e-05,1
181,500000,0.759250,3.048570,3.67694e-05,1
182,500000,0.766150,3.048570,3.70614e-05,1
183,500000,0.768350,3.048570,3.7276e-05,1
184,500000,0.772350,3.048570,3.74805e-05,1
185,500000,0.775050,3.048570,3.77396e-05,1
186,500000,0.774650,3.048570,3.7931e-05,1
187,500000,0.776700,3.048570,3.82079e-05,1
188,500000,0.782450,3.048570,3.84564e-05,1
189,500000,0.781250,3.048570,3.86442e-05,1
190,500000,0.787450,3.048570,3.8955e-05,1
191,500000,0.788150,3.048570,3.91815e-05,1
192,500000,0.792050,3.048570,3.93307e-05,1
193,500000,0.791500,3.048570,3.96297e-05,1
194,500000,0.791550,3.048570,3.97836e-05,1
195,500000,0.792200,3.048570,3.99794e-05,1
196,500000,0.795300,3.048570,4.02818e-05,1
197,500000,0.797900,3.048570,4.04178e-05,1
198,500000,0.806100,3.048570,4.05727e-05,1
199,500000,0.808750,3.048570,4.08304e-05,1
200,500000,0.811300,3.048570,4.09915e-05,1
201,500000,0.813900,3.048570,4.12658e-05,1
202,500000,0.820950,3.048570,4.14579e-05,1
203,500000,0.819300,3.048570,4.16331e-05,1
204,500000,0.821550,3.048570,4.18667e-05,1
205,500000,0.820750,3.048570,4.21608e-05,1
206,500000,0.820800,3.048570,4.2328e-05,1
207,500000,0.824800,3.048570,4.25521e-05,1
208,500000,0.830800,3.048570,4.257e-05,1
209,500000,0.837400,3.048570,4.28439e-05,1
210,500000,0.836150,3.048570,4.31403e-05,1
211,500000,0.832750,3.048570,4.32787e-05,1
212,500000,0.836850,3.048570,4.34315e-05,1
213,500000,0.837650,3.048570,4.35471e-05,1
214,500000,0.839150,3.048570,4.37919e-05,1
215,500000,0.841800,3.048570,4.39996e-05,1
216,500000,0.845750,3.048570,4.4092e-05,1
217,500000,0.845700,3.048570,4.43941e-05,1
218,500000,0.842750,3.048570,4.45715e-05,1
219,500000,0.847300,3.048570,4.48288e-05,1
220,500000,0.848750,3.048570,4.50727e-05,1
221,500000,0.849600,3.048570,4.50671e-05,1
222,500000,0.853350,3.048570,4.53332e-05,1
223,500000,0.852400,3.048570,4.5424e-05,1
224,500000,0.855200,3.048570,4.56657e-05,1
225,500000,0.856900,3.048570,4.57969e-05,1
226,500000,0.855800,3.048570,4.6053e-05,1
227,500000,0.857450,3.048570,4.63086e-05,1
228,500000,0.859050,3.048570,4.64778e-05,1
229,500000,0.859300,3.048570,4.67436e-05,1
230,500000,0.861900,3.048570,4.70198e-05,1
231,500000,0.864300,3.048570,4.72321e-05,1
232,500000,0.866700,3.048570,4.75355e-05,1
233,500000,0.865550,3.048570,4.76344e-05,1
234,500000,0.861550,3.048570,4.77015e-05,1
235,500000,0.864850,3.048570,4.78954e-05,1
236,500000,0.870550,3.048570,4.8194e-05,1
237,500000,0.870000,3.048570,4.83463e-05,1
238,500000,0.871150,3.048570,4.85689e-05,1
239,500000,0.875050,3.048570,4.87091e-05,1
240,500000,0.876300,3.048570,4.88979e-05,1
241,500000,0.881800,3.048570,4.9115e-05,1
242,500000,0.884200,3.048570,4.92888e-05,1
243,500000,0.883200,3.048570,4.94035e-05,1
244,500000,0.884950,3.048570,4.94887e-05,1
245,500000,0.888800,3.048570,4.96897e-05,1
246,500000,0.888000,3.048570,4.98546e-05,1
247,500000,0.892000,3.048570,4.99765e-05,1
248,500000,0.896150,3.048570,5.01738e-05,1
249,500000,0.903300,3.048570,5.03606e-05,1
250,500000,0.905100,3.048570,5.06606e-05,1
251,500000,0.904600,3.048570,5.07642e-05,1
252,500000,0.906900,3.048570,5.09116e-05,1
253,500000,0.907250,3.048570,5.11298e-05,1
254,500000,0.905100,3.048570,5.13024e-05,1
255,500000,0.909450,3.048570,5.15493e-05,1
256,500000,0.912750,3.048570,5.19116e-05,1
257,500000,0.910950,3.048570,5.21082e-05,1
258,500000,0.912100,3.048570,5.22327e-05,1
259,500000,0.914900,3.048570,5.24678e-05,1
260,500000,0.911950,3.048570,5.27241e-05,1
261,500000,0.913150,3.048570,5.29048e-05,1
262,500000,0.917000,3.048570,5.30794e-05,1
263,500000,0.917750,3.048570,5.33028e-05,1
264,500000,0.917750,3.048570,5.33872e-05,1
265,500000,0.918450,3.048570,5.36616e-05,1
266,500000,0.916350,3.048570,5.37949e-05,1
267,500000,0.917050,3.048570,5.39418e-05,1
268,500000,0.919600,3.048570,5.4146e-05,1
269,500000,0.920950,3.048570,5.43855e-05,1
270,500000,0.921600,3.048570,5.45654e-05,1
271,500000,0.920700,3.048570,5.4725e-05,1
272,500000,0.924950,3.048570,5.49099e-05,1
273,500000,0.923100,3.048570,5.50832e-05,1
274,500000,0.922900,3.048570,5.52454e-05,1
275,500000,0.927700,3.048570,5.53752e-05,1
276,500000,0.928750,3.048570,5.55387e-05,1
277,500000,0.927950,3.048570,5.5926e-05,1
278,500000,0.930650,3.048570,5.61962e-05,1
279,500000,0.929300,3.048570,5.64567e-05,1
280,500000,0.930300,3.048570,5.67604e-05,1
281,500000,0.934200,3.048570,5.69852e-05,1
282,500000,0.936400,3.048570,5.72846e-05,1
283,500000,0.936250,3.048570,5.74553e-05,1
284,500000,0.937750,3.048570,5.76505e-05,1
