Generation,Position,Frequency,Effect,Origin
1,1037246,0.922100,0.596250,1
1,183043,0.915000,0.937338,1
1,793188,0.884950,0.075136,1
1,427101,0.829050,0.937894,1
1,305072,0.677300,0.484761,1
1,549130,0.650650,0.378731,1
1,1159275,0.462800,0.184616,1
1,915217,0.195400,0.756137,1
1,671159,0.104000,0.144584,1
1,61014,0.006950,1.050229,1
2,1037246,0.923500,0.596250,1
2,183043,0.916900,0.937338,1
2,793188,0.883500,0.075136,1
2,427101,0.830050,0.937894,1
2,305072,0.680800,0.484761,1
2,549130,0.645900,0.378731,1
2,1159275,0.456100,0.184616,1
2,915217,0.194700,0.756137,1
2,671159,0.106800,0.144584,1
2,61014,0.007800,1.050229,1
3,1037246,0.921950,0.596250,1
3,183043,0.919050,0.937338,1
3,793188,0.884100,0.075136,1
3,427101,0.829850,0.937894,1
3,305072,0.683950,0.484761,1
3,549130,0.648300,0.378731,1
3,1159275,0.461150,0.184616,1
3,915217,0.195250,0.756137,1
3,671159,0.107700,0.144584,1
3,61014,0.007500,1.050229,1
4,1037246,0.922650,0.596250,1
4,183043,0.919950,0.937338,1
4,793188,0.883750,0.075136,1
4,427101,0.832100,0.937894,1
4,305072,0.679350,0.484761,1
4,549130,0.648750,0.378731,1
4,1159275,0.462250,0.184616,1
4,915217,0.193450,0.756137,1
4,671159,0.109650,0.144584,1
4,61014,0.007650,1.050229,1
5,1037246,0.921050,0.596250,1
5,183043,0.920700,0.937338,1
5,793188,0.882500,0.075136,1
5,427101,0.833600,0.937894,1
5,305072,0.690150,0.484761,1
5,549130,0.647650,0.378731,1
5,1159275,0.461850,0.184616,1
5,915217,0.191550,0.756137,1
5,671159,0.108300,0.144584,1
5,61014,0.007250,1.050229,1
6,1037246,0.923350,0.596250,1
6,183043,0.921500,0.937338,1
6,793188,0.884100,0.075136,1
6,427101,0.836650,0.937894,1
6,305072,0.691800,0.484761,1
6,549130,0.646300,0.378731,1
6,1159275,0.460950,0.184616,1
6,915217,0.190750,0.756137,1
6,671159,0.109000,0.144584,1
6,61014,0.007500,1.050229,1
7,1037246,0.923250,0.596250,1
7,183043,0.921400,0.937338,1
7,793188,0.886000,0.075136,1
7,427101,0.837450,0.937894,1
7,305072,0.690800,0.484761,1
7,549130,0.640700,0.378731,1
7,1159275,0.460600,0.184616,1
7,915217,0.188600,0.756137,1
7,671159,0.105150,0.144584,1
7,61014,0.006850,1.050229,1
8,183043,0.924450,0.937338,1
8,1037246,0.924000,0.596250,1
8,793188,0.887900,0.075136,1
8,427101,0.833450,0.937894,1
8,305072,0.690450,0.484761,1
8,549130,0.641050,0.378731,1
8,1159275,0.461550,0.184616,1
8,915217,0.191400,0.756137,1
8,671159,0.101600,0.144584,1
8,61014,0.005100,1.050229,1
9,1037246,0.923950,0.596250,1
9,183043,0.923450,0.937338,1
9,793188,0.889750,0.075136,1
9,427101,0.832450,0.937894,1
9,305072,0.692400,0.484761,1
9,549130,0.639650,0.378731,1
9,1159275,0.465250,0.184616,1
9,915217,0.188550,0.756137,1
9,671159,0.104750,0.144584,1
9,61014,0.005300,1.050229,1
10,1037246,0.922050,0.596250,1
10,183043,0.920700,0.937338,1
10,793188,0.887650,0.075136,1
10,427101,0.842950,0.937894,1
10,305072,0.688450,0.484761,1
10,549130,0.647750,0.378731,1
10,1159275,0.465750,0.184616,1
10,915217,0.188550,0.756137,1
10,671159,0.106150,0.144584,1
10,61014,0.005000,1.050229,1
11,183043,0.922050,0.937338,1
11,1037246,0.920850,0.596250,1
11,793188,0.884800,0.075136,1
