Generation,Position,Frequency,Effect, origin
1,165016,0.999850,0.781878,1
1,25002,0.993550,1.772321,1
1,815081,0.988950,0.082501,1
1,145014,0.978650,2.047481,1
1,15001,0.967850,0.869071,1
1,845084,0.962000,2.127418,1
1,495049,0.957650,1.135152,1
1,455045,0.957050,0.067381,1
1,105010,0.950400,0.575878,1
1,235023,0.942050,0.135544,1
1,465046,0.935250,0.482686,1
1,835083,0.930250,1.650900,1
1,575057,0.927450,0.337553,1
1,625062,0.922550,0.927305,1
1,935093,0.905550,2.856385,1
1,565056,0.891900,0.410144,1
1,915091,0.873750,3.503060,1
1,335033,0.871550,0.604027,1
1,875087,0.868850,0.097196,1
1,265026,0.868000,0.692964,1
1,275027,0.866500,0.068511,1
1,765076,0.856050,0.480405,1
1,655065,0.854700,0.749150,1
1,515051,0.838450,1.604522,1
1,945094,0.834900,1.278286,1
1,385038,0.807650,0.143080,1
1,735073,0.791050,1.551962,1
1,195019,0.783700,0.529941,1
1,965096,0.783400,0.477163,1
1,405040,0.783000,2.034086,1
1,255025,0.765550,0.747648,1
1,855085,0.736200,1.441821,1
1,375037,0.730300,0.599604,1
1,525052,0.717950,0.411350,1
1,435043,0.705000,0.075891,1
1,185018,0.701350,0.903739,1
1,605060,0.700950,0.143227,1
1,485048,0.699750,0.074227,1
1,775077,0.671150,0.598597,1
1,125012,0.670750,0.432507,1
1,985098,0.669550,0.029536,1
1,805080,0.658900,0.036460,1
1,45004,0.643350,0.883401,1
1,695069,0.628900,0.068812,1
1,115011,0.620850,0.847467,1
1,65006,0.620400,1.510862,1
1,705070,0.607600,1.101849,1
1,645064,0.605400,2.309637,1
1,415041,0.599700,0.400296,1
1,95009,0.584200,1.080572,1
1,75007,0.564550,1.612044,1
1,225022,0.563300,0.053708,1
1,785078,0.560400,1.105437,1
1,825082,0.540750,0.104087,1
1,665066,0.513850,0.431589,1
1,895089,0.470400,0.048991,1
1,155015,0.468400,0.176691,1
1,55005,0.456900,0.363972,1
1,715071,0.455400,3.686731,1
1,175017,0.453300,0.160121,1
1,245024,0.417000,0.533953,1
1,35003,0.415650,0.935869,1
1,325032,0.405300,0.511010,1
1,285028,0.402100,1.651637,1
1,5000,0.398150,1.800675,1
1,215021,0.385450,0.370042,1
1,585058,0.361400,0.040169,1
1,595059,0.357700,1.173881,1
1,205020,0.348700,0.388313,1
1,795079,0.332500,0.169356,1
1,925092,0.318800,0.314266,1
1,395039,0.302200,1.715730,1
1,445044,0.292700,1.609086,1
1,315031,0.280150,1.316420,1
1,885088,0.248150,2.290488,1
1,755075,0.230200,1.046379,1
1,355035,0.217300,1.254934,1
1,345034,0.204550,0.828610,1
1,545054,0.202400,0.723837,1
1,365036,0.190500,1.216672,1
1,475047,0.177950,3.752036,1
1,295029,0.169150,2.628696,1
1,975097,0.165100,2.627689,1
1,555055,0.156750,0.073117,1
1,535053,0.151300,0.696713,1
1,865086,0.148850,0.454774,1
1,905090,0.145350,0.722871,1
1,425042,0.133450,0.133962,1
1,305030,0.101650,2.083562,1
1,505050,0.094050,4.618760,1
1,725072,0.092700,0.230981,1
1,685068,0.087450,0.240215,1
1,675067,0.081900,0.558422,1
1,615061,0.076200,0.197224,1
1,995099,0.069750,1.148543,1
1,85008,0.067950,0.138756,1
1,745074,0.059350,0.197586,1
1,135013,0.041150,2.638912,1
1,955095,0.025350,0.005709,1
1,635063,0.010000,1.529540,1
2,165016,0.999900,0.781878,1
2,25002,0.993600,1.772321,1
2,815081,0.989250,0.082501,1
2,145014,0.977950,2.047481,1
2,15001,0.967600,0.869071,1
2,845084,0.961150,2.127418,1
2,495049,0.956450,1.135152,1
2,455045,0.956300,0.067381,1
2,105010,0.952600,0.575878,1
2,235023,0.943850,0.135544,1
2,465046,0.935650,0.482686,1
2,835083,0.929800,1.650900,1
2,575057,0.924950,0.337553,1
2,625062,0.922850,0.927305,1
2,935093,0.907650,2.856385,1
2,565056,0.888900,0.410144,1
2,915091,0.874400,3.503060,1
2,875087,0.874050,0.097196,1
2,335033,0.872700,0.604027,1
2,275027,0.871750,0.068511,1
2,265026,0.868600,0.692964,1
2,765076,0.857550,0.480405,1
2,655065,0.850400,0.749150,1
2,515051,0.839900,1.604522,1
2,945094,0.837200,1.278286,1
2,385038,0.804900,0.143080,1
2,735073,0.792100,1.551962,1
2,405040,0.784900,2.034086,1
2,965096,0.783700,0.477163,1
2,195019,0.782050,0.529941,1
2,255025,0.764850,0.747648,1
2,375037,0.735750,0.599604,1
2,855085,0.734650,1.441821,1
2,525052,0.725950,0.411350,1
2,185018,0.704550,0.903739,1
2,435043,0.703050,0.075891,1
2,605060,0.701550,0.143227,1
2,485048,0.697750,0.074227,1
2,775077,0.672150,0.598597,1
2,985098,0.671350,0.029536,1
2,125012,0.665050,0.432507,1
2,805080,0.657200,0.036460,1
2,45004,0.638450,0.883401,1
2,695069,0.627350,0.068812,1
2,115011,0.619350,0.847467,1
2,65006,0.619000,1.510862,1
2,705070,0.608650,1.101849,1
2,645064,0.607900,2.309637,1
2,415041,0.599900,0.400296,1
2,95009,0.591000,1.080572,1
2,75007,0.564750,1.612044,1
2,785078,0.560950,1.105437,1
2,225022,0.558200,0.053708,1
2,825082,0.532450,0.104087,1
2,665066,0.516900,0.431589,1
2,895089,0.470100,0.048991,1
2,155015,0.469800,0.176691,1
2,715071,0.456500,3.686731,1
2,55005,0.453100,0.363972,1
2,175017,0.451850,0.160121,1
2,245024,0.422550,0.533953,1
2,35003,0.415250,0.935869,1
2,325032,0.404150,0.511010,1
2,285028,0.403700,1.651637,1
2,5000,0.399350,1.800675,1
2,215021,0.384350,0.370042,1
2,585058,0.363300,0.040169,1
