Generation,Position,Frequency,Effect,Origin
1,915217,0.023600,1.095070,1
2,427101,0.870650,0.244540,1
2,183043,0.843950,1.254745,1
2,61014,0.773200,0.295933,1
2,549130,0.716800,1.531713,1
2,1159275,0.639650,0.801869,1
2,1037246,0.429700,1.119258,1
2,305072,0.218450,0.007018,1
2,793188,0.188200,2.747761,1
2,671159,0.093000,0.922605,1
2,915217,0.023500,1.095070,1
3,427101,0.872650,0.244540,1
3,183043,0.844100,1.254745,1
3,61014,0.770850,0.295933,1
3,549130,0.715400,1.531713,1
3,1159275,0.637950,0.801869,1
3,1037246,0.428200,1.119258,1
3,305072,0.220400,0.007018,1
3,793188,0.186200,2.747761,1
3,671159,0.092850,0.922605,1
3,915217,0.023000,1.095070,1
4,427101,0.869850,0.244540,1
4,183043,0.846450,1.254745,1
4,61014,0.771100,0.295933,1
4,549130,0.720000,1.531713,1
4,1159275,0.640050,0.801869,1
4,1037246,0.431650,1.119258,1
4,305072,0.221500,0.007018,1
4,793188,0.188050,2.747761,1
4,671159,0.092150,0.922605,1
4,915217,0.022800,1.095070,1
5,427101,0.870200,0.244540,1
5,183043,0.848550,1.254745,1
5,61014,0.776700,0.295933,1
5,549130,0.726900,1.531713,1
5,1159275,0.641800,0.801869,1
5,1037246,0.431000,1.119258,1
5,305072,0.214150,0.007018,1
5,793188,0.189850,2.747761,1
5,671159,0.092200,0.922605,1
5,915217,0.022250,1.095070,1
6,427101,0.867800,0.244540,1
6,183043,0.848950,1.254745,1
6,61014,0.781400,0.295933,1
6,549130,0.721850,1.531713,1
6,1159275,0.635050,0.801869,1
6,1037246,0.425100,1.119258,1
6,305072,0.211050,0.007018,1
6,793188,0.189150,2.747761,1
6,671159,0.092700,0.922605,1
6,915217,0.020200,1.095070,1
7,427101,0.869800,0.244540,1
7,183043,0.852150,1.254745,1
7,61014,0.783150,0.295933,1
7,549130,0.719600,1.531713,1
7,1159275,0.631950,0.801869,1
7,1037246,0.421600,1.119258,1
7,305072,0.216650,0.007018,1
7,793188,0.191400,2.747761,1
7,671159,0.095850,0.922605,1
7,915217,0.020050,1.095070,1
8,427101,0.872750,0.244540,1
8,183043,0.851800,1.254745,1
8,61014,0.782700,0.295933,1
8,549130,0.719250,1.531713,1
8,1159275,0.636450,0.801869,1
8,1037246,0.427000,1.119258,1
8,305072,0.212150,0.007018,1
8,793188,0.193150,2.747761,1
8,671159,0.094100,0.922605,1
8,915217,0.021250,1.095070,1
9,427101,0.876050,0.244540,1
9,183043,0.855600,1.254745,1
9,61014,0.781600,0.295933,1
9,549130,0.721150,1.531713,1
9,1159275,0.639200,0.801869,1
9,1037246,0.427450,1.119258,1
9,305072,0.217050,0.007018,1
9,793188,0.190850,2.747761,1
9,671159,0.091650,0.922605,1
9,915217,0.019700,1.095070,1
10,427101,0.875650,0.244540,1
10,183043,0.859500,1.254745,1
10,61014,0.780300,0.295933,1
10,549130,0.715300,1.531713,1
10,1159275,0.639100,0.801869,1
10,1037246,0.426600,1.119258,1
10,305072,0.216150,0.007018,1
10,793188,0.190300,2.747761,1
10,671159,0.094450,0.922605,1
10,915217,0.018850,1.095070,1
11,427101,0.875250,0.244540,1
11,183043,0.856950,1.254745,1
11,61014,0.781700,0.295933,1
11,549130,0.716800,1.531713,1
11,1159275,0.639050,0.801869,1
11,1037246,0.424750,1.119258,1
11,305072,0.213800,0.007018,1
11,793188,0.194000,2.747761,1
11,671159,0.096700,0.922605,1
11,915217,0.017350,1.095070,1
12,427101,0.869700,0.244540,1
12,183043,0.853100,1.254745,1
12,61014,0.782850,0.295933,1
12,549130,0.723800,1.531713,1
12,1159275,0.640650,0.801869,1
12,1037246,0.422500,1.119258,1
12,305072,0.211350,0.007018,1
12,793188,0.202150,2.747761,1
12,671159,0.097600,0.922605,1
12,915217,0.017200,1.095070,1
13,427101,0.870500,0.244540,1
13,183043,0.851700,1.254745,1
13,61014,0.777300,0.295933,1
13,549130,0.726550,1.531713,1
13,1159275,0.647550,0.801869,1
13,1037246,0.423450,1.119258,1
13,305072,0.213700,0.007018,1
13,793188,0.205200,2.747761,1
13,671159,0.096850,0.922605,1
13,915217,0.016050,1.095070,1
14,427101,0.874600,0.244540,1
14,183043,0.850850,1.254745,1
14,61014,0.778300,0.295933,1
14,549130,0.726600,1.531713,1
14,1159275,0.650300,0.801869,1
14,1037246,0.426500,1.119258,1
14,305072,0.211700,0.007018,1
14,793188,0.206650,2.747761,1
14,671159,0.098000,0.922605,1
14,915217,0.016300,1.095070,1
15,427101,0.879750,0.244540,1
15,183043,0.852400,1.254745,1
15,61014,0.778050,0.295933,1
15,549130,0.731800,1.531713,1
15,1159275,0.651400,0.801869,1
15,1037246,0.422950,1.119258,1
15,305072,0.216900,0.007018,1
15,793188,0.204450,2.747761,1
15,671159,0.099350,0.922605,1
15,915217,0.014300,1.095070,1
16,427101,0.885400,0.244540,1
16,183043,0.855300,1.254745,1
16,61014,0.779500,0.295933,1
16,549130,0.730200,1.531713,1
16,1159275,0.653600,0.801869,1
16,1037246,0.424350,1.119258,1
16,305072,0.217900,0.007018,1
16,793188,0.206500,2.747761,1
16,671159,0.098450,0.922605,1
16,915217,0.014200,1.095070,1
17,427101,0.885450,0.244540,1
17,183043,0.861350,1.254745,1
17,61014,0.777750,0.295933,1
17,549130,0.728450,1.531713,1
17,1159275,0.655400,0.801869,1
17,1037246,0.424750,1.119258,1
17,305072,0.217450,0.007018,1
17,793188,0.212200,2.747761,1
17,671159,0.102700,0.922605,1
17,915217,0.014750,1.095070,1
18,427101,0.886750,0.244540,1
18,183043,0.862450,1.254745,1
18,61014,0.777450,0.295933,1
18,549130,0.727250,1.531713,1
18,1159275,0.651800,0.801869,1
18,1037246,0.432150,1.119258,1
18,305072,0.217000,0.007018,1
18,793188,0.214300,2.747761,1
18,671159,0.101950,0.922605,1
18,915217,0.013950,1.095070,1
19,427101,0.886400,0.244540,1
19,183043,0.867300,1.254745,1
19,61014,0.778550,0.295933,1
19,549130,0.727200,1.531713,1
19,1159275,0.649150,0.801869,1
19,1037246,0.442800,1.119258,1
19,305072,0.217450,0.007018,1
19,793188,0.214450,2.747761,1
19,671159,0.100500,0.922605,1
19,915217,0.014400,1.095070,1
20,427101,0.885650,0.244540,1
20,183043,0.867300,1.254745,1
20,61014,0.780450,0.295933,1
20,549130,0.727900,1.531713,1
20,1159275,0.650300,0.801869,1
20,1037246,0.441650,1.119258,1
20,793188,0.219000,2.747761,1
20,305072,0.212600,0.007018,1
20,671159,0.104700,0.922605,1
20,915217,0.013350,1.095070,1
21,427101,0.886850,0.244540,1
21,183043,0.869050,1.254745,1
21,61014,0.787400,0.295933,1
21,549130,0.724550,1.531713,1
21,1159275,0.653550,0.801869,1
21,1037246,0.443900,1.119258,1
21,793188,0.225400,2.747761,1
21,305072,0.211800,0.007018,1
21,671159,0.102000,0.922605,1
21,915217,0.013800,1.095070,1
22,427101,0.884400,0.244540,1
22,183043,0.868450,1.254745,1
22,61014,0.782500,0.295933,1
22,549130,0.723900,1.531713,1
22,1159275,0.650550,0.801869,1
22,1037246,0.439900,1.119258,1
22,793188,0.224000,2.747761,1
22,305072,0.208150,0.007018,1
22,671159,0.105250,0.922605,1
22,915217,0.013150,1.095070,1
23,427101,0.887200,0.244540,1
23,183043,0.872350,1.254745,1
23,61014,0.784750,0.295933,1
23,549130,0.721650,1.531713,1
23,1159275,0.651650,0.801869,1
23,1037246,0.438600,1.119258,1
23,793188,0.224600,2.747761,1
23,305072,0.209400,0.007018,1
23,671159,0.104500,0.922605,1
23,915217,0.012400,1.095070,1
24,427101,0.887450,0.244540,1
24,183043,0.872050,1.254745,1
24,61014,0.788900,0.295933,1
24,549130,0.721150,1.531713,1
24,1159275,0.651450,0.801869,1
24,1037246,0.443150,1.119258,1
24,793188,0.225550,2.747761,1
24,305072,0.210450,0.007018,1
24,671159,0.104550,0.922605,1
24,915217,0.013400,1.095070,1
25,427101,0.888450,0.244540,1
25,183043,0.872950,1.254745,1
25,61014,0.788900,0.295933,1
25,549130,0.723600,1.531713,1
25,1159275,0.649350,0.801869,1
25,1037246,0.446700,1.119258,1
25,793188,0.225550,2.747761,1
25,305072,0.207500,0.007018,1
25,671159,0.108050,0.922605,1
25,915217,0.013950,1.095070,1
26,427101,0.891500,0.244540,1
26,183043,0.869500,1.254745,1
26,61014,0.790700,0.295933,1
26,549130,0.724200,1.531713,1
26,1159275,0.656400,0.801869,1
26,1037246,0.445450,1.119258,1
26,793188,0.228700,2.747761,1
26,305072,0.207400,0.007018,1
26,671159,0.104500,0.922605,1
26,915217,0.013500,1.095070,1
27,427101,0.893000,0.244540,1
27,183043,0.872350,1.254745,1
27,61014,0.792450,0.295933,1
27,549130,0.725150,1.531713,1
27,1159275,0.656900,0.801869,1
27,1037246,0.451250,1.119258,1
27,793188,0.231000,2.747761,1
27,305072,0.208650,0.007018,1
27,671159,0.105550,0.922605,1
27,915217,0.014300,1.095070,1
28,427101,0.892750,0.244540,1
28,183043,0.871200,1.254745,1
28,61014,0.794800,0.295933,1
28,549130,0.722550,1.531713,1
28,1159275,0.658550,0.801869,1
28,1037246,0.452700,1.119258,1
28,793188,0.234950,2.747761,1
28,305072,0.211750,0.007018,1
28,671159,0.110500,0.922605,1
28,915217,0.014250,1.095070,1
29,427101,0.890750,0.244540,1
29,183043,0.873350,1.254745,1
29,61014,0.793550,0.295933,1
29,549130,0.723300,1.531713,1
29,1159275,0.651600,0.801869,1
29,1037246,0.447550,1.119258,1
29,793188,0.231700,2.747761,1
29,305072,0.205250,0.007018,1
29,671159,0.105850,0.922605,1
29,915217,0.014400,1.095070,1
30,427101,0.892950,0.244540,1
30,183043,0.870150,1.254745,1
30,61014,0.796300,0.295933,1
30,549130,0.721350,1.531713,1
30,1159275,0.649300,0.801869,1
30,1037246,0.446850,1.119258,1
30,793188,0.230900,2.747761,1
30,305072,0.203250,0.007018,1
30,671159,0.105350,0.922605,1
30,915217,0.013150,1.095070,1
31,427101,0.894350,0.244540,1
31,183043,0.865800,1.254745,1
31,61014,0.793750,0.295933,1
31,549130,0.718000,1.531713,1
31,1159275,0.649700,0.801869,1
31,1037246,0.449400,1.119258,1
31,793188,0.230800,2.747761,1
31,305072,0.202500,0.007018,1
31,671159,0.104550,0.922605,1
31,915217,0.013000,1.095070,1
32,427101,0.889550,0.244540,1
32,183043,0.866800,1.254745,1
32,61014,0.793150,0.295933,1
32,549130,0.716450,1.531713,1
32,1159275,0.646150,0.801869,1
32,1037246,0.446000,1.119258,1
32,793188,0.228000,2.747761,1
32,305072,0.202300,0.007018,1
32,671159,0.103400,0.922605,1
32,915217,0.013100,1.095070,1
33,427101,0.891500,0.244540,1
33,183043,0.865600,1.254745,1
33,61014,0.792350,0.295933,1
33,549130,0.717050,1.531713,1
33,1159275,0.638100,0.801869,1
33,1037246,0.448450,1.119258,1
33,793188,0.232150,2.747761,1
33,305072,0.200300,0.007018,1
33,671159,0.102400,0.922605,1
33,915217,0.014150,1.095070,1
34,427101,0.890850,0.244540,1
34,183043,0.862700,1.254745,1
34,61014,0.786400,0.295933,1
