Generation,Position,Frequency,Effect,Origin
1,237958,0.998100,1.022921,1
1,774890,0.937200,1.555600,1
1,762687,0.932900,0.586908,1
1,164740,0.926250,2.086006,1
1,628454,0.924350,0.295906,1
1,713875,0.907300,0.668672,1
1,701672,0.900750,1.002272,1
1,225755,0.899400,0.545591,1
1,1128777,0.888250,0.549463,1
1,1043356,0.884500,0.087309,1
1,262364,0.873600,0.172971,1
1,311176,0.856100,1.092154,1
1,128131,0.847750,1.449616,1
1,1104371,0.845450,2.978211,1
1,372191,0.835650,2.914425,1
1,1189792,0.833800,3.032398,1
1,823702,0.826150,1.343558,1
1,921326,0.823500,0.358722,1
1,567439,0.821550,0.589577,1
1,1006747,0.796200,2.075169,1
1,494221,0.784300,0.141501,1
1,726078,0.783250,0.219954,1
1,384394,0.781900,0.881404,1
1,957935,0.750200,0.235377,1
1,42710,0.735950,0.244540,1
1,457612,0.723250,0.804431,1
1,982341,0.710750,2.382002,1
1,1067762,0.684050,0.796408,1
1,579642,0.674950,0.175611,1
1,1092168,0.665950,0.213038,1
1,1079965,0.664350,3.301660,1
1,787093,0.658200,0.031217,1
1,91522,0.654750,1.095070,1
1,1018950,0.653700,0.471798,1
1,543033,0.646600,0.227030,1
1,396597,0.633200,0.231332,1
1,970138,0.628250,0.392635,1
1,835905,0.599000,1.826213,1
1,359988,0.593500,1.642753,1
1,616251,0.567200,0.578383,1
1,274567,0.564400,0.158544,1
1,79319,0.564100,2.747761,1
1,323379,0.562450,2.799727,1
1,811499,0.558700,0.021320,1
1,665063,0.555550,0.825481,1
1,482018,0.547650,1.050985,1
1,1055559,0.535450,0.131057,1
1,421003,0.513150,1.555775,1
1,848108,0.505250,0.399729,1
1,30507,0.474600,0.007018,1
1,884717,0.468950,3.214138,1
1,640657,0.452000,2.036180,1
1,213552,0.450050,0.025222,1
1,1140980,0.440250,0.582166,1
1,250161,0.436400,2.273010,1
1,6101,0.428650,0.295933,1
1,530830,0.397950,0.906092,1
1,604048,0.396250,0.106448,1
1,738281,0.385100,0.062432,1
1,872514,0.382150,0.441244,1
1,408800,0.376050,1.604131,1
1,201349,0.352500,0.213898,1
1,860311,0.345300,0.325744,1
1,103725,0.338800,1.119258,1
1,189146,0.338700,0.095347,1
1,1165386,0.335800,2.233528,1
1,1214198,0.320550,1.568376,1
1,909123,0.307250,0.656422,1
1,555236,0.285950,0.708746,1
1,994544,0.269350,1.791156,1
1,115928,0.256450,0.801869,1
1,689469,0.241450,1.481930,1
1,298973,0.234600,2.221943,1
1,750484,0.225800,0.200487,1
1,799296,0.224200,0.941900,1
1,54913,0.223600,1.531713,1
1,896920,0.219750,0.381032,1
1,933529,0.211650,0.506327,1
1,140334,0.164650,1.840555,1
1,652860,0.147050,0.148192,1
1,1201995,0.145750,0.467861,1
1,1031153,0.138000,0.559070,1
1,1153183,0.133650,0.280184,1
1,433206,0.129600,0.120131,1
1,945732,0.107700,0.132607,1
1,67116,0.103700,0.922605,1
1,506424,0.091750,1.893830,1
1,677266,0.082750,0.592429,1
1,347785,0.077500,1.053189,1
1,335582,0.077300,1.269007,1
1,1177589,0.071900,0.444581,1
1,445409,0.068750,1.208776,1
1,591845,0.067800,1.311073,1
1,176943,0.063850,1.240799,1
1,469815,0.063750,0.291911,1
1,18304,0.060150,1.254745,1
1,286770,0.056400,0.932013,1
1,518627,0.056100,0.386370,1
1,152537,0.014650,0.258352,1
1,1116574,0.011750,2.273483,1
2,237958,0.997950,1.022921,1
2,774890,0.939300,1.555600,1
2,762687,0.936250,0.586908,1
2,628454,0.925200,0.295906,1
2,164740,0.924650,2.086006,1
2,713875,0.908750,0.668672,1
2,225755,0.903600,0.545591,1
2,701672,0.901650,1.002272,1
2,1128777,0.885250,0.549463,1
2,1043356,0.884650,0.087309,1
2,262364,0.873950,0.172971,1
2,311176,0.854200,1.092154,1
2,128131,0.853500,1.449616,1
2,1104371,0.846750,2.978211,1
2,1189792,0.839050,3.032398,1
2,372191,0.837750,2.914425,1
2,921326,0.824700,0.358722,1
2,823702,0.824100,1.343558,1
2,567439,0.821500,0.589577,1
2,1006747,0.796450,2.075169,1
2,726078,0.789450,0.219954,1
2,384394,0.783250,0.881404,1
2,494221,0.780550,0.141501,1
2,957935,0.744750,0.235377,1
2,42710,0.734900,0.244540,1
2,457612,0.725300,0.804431,1
2,982341,0.716800,2.382002,1
2,579642,0.681900,0.175611,1
2,1067762,0.681750,0.796408,1
2,1092168,0.667750,0.213038,1
2,1079965,0.666600,3.301660,1
2,91522,0.653600,1.095070,1
2,787093,0.653450,0.031217,1
2,1018950,0.651350,0.471798,1
2,543033,0.642650,0.227030,1
2,396597,0.636350,0.231332,1
2,970138,0.626200,0.392635,1
2,359988,0.596850,1.642753,1
2,835905,0.596250,1.826213,1
2,616251,0.572900,0.578383,1
2,274567,0.569800,0.158544,1
2,323379,0.568700,2.799727,1
2,79319,0.565550,2.747761,1
2,811499,0.560000,0.021320,1
2,665063,0.557800,0.825481,1
2,482018,0.547500,1.050985,1
2,1055559,0.536400,0.131057,1
2,421003,0.513550,1.555775,1
2,848108,0.512500,0.399729,1
2,884717,0.470800,3.214138,1
2,30507,0.468800,0.007018,1
2,640657,0.453150,2.036180,1
2,213552,0.449600,0.025222,1
2,1140980,0.440900,0.582166,1
2,6101,0.433450,0.295933,1
2,250161,0.432800,2.273010,1
2,604048,0.404700,0.106448,1
2,530830,0.394700,0.906092,1
2,738281,0.385100,0.062432,1
2,872514,0.382400,0.441244,1
2,408800,0.378700,1.604131,1
2,201349,0.355200,0.213898,1
2,103725,0.346800,1.119258,1
