Generation,Position,Frequency,Effect,Origin
1,543033,0.997250,0.756542,1
1,652860,0.991550,0.221580,1
1,713875,0.989100,0.189974,1
1,774890,0.980900,2.506406,1
1,1006747,0.979200,0.333771,1
1,445409,0.979050,0.022710,1
1,616251,0.978700,0.016483,1
1,103725,0.971350,0.301926,1
1,970138,0.945000,0.584023,1
1,896920,0.942800,0.956820,1
1,1067762,0.941150,1.131229,1
1,262364,0.938650,2.168926,1
1,872514,0.928000,1.407925,1
1,237958,0.921350,3.032091,1
1,848108,0.916750,1.193693,1
1,457612,0.888400,0.151553,1
1,823702,0.885800,0.304440,1
1,787093,0.877900,1.560417,1
1,1214198,0.842650,0.592516,1
1,957935,0.836150,1.485838,1
1,530830,0.833250,2.807018,1
1,1140980,0.833050,0.111835,1
1,408800,0.829500,3.331525,1
1,54913,0.821800,1.890630,1
1,884717,0.812100,0.294084,1
1,860311,0.805200,0.630483,1
1,1079965,0.804200,1.136130,1
1,396597,0.802000,0.050679,1
1,945732,0.797000,0.647691,1
1,250161,0.771150,0.817099,1
1,982341,0.763850,1.482160,1
1,335582,0.740250,0.094894,1
1,933529,0.734600,1.155849,1
1,1031153,0.732700,4.101619,1
1,115928,0.732300,2.819775,1
1,604048,0.731450,1.407115,1
1,1018950,0.729550,0.514480,1
1,1165386,0.727950,0.667488,1
1,359988,0.727850,1.013507,1
1,1055559,0.711650,0.795695,1
1,591845,0.710100,2.969555,1
1,201349,0.695600,0.424276,1
1,372191,0.689450,0.781874,1
1,811499,0.683950,1.153550,1
1,128131,0.672100,0.653157,1
1,689469,0.667350,1.841563,1
1,1104371,0.666250,0.611047,1
1,152537,0.665150,2.222374,1
1,1043356,0.659700,0.565400,1
1,384394,0.646150,0.109456,1
1,91522,0.641700,6.392057,1
1,579642,0.623500,3.814558,1
1,298973,0.611600,1.584015,1
1,225755,0.607700,0.179605,1
1,67116,0.568850,2.821470,1
1,18304,0.567400,0.330553,1
1,433206,0.565550,1.085156,1
1,518627,0.562900,0.382134,1
1,1201995,0.561550,0.001440,1
1,762687,0.555700,2.368778,1
1,274567,0.547350,1.025541,1
1,921326,0.540150,1.797683,1
1,42710,0.509850,0.412421,1
1,421003,0.509200,0.786553,1
1,506424,0.495200,0.775019,1
1,482018,0.486400,1.157826,1
1,469815,0.484250,0.836849,1
1,738281,0.466150,0.416162,1
1,665063,0.463000,3.150135,1
