Generation,Position,Frequency,Effect,Heterozygosity,origin
1,610140,0.099650,0.088816,0.000000,1
2,610140,0.096500,0.088816,1.42898e-07,1
3,610140,0.094050,0.088816,1.39648e-07,1
4,610140,0.093950,0.088816,1.39514e-07,1
5,610140,0.096050,0.088816,1.42302e-07,1
6,610140,0.096100,0.088816,1.42369e-07,1
7,610140,0.095700,0.088816,1.41839e-07,1
8,610140,0.095350,0.088816,1.41375e-07,1
9,610140,0.094200,0.088816,1.39847e-07,1
10,610140,0.092950,0.088816,1.38182e-07,1
11,610140,0.092150,0.088816,1.37113e-07,1
12,610140,0.090350,0.088816,1.34702e-07,1
13,610140,0.089050,0.088816,1.32953e-07,1
14,610140,0.088600,0.088816,1.32347e-07,1
15,610140,0.086250,0.088816,1.29169e-07,1
16,610140,0.089150,0.088816,1.33088e-07,1
17,610140,0.087800,0.088816,1.31267e-07,1
18,610140,0.089150,0.088816,1.33088e-07,1
19,610140,0.088800,0.088816,1.32616e-07,1
20,610140,0.090850,0.088816,1.35373e-07,1
21,610140,0.092300,0.088816,1.37314e-07,1
22,610140,0.087750,0.088816,1.31199e-07,1
23,610140,0.084600,0.088816,1.26926e-07,1
24,610140,0.083350,0.088816,1.25222e-07,1
25,610140,0.083950,0.088816,1.2604e-07,1
26,610140,0.082850,0.088816,1.24538e-07,1
27,610140,0.080500,0.088816,1.21316e-07,1
28,610140,0.082050,0.088816,1.23443e-07,1
29,610140,0.079300,0.088816,1.19663e-07,1
30,610140,0.084400,0.088816,1.26654e-07,1
31,610140,0.082500,0.088816,1.2406e-07,1
32,610140,0.081450,0.088816,1.22621e-07,1
33,610140,0.084500,0.088816,1.2679e-07,1
34,610140,0.083900,0.088816,1.25972e-07,1
35,610140,0.082750,0.088816,1.24402e-07,1
36,610140,0.083150,0.088816,1.24948e-07,1
37,610140,0.080550,0.088816,1.21385e-07,1
38,610140,0.084500,0.088816,1.2679e-07,1
39,610140,0.084750,0.088816,1.2713e-07,1
40,610140,0.085800,0.088816,1.28558e-07,1
41,610140,0.087250,0.088816,1.30523e-07,1
42,610140,0.086400,0.088816,1.29372e-07,1
43,610140,0.086900,0.088816,1.30049e-07,1
44,610140,0.088100,0.088816,1.31672e-07,1
45,610140,0.090050,0.088816,1.34299e-07,1
46,610140,0.094100,0.088816,1.39714e-07,1
47,610140,0.096350,0.088816,1.42699e-07,1
48,610140,0.098100,0.088816,1.4501e-07,1
49,610140,0.098700,0.088816,1.458e-07,1
50,610140,0.096900,0.088816,1.43427e-07,1
51,610140,0.094650,0.088816,1.40445e-07,1
52,610140,0.095600,0.088816,1.41706e-07,1
53,610140,0.098300,0.088816,1.45273e-07,1
54,610140,0.097750,0.088816,1.44549e-07,1
55,610140,0.094550,0.088816,1.40312e-07,1
56,610140,0.095150,0.088816,1.41109e-07,1
57,610140,0.095650,0.088816,1.41772e-07,1
58,610140,0.096650,0.088816,1.43096e-07,1
59,610140,0.097700,0.088816,1.44483e-07,1
60,610140,0.096750,0.088816,1.43228e-07,1
61,610140,0.095800,0.088816,1.41971e-07,1
62,610140,0.095000,0.088816,1.4091e-07,1
63,610140,0.093350,0.088816,1.38715e-07,1
64,610140,0.095700,0.088816,1.41839e-07,1
65,610140,0.096500,0.088816,1.42898e-07,1
66,610140,0.096400,0.088816,1.42766e-07,1
67,610140,0.093100,0.088816,1.38382e-07,1
68,610140,0.096450,0.088816,1.42832e-07,1
69,610140,0.096350,0.088816,1.42699e-07,1
70,610140,0.098950,0.088816,1.46128e-07,1
71,610140,0.104050,0.088816,1.5279e-07,1
72,610140,0.103500,0.088816,1.52076e-07,1
73,610140,0.099400,0.088816,1.4672e-07,1
74,610140,0.100000,0.088816,1.47507e-07,1
75,610140,0.100300,0.088816,1.479e-07,1
76,610140,0.100250,0.088816,1.47835e-07,1
77,610140,0.096950,0.088816,1.43493e-07,1
78,610140,0.095900,0.088816,1.42104e-07,1
79,610140,0.098550,0.088816,1.45602e-07,1
80,610140,0.100750,0.088816,1.48489e-07,1
81,610140,0.100900,0.088816,1.48686e-07,1
82,610140,0.102650,0.088816,1.5097e-07,1
83,610140,0.102550,0.088816,1.5084e-07,1
84,610140,0.101850,0.088816,1.49927e-07,1
85,610140,0.101150,0.088816,1.49013e-07,1
86,610140,0.100450,0.088816,1.48097e-07,1
87,610140,0.099700,0.088816,1.47114e-07,1
88,610140,0.096200,0.088816,1.42501e-07,1
89,610140,0.097500,0.088816,1.44219e-07,1
90,610140,0.096850,0.088816,1.43361e-07,1
91,610140,0.096850,0.088816,1.43361e-07,1
92,610140,0.095400,0.088816,1.41441e-07,1
93,610140,0.094750,0.088816,1.40578e-07,1
94,610140,0.095150,0.088816,1.41109e-07,1
95,610140,0.095550,0.088816,1.4164e-07,1
96,610140,0.096150,0.088816,1.42435e-07,1
97,610140,0.096200,0.088816,1.42501e-07,1
98,610140,0.096000,0.088816,1.42236e-07,1
99,610140,0.098500,0.088816,1.45537e-07,1
100,610140,0.098650,0.088816,1.45734e-07,1
101,610140,0.098900,0.088816,1.46063e-07,1
102,610140,0.100500,0.088816,1.48162e-07,1
103,610140,0.100450,0.088816,1.48097e-07,1
104,610140,0.100550,0.088816,1.48228e-07,1
105,610140,0.096000,0.088816,1.42236e-07,1
106,610140,0.094100,0.088816,1.39714e-07,1
107,610140,0.095250,0.088816,1.41242e-07,1
108,610140,0.095350,0.088816,1.41375e-07,1
109,610140,0.094550,0.088816,1.40312e-07,1
110,610140,0.096350,0.088816,1.42699e-07,1
111,610140,0.097950,0.088816,1.44812e-07,1
112,610140,0.097450,0.088816,1.44153e-07,1
113,610140,0.096250,0.088816,1.42567e-07,1
114,610140,0.098100,0.088816,1.4501e-07,1
115,610140,0.095500,0.088816,1.41574e-07,1
116,610140,0.100300,0.088816,1.479e-07,1
117,610140,0.104800,0.088816,1.53763e-07,1
118,610140,0.110300,0.088816,1.60838e-07,1
119,610140,0.111450,0.088816,1.62305e-07,1
120,610140,0.114150,0.088816,1.65732e-07,1
121,610140,0.113250,0.088816,1.64592e-07,1
122,610140,0.111150,0.088816,1.61923e-07,1
123,610140,0.111550,0.088816,1.62432e-07,1
124,610140,0.108850,0.088816,1.58983e-07,1
125,610140,0.107050,0.088816,1.56669e-07,1
126,610140,0.109050,0.088816,1.59239e-07,1
127,610140,0.108950,0.088816,1.59111e-07,1
128,610140,0.111650,0.088816,1.6256e-07,1
129,610140,0.116150,0.088816,1.68255e-07,1
130,610140,0.115950,0.088816,1.68003e-07,1
131,610140,0.116500,0.088816,1.68695e-07,1
132,610140,0.115150,0.088816,1.66995e-07,1
133,610140,0.116050,0.088816,1.68129e-07,1
134,610140,0.117800,0.088816,1.70327e-07,1
135,610140,0.117500,0.088816,1.69951e-07,1
136,610140,0.118650,0.088816,1.7139e-07,1
137,610140,0.117050,0.088816,1.69386e-07,1
138,610140,0.110600,0.088816,1.61221e-07,1
139,610140,0.114750,0.088816,1.6649e-07,1
140,610140,0.119000,0.088816,1.71828e-07,1
141,610140,0.117750,0.088816,1.70264e-07,1
142,610140,0.115200,0.088816,1.67058e-07,1
143,610140,0.117500,0.088816,1.69951e-07,1
144,610140,0.114050,0.088816,1.65605e-07,1
145,610140,0.116300,0.088816,1.68444e-07,1
146,610140,0.113450,0.088816,1.64846e-07,1
147,610140,0.115150,0.088816,1.66995e-07,1
148,610140,0.115000,0.088816,1.66806e-07,1
149,610140,0.114900,0.088816,1.6668e-07,1
150,610140,0.112450,0.088816,1.63577e-07,1
151,610140,0.108750,0.088816,1.58854e-07,1
152,610140,0.113200,0.088816,1.64529e-07,1
153,610140,0.111300,0.088816,1.62114e-07,1
154,610140,0.109300,0.088816,1.59559e-07,1
155,610140,0.106450,0.088816,1.55896e-07,1
156,610140,0.111700,0.088816,1.62623e-07,1
157,610140,0.112550,0.088816,1.63704e-07,1
158,610140,0.108250,0.088816,1.58213e-07,1
159,610140,0.106250,0.088816,1.55638e-07,1
160,610140,0.105550,0.088816,1.54734e-07,1
161,610140,0.103800,0.088816,1.52466e-07,1
162,610140,0.105400,0.088816,1.5454e-07,1
163,610140,0.102650,0.088816,1.5097e-07,1
164,610140,0.104750,0.088816,1.53698e-07,1
165,610140,0.105850,0.088816,1.55121e-07,1
166,610140,0.104950,0.088816,1.53957e-07,1
167,610140,0.108400,0.088816,1.58405e-07,1
168,610140,0.108850,0.088816,1.58983e-07,1
169,610140,0.111650,0.088816,1.6256e-07,1
170,610140,0.114550,0.088816,1.66238e-07,1
171,610140,0.116200,0.088816,1.68318e-07,1
172,610140,0.116550,0.088816,1.68758e-07,1
173,610140,0.111700,0.088816,1.62623e-07,1
174,610140,0.107100,0.088816,1.56734e-07,1
175,610140,0.108250,0.088816,1.58213e-07,1
176,610140,0.109300,0.088816,1.59559e-07,1
177,610140,0.109500,0.088816,1.59815e-07,1
178,610140,0.111400,0.088816,1.62241e-07,1
179,610140,0.111100,0.088816,1.61859e-07,1
180,610140,0.112050,0.088816,1.63069e-07,1
181,610140,0.111800,0.088816,1.62751e-07,1
182,610140,0.112250,0.088816,1.63323e-07,1
183,610140,0.108700,0.088816,1.5879e-07,1
184,610140,0.107050,0.088816,1.56669e-07,1
185,610140,0.108750,0.088816,1.58854e-07,1
186,610140,0.109200,0.088816,1.59431e-07,1
187,610140,0.107700,0.088816,1.57506e-07,1
188,610140,0.108200,0.088816,1.58148e-07,1
189,610140,0.106900,0.088816,1.56476e-07,1
190,610140,0.104800,0.088816,1.53763e-07,1
191,610140,0.104750,0.088816,1.53698e-07,1
192,610140,0.102900,0.088816,1.51296e-07,1
193,610140,0.101700,0.088816,1.49731e-07,1
194,610140,0.101300,0.088816,1.49209e-07,1
195,610140,0.102700,0.088816,1.51035e-07,1
196,610140,0.103150,0.088816,1.51621e-07,1
197,610140,0.105650,0.088816,1.54863e-07,1
198,610140,0.105650,0.088816,1.54863e-07,1
199,610140,0.108100,0.088816,1.5802e-07,1
200,610140,0.107150,0.088816,1.56798e-07,1
201,610140,0.103150,0.088816,1.51621e-07,1
202,610140,0.100450,0.088816,1.48097e-07,1
203,610140,0.097850,0.088816,1.4468e-07,1
204,610140,0.100350,0.088816,1.47966e-07,1
205,610140,0.098850,0.088816,1.45997e-07,1
206,610140,0.098500,0.088816,1.45537e-07,1
207,610140,0.096000,0.088816,1.42236e-07,1
208,610140,0.096250,0.088816,1.42567e-07,1
209,610140,0.095700,0.088816,1.41839e-07,1
210,610140,0.097750,0.088816,1.44549e-07,1
211,610140,0.102350,0.088816,1.50579e-07,1
