Generation,Position,Frequency,Effect,Origin
1,610140,0.284450,3.048570,1
2,610140,0.283200,3.048570,1
3,610140,0.281600,3.048570,1
4,610140,0.278900,3.048570,1
5,610140,0.278450,3.048570,1
6,610140,0.279450,3.048570,1
7,610140,0.281100,3.048570,1
8,610140,0.277650,3.048570,1
9,610140,0.282500,3.048570,1
10,610140,0.276000,3.048570,1
11,610140,0.270300,3.048570,1
12,610140,0.260750,3.048570,1
13,610140,0.257600,3.048570,1
14,610140,0.253750,3.048570,1
15,610140,0.253050,3.048570,1
16,610140,0.249150,3.048570,1
17,610140,0.246950,3.048570,1
18,610140,0.241250,3.048570,1
19,610140,0.232450,3.048570,1
20,610140,0.230600,3.048570,1
21,610140,0.228550,3.048570,1
22,610140,0.227400,3.048570,1
23,610140,0.228850,3.048570,1
24,610140,0.228450,3.048570,1
25,610140,0.226550,3.048570,1
26,610140,0.228500,3.048570,1
27,610140,0.237500,3.048570,1
28,610140,0.255000,3.048570,1
29,610140,0.249500,3.048570,1
30,610140,0.256000,3.048570,1
31,610140,0.272500,3.048570,1
32,610140,0.259000,3.048570,1
33,610140,0.271000,3.048570,1
34,610140,0.285000,3.048570,1
35,610140,0.287500,3.048570,1
36,610140,0.283000,3.048570,1
37,610140,0.290500,3.048570,1
38,610140,0.317000,3.048570,1
39,610140,0.335500,3.048570,1
40,610140,0.321500,3.048570,1
41,610140,0.330500,3.048570,1
42,610140,0.346000,3.048570,1
43,610140,0.349000,3.048570,1
44,610140,0.350500,3.048570,1
45,610140,0.349500,3.048570,1
46,610140,0.367500,3.048570,1
47,610140,0.377000,3.048570,1
48,610140,0.374500,3.048570,1
49,610140,0.377500,3.048570,1
50,610140,0.387000,3.048570,1
51,610140,0.384600,3.048570,1
52,610140,0.383100,3.048570,1
53,610140,0.380500,3.048570,1
54,610140,0.379300,3.048570,1
55,610140,0.370900,3.048570,1
56,610140,0.363900,3.048570,1
57,610140,0.360000,3.048570,1
58,610140,0.357500,3.048570,1
59,610140,0.357300,3.048570,1
60,610140,0.361000,3.048570,1
61,610140,0.358600,3.048570,1
62,610140,0.354200,3.048570,1
63,610140,0.352800,3.048570,1
64,610140,0.347300,3.048570,1
65,610140,0.342500,3.048570,1
66,610140,0.342900,3.048570,1
67,610140,0.335400,3.048570,1
68,610140,0.336400,3.048570,1
69,610140,0.335100,3.048570,1
70,610140,0.328300,3.048570,1
71,610140,0.326500,3.048570,1
72,610140,0.325400,3.048570,1
73,610140,0.325400,3.048570,1
74,610140,0.321700,3.048570,1
75,610140,0.321700,3.048570,1
