Generation,Position,Frequency,Effect,Origin
1,1037246,0.163050,0.301926,1
2,183043,0.963200,0.330553,1
2,427101,0.959950,0.412421,1
2,1159275,0.956650,2.819775,1
2,305072,0.885750,1.357641,1
2,61014,0.491750,3.048570,1
2,915217,0.476700,6.392057,1
2,671159,0.428150,2.821470,1
2,793188,0.349800,1.499619,1
2,549130,0.282850,1.890630,1
2,1037246,0.161500,0.301926,1
3,183043,0.965800,0.330553,1
3,427101,0.961950,0.412421,1
3,1159275,0.956750,2.819775,1
3,305072,0.884650,1.357641,1
3,61014,0.496300,3.048570,1
3,915217,0.477550,6.392057,1
3,671159,0.431400,2.821470,1
3,793188,0.349850,1.499619,1
3,549130,0.285500,1.890630,1
3,1037246,0.155950,0.301926,1
4,183043,0.967100,0.330553,1
4,427101,0.961150,0.412421,1
4,1159275,0.958000,2.819775,1
4,305072,0.886400,1.357641,1
4,61014,0.498550,3.048570,1
4,915217,0.479900,6.392057,1
4,671159,0.432800,2.821470,1
4,793188,0.359050,1.499619,1
4,549130,0.293800,1.890630,1
4,1037246,0.154550,0.301926,1
5,183043,0.968750,0.330553,1
5,427101,0.962050,0.412421,1
5,1159275,0.958600,2.819775,1
5,305072,0.885850,1.357641,1
5,61014,0.500000,3.048570,1
5,915217,0.479700,6.392057,1
5,671159,0.429950,2.821470,1
5,793188,0.359100,1.499619,1
5,549130,0.293650,1.890630,1
5,1037246,0.157550,0.301926,1
6,183043,0.967450,0.330553,1
6,427101,0.959600,0.412421,1
6,1159275,0.955800,2.819775,1
6,305072,0.888000,1.357641,1
6,61014,0.499050,3.048570,1
6,915217,0.484050,6.392057,1
6,671159,0.425100,2.821470,1
6,793188,0.359600,1.499619,1
6,549130,0.300650,1.890630,1
6,1037246,0.154800,0.301926,1
7,183043,0.967750,0.330553,1
7,427101,0.961500,0.412421,1
7,1159275,0.956600,2.819775,1
7,305072,0.885700,1.357641,1
7,61014,0.494200,3.048570,1
7,915217,0.485700,6.392057,1
7,671159,0.419600,2.821470,1
7,793188,0.364700,1.499619,1
7,549130,0.298350,1.890630,1
7,1037246,0.159050,0.301926,1
8,183043,0.968950,0.330553,1
8,427101,0.961500,0.412421,1
8,1159275,0.956550,2.819775,1
8,305072,0.887750,1.357641,1
8,61014,0.491500,3.048570,1
8,915217,0.483400,6.392057,1
8,671159,0.418200,2.821470,1
8,793188,0.361850,1.499619,1
8,549130,0.299550,1.890630,1
8,1037246,0.154350,0.301926,1
9,183043,0.969000,0.330553,1
9,427101,0.960950,0.412421,1
9,1159275,0.956350,2.819775,1
9,305072,0.887750,1.357641,1
9,61014,0.494750,3.048570,1
9,915217,0.485400,6.392057,1
9,671159,0.420500,2.821470,1
9,793188,0.362100,1.499619,1
9,549130,0.297800,1.890630,1
9,1037246,0.157650,0.301926,1
10,183043,0.969000,0.330553,1
10,427101,0.963650,0.412421,1
10,1159275,0.954400,2.819775,1
10,305072,0.887500,1.357641,1
10,61014,0.503500,3.048570,1
10,915217,0.491650,6.392057,1
10,671159,0.414850,2.821470,1
10,793188,0.363800,1.499619,1
10,549130,0.294550,1.890630,1
10,1037246,0.156900,0.301926,1
11,183043,0.969850,0.330553,1
11,427101,0.961550,0.412421,1
11,1159275,0.952900,2.819775,1
11,305072,0.885850,1.357641,1
11,61014,0.505150,3.048570,1
11,915217,0.498600,6.392057,1
11,671159,0.420600,2.821470,1
11,793188,0.367700,1.499619,1
11,549130,0.299050,1.890630,1
11,1037246,0.155450,0.301926,1
12,183043,0.971100,0.330553,1
12,427101,0.959950,0.412421,1
12,1159275,0.952400,2.819775,1
12,305072,0.881850,1.357641,1
12,61014,0.504050,3.048570,1
12,915217,0.501700,6.392057,1
12,671159,0.425950,2.821470,1
12,793188,0.364950,1.499619,1
12,549130,0.307450,1.890630,1
12,1037246,0.150450,0.301926,1
13,183043,0.971150,0.330553,1
13,427101,0.961050,0.412421,1
13,1159275,0.954750,2.819775,1
13,305072,0.883500,1.357641,1
13,61014,0.510700,3.048570,1
13,915217,0.500000,6.392057,1
13,671159,0.426550,2.821470,1
13,793188,0.360300,1.499619,1
13,549130,0.312950,1.890630,1
13,1037246,0.146200,0.301926,1
14,183043,0.971800,0.330553,1
14,427101,0.962200,0.412421,1
14,1159275,0.952900,2.819775,1
14,305072,0.883550,1.357641,1
14,61014,0.515100,3.048570,1
14,915217,0.499550,6.392057,1
14,671159,0.435950,2.821470,1
14,793188,0.364400,1.499619,1
14,549130,0.310900,1.890630,1
14,1037246,0.145500,0.301926,1
15,183043,0.971900,0.330553,1
15,427101,0.962950,0.412421,1
15,1159275,0.953250,2.819775,1
15,305072,0.882400,1.357641,1
15,61014,0.517250,3.048570,1
15,915217,0.503650,6.392057,1
15,671159,0.440100,2.821470,1
15,793188,0.358500,1.499619,1
15,549130,0.314700,1.890630,1
15,1037246,0.143800,0.301926,1
16,183043,0.971500,0.330553,1
16,427101,0.963800,0.412421,1
16,1159275,0.952350,2.819775,1
16,305072,0.885950,1.357641,1
