Generation,Position,Frequency,Effect,Heterozygosity,Origin
1,543033,0.997250,0.756542,0.005485,1
1,652860,0.991550,0.221580,0.016757,1
1,713875,0.989100,0.189974,0.021562,1
1,774890,0.980900,2.506406,0.037470,1
1,1006747,0.979200,0.333771,0.040735,1
1,445409,0.979050,0.022710,0.041022,1
1,616251,0.978700,0.016483,0.041693,1
1,103725,0.971350,0.301926,0.055658,1
1,970138,0.945000,0.584023,0.103950,1
1,896920,0.942800,0.956820,0.107856,1
1,1067762,0.941150,1.131229,0.110773,1
1,262364,0.938650,2.168926,0.115172,1
1,872514,0.928000,1.407925,0.133632,1
1,237958,0.921350,3.032091,0.144928,1
1,848108,0.916750,1.193693,0.152639,1
1,457612,0.888400,0.151553,0.198291,1
1,823702,0.885800,0.304440,0.202317,1
1,787093,0.877900,1.560417,0.214383,1
1,1214198,0.842650,0.592516,0.265182,1
1,957935,0.836150,1.485838,0.274006,1
1,530830,0.833250,2.807018,0.277889,1
1,1140980,0.833050,0.111835,0.278155,1
1,408800,0.829500,3.331525,0.282859,1
1,54913,0.821800,1.890630,0.292890,1
1,884717,0.812100,0.294084,0.305187,1
1,860311,0.805200,0.630483,0.313706,1
1,1079965,0.804200,1.136130,0.314925,1
1,396597,0.802000,0.050679,0.317592,1
1,945732,0.797000,0.647691,0.323582,1
1,250161,0.771150,0.817099,0.352955,1
1,982341,0.763850,1.482160,0.360766,1
1,335582,0.740250,0.094894,0.384560,1
1,933529,0.734600,1.155849,0.389926,1
1,1031153,0.732700,4.101619,0.391701,1
1,115928,0.732300,2.819775,0.392073,1
1,604048,0.731450,1.407115,0.392862,1
1,1018950,0.729550,0.514480,0.394614,1
1,1165386,0.727950,0.667488,0.396078,1
1,359988,0.727850,1.013507,0.396169,1
1,1055559,0.711650,0.795695,0.410409,1
1,591845,0.710100,2.969555,0.411716,1
1,201349,0.695600,0.424276,0.423481,1
1,372191,0.689450,0.781874,0.428217,1
1,811499,0.683950,1.153550,0.432325,1
1,128131,0.672100,0.653157,0.440763,1
1,689469,0.667350,1.841563,0.443988,1
1,1104371,0.666250,0.611047,0.444722,1
1,152537,0.665150,2.222374,0.445451,1
1,1043356,0.659700,0.565400,0.448992,1
1,384394,0.646150,0.109456,0.457280,1
1,91522,0.641700,6.392057,0.459842,1
1,579642,0.623500,3.814558,0.469495,1
1,298973,0.611600,1.584015,0.475091,1
1,225755,0.607700,0.179605,0.476801,1
1,67116,0.568850,2.821470,0.490519,1
1,18304,0.567400,0.330553,0.490914,1
1,433206,0.565550,1.085156,0.491406,1
1,518627,0.562900,0.382134,0.492087,1
1,1201995,0.561550,0.001440,0.492423,1
1,762687,0.555700,2.368778,0.493795,1
1,274567,0.547350,1.025541,0.495516,1
1,921326,0.540150,1.797683,0.496776,1
1,42710,0.509850,0.412421,0.499806,1
1,421003,0.509200,0.786553,0.499831,1
1,506424,0.495200,0.775019,0.499954,1
1,482018,0.486400,1.157826,0.499630,1
1,469815,0.484250,0.836849,0.499504,1
1,738281,0.466150,0.416162,0.497708,1
1,665063,0.463000,3.150135,0.497262,1
1,628454,0.460050,1.264019,0.496808,1
1,1177589,0.450550,0.364510,0.495109,1
1,640657,0.415700,0.094585,0.485787,1
1,994544,0.410000,0.432176,0.483800,1
1,1189792,0.408950,1.432316,0.483420,1
1,1092168,0.405400,2.516283,0.482102,1
1,677266,0.397750,0.938795,0.479090,1
1,6101,0.394350,3.048570,0.477676,1
1,555236,0.393700,1.254149,0.477401,1
1,79319,0.373550,1.499619,0.468021,1
1,30507,0.372450,1.357641,0.467462,1
1,701672,0.338900,0.696634,0.448094,1
1,213552,0.337700,0.666888,0.447317,1
1,1153183,0.313600,5.111932,0.430510,1
1,189146,0.306750,0.564871,0.425309,1
1,311176,0.283800,0.777099,0.406515,1
1,286770,0.270600,1.618261,0.394751,1
1,323379,0.238100,0.201880,0.362817,1
1,164740,0.231050,3.345297,0.355332,1
1,567439,0.230250,2.121852,0.354470,1
1,494221,0.221000,1.819664,0.344318,1
1,1116574,0.217950,0.092383,0.340896,1
1,750484,0.195250,1.316801,0.314255,1
1,347785,0.177850,0.279076,0.292439,1
1,140334,0.169250,3.348955,0.281209,1
1,799296,0.163650,1.068036,0.273737,1
1,835905,0.161700,0.704608,0.271106,1
1,909123,0.127950,2.642556,0.223158,1
1,1128777,0.117000,0.374649,0.206622,1
1,176943,0.080900,0.342297,0.148710,1
1,726078,0.038600,1.543024,0.074220,1
