Generation,Position,Frequency,Effect,Heterozygosity,Origin
1,610140,0.284450,3.048570,0.407076,1
2,610140,0.283200,3.048570,0.405996,1
3,610140,0.286300,3.048570,0.408665,1
4,610140,0.288400,3.048570,0.410451,1
5,610140,0.291400,3.048570,0.412972,1
6,610140,0.297250,3.048570,0.417785,1
7,610140,0.304050,3.048570,0.423207,1
8,610140,0.304900,3.048570,0.423872,1
9,610140,0.314700,3.048570,0.431328,1
10,610140,0.313850,3.048570,0.430696,1
11,610140,0.310150,3.048570,0.427914,1
12,610140,0.305000,3.048570,0.423950,1
13,610140,0.303950,3.048570,0.423129,1
14,610140,0.305900,3.048570,0.424650,1
15,610140,0.310350,3.048570,0.428066,1
16,610140,0.312500,3.048570,0.429688,1
17,610140,0.314950,3.048570,0.431513,1
18,610140,0.317650,3.048570,0.433497,1
19,610140,0.318950,3.048570,0.434442,1
20,610140,0.323800,3.048570,0.437907,1
21,610140,0.325300,3.048570,0.438960,1
22,610140,0.328200,3.048570,0.440970,1
23,610140,0.333850,3.048570,0.444788,1
24,610140,0.337750,3.048570,0.447350,1
25,610140,0.338350,3.048570,0.447739,1
26,610140,0.340400,3.048570,0.449056,1
27,610140,0.341200,3.048570,0.449565,1
28,610140,0.345600,3.048570,0.452321,1
29,610140,0.345600,3.048570,0.452321,1
30,610140,0.346850,3.048570,0.453090,1
31,610140,0.354650,3.048570,0.457747,1
32,610140,0.359050,3.048570,0.460266,1
33,610140,0.358400,3.048570,0.459899,1
34,610140,0.367950,3.048570,0.465126,1
35,610140,0.367050,3.048570,0.464649,1
36,610140,0.367150,3.048570,0.464702,1
37,610140,0.370800,3.048570,0.466615,1
38,610140,0.375700,3.048570,0.469099,1
39,610140,0.375650,3.048570,0.469074,1
40,610140,0.378500,3.048570,0.470475,1
41,610140,0.383950,3.048570,0.473065,1
42,610140,0.384550,3.048570,0.473343,1
43,610140,0.387550,3.048570,0.474710,1
44,610140,0.390450,3.048570,0.475998,1
45,610140,0.390550,3.048570,0.476041,1
46,610140,0.389600,3.048570,0.475624,1
47,610140,0.386500,3.048570,0.474235,1
48,610140,0.390500,3.048570,0.476019,1
49,610140,0.389600,3.048570,0.475624,1
50,610140,0.386300,3.048570,0.474145,1
51,610140,0.386350,3.048570,0.474167,1
52,610140,0.386050,3.048570,0.474031,1
53,610140,0.382900,3.048570,0.472575,1
54,610140,0.385450,3.048570,0.473757,1
55,610140,0.386600,3.048570,0.474281,1
56,610140,0.390500,3.048570,0.476019,1
57,610140,0.398150,3.048570,0.479253,1
58,610140,0.400150,3.048570,0.480060,1
59,610140,0.404400,3.048570,0.481721,1
60,610140,0.406950,3.048570,0.482683,1
61,610140,0.406800,3.048570,0.482628,1
62,610140,0.404800,3.048570,0.481874,1
63,610140,0.408500,3.048570,0.483256,1
64,610140,0.412500,3.048570,0.484687,1
65,610140,0.411400,3.048570,0.484300,1
66,610140,0.418900,3.048570,0.486846,1
67,610140,0.424700,3.048570,0.488660,1
68,610140,0.436100,3.048570,0.491834,1
69,610140,0.435300,3.048570,0.491628,1
70,610140,0.439950,3.048570,0.492788,1
71,610140,0.449750,3.048570,0.494950,1
72,610140,0.449650,3.048570,0.494930,1
73,610140,0.453350,3.048570,0.495648,1
74,610140,0.452500,3.048570,0.495488,1
75,610140,0.444950,3.048570,0.493939,1
76,610140,0.447950,3.048570,0.494582,1
77,610140,0.447400,3.048570,0.494466,1
78,610140,0.459100,3.048570,0.496654,1
79,610140,0.455750,3.048570,0.496084,1
80,610140,0.462750,3.048570,0.497225,1
81,610140,0.465150,3.048570,0.497571,1
82,610140,0.469700,3.048570,0.498164,1
83,610140,0.470600,3.048570,0.498271,1
84,610140,0.471250,3.048570,0.498347,1
85,610140,0.475000,3.048570,0.498750,1
86,610140,0.479950,3.048570,0.499196,1
87,610140,0.489050,3.048570,0.499760,1
88,610140,0.490300,3.048570,0.499812,1
89,610140,0.494400,3.048570,0.499937,1
90,610140,0.490150,3.048570,0.499806,1
91,610140,0.492750,3.048570,0.499895,1
92,610140,0.495150,3.048570,0.499953,1
93,610140,0.495800,3.048570,0.499965,1
94,610140,0.499350,3.048570,0.499999,1
95,610140,0.498850,3.048570,0.499997,1
96,610140,0.502050,3.048570,0.499992,1
97,610140,0.504050,3.048570,0.499967,1
98,610140,0.504800,3.048570,0.499954,1
99,610140,0.504400,3.048570,0.499961,1
100,610140,0.507300,3.048570,0.499893,1
101,610140,0.511100,3.048570,0.499754,1
102,610140,0.514850,3.048570,0.499559,1
103,610140,0.513750,3.048570,0.499622,1
104,610140,0.517950,3.048570,0.499356,1
105,610140,0.522500,3.048570,0.498988,1
106,610140,0.526150,3.048570,0.498632,1
107,610140,0.524850,3.048570,0.498765,1
108,610140,0.530300,3.048570,0.498164,1
109,610140,0.535550,3.048570,0.497472,1
110,610140,0.540050,3.048570,0.496792,1
111,610140,0.547200,3.048570,0.495544,1
112,610140,0.554250,3.048570,0.494114,1
113,610140,0.556400,3.048570,0.493638,1
114,610140,0.560000,3.048570,0.492800,1
115,610140,0.564350,3.048570,0.491718,1
116,610140,0.563000,3.048570,0.492062,1
117,610140,0.569250,3.048570,0.490409,1
118,610140,0.566050,3.048570,0.491275,1
119,610140,0.569650,3.048570,0.490298,1
120,610140,0.576900,3.048570,0.488173,1
121,610140,0.577650,3.048570,0.487941,1
122,610140,0.585450,3.048570,0.485397,1
123,610140,0.590650,3.048570,0.483565,1
124,610140,0.594950,3.048570,0.481969,1
125,610140,0.595250,3.048570,0.481855,1
126,610140,0.599250,3.048570,0.480299,1
127,610140,0.600400,3.048570,0.479840,1
128,610140,0.596700,3.048570,0.481298,1
129,610140,0.595300,3.048570,0.481836,1
130,610140,0.590450,3.048570,0.483638,1
131,610140,0.602850,3.048570,0.478844,1
132,610140,0.604150,3.048570,0.478306,1
133,610140,0.601950,3.048570,0.479212,1
134,610140,0.607750,3.048570,0.476780,1
135,610140,0.608250,3.048570,0.476564,1
136,610140,0.606150,3.048570,0.477464,1
137,610140,0.606350,3.048570,0.477379,1
138,610140,0.605350,3.048570,0.477803,1
139,610140,0.613350,3.048570,0.474304,1
140,610140,0.617550,3.048570,0.472364,1
141,610140,0.621250,3.048570,0.470597,1
142,610140,0.624850,3.048570,0.468825,1
143,610140,0.624900,3.048570,0.468800,1
144,610140,0.625700,3.048570,0.468399,1
145,610140,0.631300,3.048570,0.465521,1
146,610140,0.637800,3.048570,0.462022,1
147,610140,0.640350,3.048570,0.460604,1
148,610140,0.638650,3.048570,0.461552,1
149,610140,0.639800,3.048570,0.460912,1
150,610140,0.643350,3.048570,0.458902,1
151,610140,0.651650,3.048570,0.454005,1
152,610140,0.652250,3.048570,0.453640,1
153,610140,0.656800,3.048570,0.450828,1
154,610140,0.668700,3.048570,0.443081,1
155,610140,0.666050,3.048570,0.444855,1
156,610140,0.668200,3.048570,0.443418,1
157,610140,0.667950,3.048570,0.443586,1
158,610140,0.669300,3.048570,0.442675,1
159,610140,0.670900,3.048570,0.441586,1
160,610140,0.675400,3.048570,0.438470,1
161,610140,0.678800,3.048570,0.436061,1
162,610140,0.681750,3.048570,0.433934,1
163,610140,0.685500,3.048570,0.431179,1
164,610140,0.692250,3.048570,0.426080,1
165,610140,0.690150,3.048570,0.427686,1
166,610140,0.686300,3.048570,0.430585,1
167,610140,0.686200,3.048570,0.430659,1
168,610140,0.687600,3.048570,0.429612,1
169,610140,0.690550,3.048570,0.427381,1
170,610140,0.688100,3.048570,0.429237,1
171,610140,0.689500,3.048570,0.428179,1
172,610140,0.692950,3.048570,0.425541,1
173,610140,0.694400,3.048570,0.424417,1
174,610140,0.697900,3.048570,0.421671,1
175,610140,0.701800,3.048570,0.418554,1
176,610140,0.703600,3.048570,0.417094,1
177,610140,0.708800,3.048570,0.412805,1
178,610140,0.714250,3.048570,0.408194,1
179,610140,0.714250,3.048570,0.408194,1
180,610140,0.718650,3.048570,0.404384,1
181,610140,0.721900,3.048570,0.401521,1
182,610140,0.719600,3.048570,0.403552,1
183,610140,0.719100,3.048570,0.403990,1
184,610140,0.724700,3.048570,0.399020,1
185,610140,0.724250,3.048570,0.399424,1
186,610140,0.725300,3.048570,0.398480,1
187,610140,0.732550,3.048570,0.391841,1
188,610140,0.743750,3.048570,0.381172,1
189,610140,0.747000,3.048570,0.377982,1
190,610140,0.752400,3.048570,0.372588,1
191,610140,0.753350,3.048570,0.371628,1
192,610140,0.754800,3.048570,0.370154,1
193,610140,0.756050,3.048570,0.368877,1
194,610140,0.759550,3.048570,0.365268,1
195,610140,0.760200,3.048570,0.364592,1
196,610140,0.757750,3.048570,0.367130,1
197,610140,0.759650,3.048570,0.365164,1
