Generation,Position,Frequency,Effect,Origin
1,610140,0.715950,0.295933,1
2,610140,0.712200,0.295933,1
3,610140,0.711450,0.295933,1
4,610140,0.709350,0.295933,1
5,610140,0.709750,0.295933,1
6,610140,0.712300,0.295933,1
7,610140,0.709400,0.295933,1
8,610140,0.708550,0.295933,1
9,610140,0.704800,0.295933,1
10,610140,0.703800,0.295933,1
11,610140,0.700100,0.295933,1
12,610140,0.694800,0.295933,1
13,610140,0.691050,0.295933,1
14,610140,0.688350,0.295933,1
15,610140,0.689150,0.295933,1
16,610140,0.683250,0.295933,1
17,610140,0.675150,0.295933,1
18,610140,0.673600,0.295933,1
19,610140,0.667000,0.295933,1
20,610140,0.665350,0.295933,1
21,610140,0.662850,0.295933,1
22,610140,0.661250,0.295933,1
23,610140,0.665250,0.295933,1
24,610140,0.661050,0.295933,1
25,610140,0.659800,0.295933,1
26,610140,0.658800,0.295933,1
27,610140,0.657550,0.295933,1
28,610140,0.654750,0.295933,1
29,610140,0.656450,0.295933,1
30,610140,0.657550,0.295933,1
31,610140,0.656500,0.295933,1
32,610140,0.657000,0.295933,1
33,610140,0.665400,0.295933,1
34,610140,0.673700,0.295933,1
35,610140,0.676700,0.295933,1
36,610140,0.675200,0.295933,1
37,610140,0.679700,0.295933,1
38,610140,0.682200,0.295933,1
39,610140,0.688800,0.295933,1
40,610140,0.690750,0.295933,1
41,610140,0.695500,0.295933,1
42,610140,0.701150,0.295933,1
43,610140,0.706200,0.295933,1
44,610140,0.700950,0.295933,1
45,610140,0.703450,0.295933,1
46,610140,0.702000,0.295933,1
47,610140,0.701250,0.295933,1
48,610140,0.705250,0.295933,1
49,610140,0.699950,0.295933,1
50,610140,0.696550,0.295933,1
51,610140,0.700200,0.295933,1
52,610140,0.707300,0.295933,1
53,610140,0.699750,0.295933,1
54,610140,0.699350,0.295933,1
55,610140,0.694100,0.295933,1
56,610140,0.688650,0.295933,1
57,610140,0.682300,0.295933,1
58,610140,0.679450,0.295933,1
59,610140,0.675350,0.295933,1
60,610140,0.674750,0.295933,1
61,610140,0.674400,0.295933,1
62,610140,0.674000,0.295933,1
63,610140,0.667950,0.295933,1
64,610140,0.670450,0.295933,1
65,610140,0.672250,0.295933,1
66,610140,0.674050,0.295933,1
67,610140,0.666600,0.295933,1
68,610140,0.661600,0.295933,1
69,610140,0.659900,0.295933,1
70,610140,0.658350,0.295933,1
71,610140,0.654750,0.295933,1
72,610140,0.654150,0.295933,1
73,610140,0.651650,0.295933,1
74,610140,0.647000,0.295933,1
75,610140,0.642000,0.295933,1
76,610140,0.647600,0.295933,1
77,610140,0.651300,0.295933,1
78,610140,0.660150,0.295933,1
79,610140,0.657150,0.295933,1
80,610140,0.660650,0.295933,1
81,610140,0.665950,0.295933,1
82,610140,0.658000,0.295933,1
83,610140,0.650950,0.295933,1
84,610140,0.646650,0.295933,1
85,610140,0.653300,0.295933,1
86,610140,0.648250,0.295933,1
87,610140,0.648650,0.295933,1
88,610140,0.653500,0.295933,1
89,610140,0.651850,0.295933,1
90,610140,0.652450,0.295933,1
91,610140,0.656650,0.295933,1
92,610140,0.660550,0.295933,1
93,610140,0.659900,0.295933,1
94,610140,0.662000,0.295933,1
95,610140,0.661250,0.295933,1
96,610140,0.665700,0.295933,1
