Generation,Position,Frequency
1313,30648,0.890500
1313,90839,0.707000
1313,63083,0.351000
1313,62349,0.234000
1313,3179,0.183000
1313,12780,0.183000
1313,55551,0.122000
1313,15447,0.106500
1313,71079,0.055000
1313,19707,0.027500
1313,41662,0.025500
1313,21294,0.017500
1313,86173,0.017000
1313,21406,0.016000
1313,45106,0.010500
1313,59779,0.010000
1313,9785,0.008500
1313,30204,0.005500
1313,23389,0.005500
1313,84720,0.005000
1313,8118,0.005000
1313,32197,0.004500
1313,12304,0.004500
1313,17145,0.002500
1313,17669,0.001500
1313,90105,0.001500
1313,9329,0.001000
1313,20314,0.001000
1313,97171,0.000500
1313,21005,0.000500
1313,60739,0.000500
1313,24100,0.000500
